stem	cell_line	gse_id	cancer_type	cancer_group	is_lung	is_llc	is_kl	is_kp	n_baseline	n_icb	mean_baseline	mean_icb	median_baseline	median_icb	delta_mean	delta_median	treatments	stratum_all	stratum_lung	stratum_kl_kp_llc
CT26_ERP114266_day14_antiCTLA4&antiPDL1	CT26	ERP114266	Colorectal carcinoma	Colorectal	False	False	False	False	5	5	0.24323700806081897	0.655811996830405	0.254270149685212	0.321343881739544	0.4125749887695861	0.06707373205433198	antiPDL1; antiCTL4;;isotype	True	False	False
CT26_ERP114266_day7_antiCTLA4&antiPDL1	CT26	ERP114266	Colorectal carcinoma	Colorectal	False	False	False	False	5	5	1.2147556112925646	1.532631748140728	0.480306402118443	0.357836766320015	0.3178761368481633	-0.12246963579842801	antiPDL1; antiCTL4;;isotype	True	False	False
CT26_GSE139475_antiPD1	CT26	GSE139475	Colorectal carcinoma	Colorectal	False	False	False	False	5	9	1.629370250589023	1.3127072172063137	1.84328675299402	1.39432807053456	-0.3166630333827094	-0.44895868245946	antiPD1;isotype	True	False	False
CT26_GSE153239_FcS_antiGARP:TGFb_FcD_antiPD1	CT26	GSE153239	Colorectal carcinoma	Colorectal	False	False	False	False	5	5	0.261835637001249	0.6199550142686849	0.19668510468779	0.443338881278346	0.3581193772674359	0.24665377659055598	antiGARP:TGFb FcD;antiGARP:TGFb FcD; antiPD1 FcS;	True	False	False
CT26_GSE153239_FcS_antiGARP:TGFb_WT_antiPD1	CT26	GSE153239	Colorectal carcinoma	Colorectal	False	False	False	False	5	5	0.18921112023409634	0.4656884624358647	0.170755459657288	0.21651768478215	0.27647734220176834	0.045762225124862	antiGARP:TGFb WT;antiGARP:TGFb WT; antiPD1 FcS;	True	False	False
CT26_GSE153239_FcS_antiPD1	CT26	GSE153239	Colorectal carcinoma	Colorectal	False	False	False	False	5	5	0.2201852447206285	0.3752578004740946	0.154330652833521	0.460429307496847	0.15507255575346612	0.30609865466332603	antiPD1_FcS;isotype	True	False	False
CT26_GSE153239_FcS_antiTGFb_antiPD1	CT26	GSE153239	Colorectal carcinoma	Colorectal	False	False	False	False	5	5	0.2696775919165601	0.5547914329982612	0.263049928553122	0.276267275006927	0.28511384108170107	0.013217346453805012	antiTGFb;antiTGFb; antiPD1 FcS;	True	False	False
MC38_GSE172162_antiPD1	MC38	GSE172162	Colorectal carcinoma	Colorectal	False	False	False	False	4	4	0.015763892114444476	0.035893998652544695	0.0	0.03181089454898895	0.02013010653810022	0.03181089454898895	antiPD1;isotype	True	False	False
MC38_GSE172162_exercise_antiPD1	MC38	GSE172162	Colorectal carcinoma	Colorectal	False	False	False	False	4	4	0.012811111085799826	0.0	0.0	0.0	-0.012811111085799826	0.0	antiPD1; exercise;exercise	True	False	False
MC38_GSE93017_antiPDL1	MC38	GSE93017	Colorectal carcinoma	Colorectal	False	False	False	False	3	3	0.0	0.09954429880361666	0.0	0.14928913405771	0.09954429880361666	0.14928913405771	antiPDL1;isotype	True	False	False
YTN16_GSE146027_anti_IL17_day10_antiPD1	YTN16	GSE146027	Gastric adenocarcinoma	Gastric	False	False	False	False	4	4	1.2627168801482025	1.4053435272237125	1.26805377005716	1.47943191746601	0.14262664707550998	0.21137814740885008	antiPD1; antiIL17;anti_IL17	True	False	False
YTN16_GSE146027_day10_antiPD1	YTN16	GSE146027	Gastric adenocarcinoma	Gastric	False	False	False	False	4	4	1.0798943046149072	1.2126212403190129	1.03311639467173	1.27678568719933	0.13272693570410565	0.24366929252759983	antiPD1;no_treatment	True	False	False
YTN16_GSE146027_day14_antiCTLA4	YTN16	GSE146027	Gastric adenocarcinoma	Gastric	False	False	False	False	4	5	3.053852539184915	5.657948923475284	2.9203353916298447	5.67901805345984	2.604096384290369	2.7586826618299956	antiCTLA4;no_treatment	True	False	False
