stem	cell_line	gse_id	cancer_type	cancer_group	is_lung	is_llc	is_kl	is_kp	n_baseline	n_icb	mean_baseline	mean_icb	median_baseline	median_icb	delta_mean	delta_median	treatments	stratum_all	stratum_lung	stratum_kl_kp_llc
CT26_ERP114266_day14_antiCTLA4&antiPDL1	CT26	ERP114266	Colorectal carcinoma	Colorectal	False	False	False	False	5	5	0.35136519199545513	0.6062100551090025	0.3672581879091266	0.4088567540448123	0.25484486311354737	0.04159856613568569	antiPDL1; antiCTL4;;isotype	True	False	False
CT26_ERP114266_day7_antiCTLA4&antiPDL1	CT26	ERP114266	Colorectal carcinoma	Colorectal	False	False	False	False	5	5	0.74879582311899	0.7806196380117129	0.7797427756033505	0.5694382557818658	0.0318238148927229	-0.21030451982148468	antiPDL1; antiCTL4;;isotype	True	False	False
CT26_GSE139475_antiPD1	CT26	GSE139475	Colorectal carcinoma	Colorectal	False	False	False	False	5	9	1.4900145782064427	1.3527025985507353	1.4745122318151769	1.4339918532071834	-0.1373119796557074	-0.04052037860799351	antiPD1;isotype	True	False	False
CT26_GSE153239_FcS_antiGARP:TGFb_FcD_antiPD1	CT26	GSE153239	Colorectal carcinoma	Colorectal	False	False	False	False	5	5	1.4454141207106137	1.6152309834011747	1.3814806701751245	1.2024665772707945	0.16981686269056095	-0.17901409290433	antiGARP:TGFb FcD;antiGARP:TGFb FcD; antiPD1 FcS;	True	False	False
CT26_GSE153239_FcS_antiGARP:TGFb_WT_antiPD1	CT26	GSE153239	Colorectal carcinoma	Colorectal	False	False	False	False	5	5	1.3519865879366209	1.5384271895200294	1.2213193897637211	1.3940592524585027	0.18644060158340858	0.1727398626947816	antiGARP:TGFb WT;antiGARP:TGFb WT; antiPD1 FcS;	True	False	False
CT26_GSE153239_FcS_antiPD1	CT26	GSE153239	Colorectal carcinoma	Colorectal	False	False	False	False	5	5	1.33206599944622	1.3987345320763844	1.3935981797947665	1.3422660517178306	0.06666853263016437	-0.05133212807693588	antiPD1_FcS;isotype	True	False	False
CT26_GSE153239_FcS_antiTGFb_antiPD1	CT26	GSE153239	Colorectal carcinoma	Colorectal	False	False	False	False	5	5	1.3687164958561442	1.5641716942410557	1.255408691893864	1.4474576931061403	0.19545519838491154	0.1920490012122762	antiTGFb;antiTGFb; antiPD1 FcS;	True	False	False
MC38_GSE172162_antiPD1	MC38	GSE172162	Colorectal carcinoma	Colorectal	False	False	False	False	4	4	0.44707988198294435	0.41336314150247994	0.4376844139747422	0.4054910790090157	-0.03371674048046441	-0.03219333496572652	antiPD1;isotype	True	False	False
MC38_GSE172162_exercise_antiPD1	MC38	GSE172162	Colorectal carcinoma	Colorectal	False	False	False	False	4	4	0.5033647850811787	0.43165323128376926	0.5066205053821815	0.4505712730952593	-0.0717115537974094	-0.05604923228692221	antiPD1; exercise;exercise	True	False	False
MC38_GSE93017_antiPDL1	MC38	GSE93017	Colorectal carcinoma	Colorectal	False	False	False	False	3	3	0.5982248957550832	0.637695256844228	0.5693179242234379	0.6315317046654657	0.03947036108914481	0.062213780442027855	antiPDL1;isotype	True	False	False
