family	n_q1	n_q4	n	n_genes	logFC	p	fdr	t	se	mw_p	mean_q1	mean_q4	cohort
IFN	9	9	18	217	-1.046364852396753	0.0003160588545995909	0.0012642354183983635	-4.64713352566796	0.22516350060037338	0.0010862466258220339	4.903054606808784	3.814874934937307	GSE123902+GSE205335
MHC-I/APM	9	9	18	21	-1.2850886518830884	0.0036600802956350182	0.0073201605912700364	-3.4381080574720175	0.37377785409920833	0.0026797144168214833	7.368362867879686	6.061243077792197	GSE123902+GSE205335
TJ	9	9	18	193	-0.05039211362151996	0.6838339891403568	0.6838339891403568	-0.41525525727013773	0.12135213880925816	0.5962416305866567	4.537530291533897	4.485039199849019	GSE123902+GSE205335
keratin	9	9	18	40	-0.7398791734556671	0.06913821527334867	0.09218428703113156	-1.9576821416306691	0.37793631444141285	0.04226010608395664	3.449639325517288	2.7347771292170555	GSE123902+GSE205335
IFN	4	3	7	217	-0.6851609283599864	0.10439742286987957	0.22636075712711315	-1.9813526371531858	0.34580463644494297	0.05714285714285714	4.957327022452362	4.272166094092376	GSE123902
MHC-I/APM	4	3	7	21	-0.7678660196997802	0.11318037856355657	0.22636075712711315	-1.918263638283618	0.4002922248929425	0.05714285714285714	7.256851716537424	6.488985696837642	GSE123902
TJ	4	3	7	193	0.12296071568384104	0.6563145626287745	0.6563145626287745	0.4727401092047908	0.2601021434180329	0.6285714285714286	4.473731112148395	4.5966918278322355	GSE123902
keratin	4	3	7	40	-0.40244359973815963	0.58836799517423	0.6563145626287745	-0.5779201773691234	0.6963653727582432	0.8571428571428571	3.179939193861188	2.777495594123028	GSE123902
IFN	5	6	11	217	-1.2734073189341468	0.0015458305951414908	0.006183322380565963	-4.473953603512653	0.28462684949042644	0.008658008658008658	4.859636674293919	3.586229355359773	GSE205335
MHC-I/APM	5	6	11	21	-1.6102000206840208	0.015560724716977826	0.03112144943395565	-2.975583746565874	0.5411375238698475	0.030303030303030304	7.4575717889534925	5.847371768269473	GSE205335
TJ	5	6	11	193	-0.1593567491848874	0.19459174207967964	0.19459174207967964	-1.4015090465471067	0.11370368930367884	0.12554112554112554	4.588569635042298	4.42921288585741	GSE205335
keratin	5	6	11	40	-0.9519815340780989	0.06506670578032706	0.08675560770710274	-2.1004882582079034	0.45321916480995306	0.017316017316017316	3.665399430842168	2.713417896764069	GSE205335
