contrast	compartment	cohort	split	n_low	n_high	n	n_genes	patients_q1	patients_q4
malignant_q4q1_GSE123902	malignant	GSE123902	q4q1	4.0	3.0	7	11874	LX675,LX682,LX699,LX701	LX653,LX680,LX684
malignant_q4q1_GSE205335	malignant	GSE205335	q4q1	5.0	6.0	11	18035	P1015,P1062,P1063,P1090,P1119	P1016,P1025,P1037,P1084,P1089,P1115
malignant_q4q1_combined	malignant	GSE123902+GSE205335	q4q1	9.0	9.0	18	14974	LX675,LX682,LX699,LX701,P1015,P1062,P1063,P1090,P1119	LX653,LX680,LX684,P1016,P1025,P1037,P1084,P1089,P1115
malignant_continuous_combined	malignant	GSE123902+GSE205335	continuous			34	15867		
