family	n_tested	n_p05	n_fdr05	n_up	n_down	median_logFC	top_gene	top_logFC	top_p	top_fdr	n_q1	n_q4	compartment	contrast
IFN	199	26	0	4	22	-0.6087576987004703	IL15RA	-2.8376696214139203	0.001916647412530506	0.43866410502405717	4	3	malignant	q4q1_GSE123902
MHC-I/APM	20	3	0	0	3	-0.9518632615571537	B2M	-1.4502902753379923	0.007551908155239842	0.502876107765	4	3	malignant	q4q1_GSE123902
TJ	168	26	0	17	9	0.21071579958652034	FZD5	2.064959568110862	0.00045892682178243097	0.4138918758567634	4	3	malignant	q4q1_GSE123902
keratin	19	0	0	0	0	-0.12512247559547904	KRT80	1.7858350128340532	0.13946512103789366	0.670122108226113	4	3	malignant	q4q1_GSE123902
IFN	214	75	0	0	75	-1.2621912554566668	CD274	-2.131527301770449	0.00013649048649160402	0.2735117693195643	5	6	malignant	q4q1_GSE205335
MHC-I/APM	21	8	0	0	8	-1.6399906808493177	ERAP1	-2.1005800114327373	0.010012721084363567	0.5296822020241129	5	6	malignant	q4q1_GSE205335
TJ	190	22	0	8	14	-0.12801633989073719	PRKCE	-1.7729117158958978	0.003075262441805682	0.49382004736842156	5	6	malignant	q4q1_GSE205335
keratin	36	2	0	0	2	-1.0253832929197557	KRT6A	-4.893304101801845	0.01086658922521142	0.5296822020241129	5	6	malignant	q4q1_GSE205335
IFN	217	89	0	1	88	-1.00860872077169	CCL5	-3.2175101478138934	0.00011301178180017193	0.07237951451795839	9	9	malignant	q4q1_combined
MHC-I/APM	21	13	0	0	13	-1.3427162332226157	TAP1	-2.0074390512581397	0.002312317353781903	0.1493369266572731	9	9	malignant	q4q1_combined
TJ	193	28	0	13	15	0.011232303779971132	PECAM1	-2.3764742421174994	0.0020416686676636036	0.14331407658564618	9	9	malignant	q4q1_combined
keratin	40	2	0	0	2	-0.46930965783151246	KRT6A	-4.51283533466917	0.003008624224714995	0.15954795674366082	9	9	malignant	q4q1_combined
