family	n_q1	n_q4	n	n_genes	logFC	p	fdr
IFN	9	9	18	217	-1.046364852396753	0.0003160588545995909	0.0012642354183983635
MHC-I/APM	9	9	18	21	-1.2850886518830884	0.0036600802956350182	0.0073201605912700364
TJ	9	9	18	193	-0.05039211362151996	0.6838339891403568	0.6838339891403568
keratin	9	9	18	40	-0.7398791734556671	0.06913821527334867	0.09218428703113156
