cohort	feature	scoring	spearman_vs_pfs_days	spearman_p	n
GSE135222	CLDN4	mean_z	-0.14318424834810362	0.4761639125522927	27
GSE135222	CLDN4	mean_expr	-0.14318424834810362	0.4761639125522927	27
GSE135222	Reactome_TJ	mean_z	-0.38192642789654085	0.049310956750042746	27
GSE135222	Reactome_TJ	mean_expr	-0.40177072670811165	0.03777137032477674	27
GSE135222	KEGG_TJ	mean_z	-0.3666615826568709	0.05994524069048666	27
GSE135222	KEGG_TJ	mean_expr	-0.4133720090902608	0.03209576254226367	27
GSE135222	Reactome_TJ_no_CLDN4	mean_z	-0.40635018028001263	0.03544233325385573	27
GSE135222	Reactome_TJ_no_CLDN4	mean_expr	-0.41276141528067395	0.032376281666665375	27
GSE135222	CD8A	mean_z	0.3794840526581936	0.05090452052075784	27
GSE135222	CD8A	mean_expr	0.3794840526581936	0.05090452052075784	27
GSE135222	CD8	mean_z	0.3477331745596802	0.0755164957974587	27
GSE135222	CD8	mean_expr	0.3367424859871179	0.08588046410688421	27
GSE135222	TACSTD2	mean_z	-0.15539612453983953	0.43894654089209406	27
GSE135222	TACSTD2	mean_expr	-0.15539612453983953	0.43894654089209406	27
