"sample","TACSTD2","CD274","EPCAM","ACTB","PTPRC","CD8A"
"SAMf2ce197162ce",2505,173,14084,428544,12640,279
"SAM698d8d76b934",143,149,22366,381852,12394,267
"SAMc1b27bc16435",3836,46,4373,123192,7563,788
"SAM85e41e7f33f9",3883,256,6577,649631,15698,722
"SAMf275eb859a39",10838,244,5062,225638,20409,477
"SAM7f0d9cc7f001",3934,124,7264,162639,20831,607
"SAM4305ab968b90",7654,8,16290,277989,772,42
"SAMcf018fee2acd",6305,225,25889,451378,25252,709
"SAMb2f1d0e54ece",2186,528,18420,691538,11889,636
"SAMcc4675f394a1",2328,69,14339,232680,12349,315
"SAM49f9b2e57aa5",4307,37,22766,306098,6783,84
"SAM2e7aa8fa0ab3",21742,114,12039,587882,10440,739
"SAMd0e47be700b0",7059,115,22188,144325,3024,220
"SAMdf3e42c8672a",3071,296,3768,293744,9801,881
"SAMd027124354ce",322,151,1010,433551,6860,399
"SAM36d87392593b",12397,741,36584,300040,9403,490
"SAM4edbe45817b3",3425,599,1761,474032,12458,559
"SAM36a9225b0222",1952,1638,8522,922285,70208,4003
"SAMe7bf6c015192",5276,260,7853,379797,33051,1395
"SAM6dd7ad1d797d",4450,2087,20241,715325,28285,397
"SAMc0d625a50eb8",1672,124,3297,402685,11205,225
"SAM18039827e1b9",19271,29,27812,392694,8530,180
"SAM681e4bf7cf85",4963,154,4012,304048,12761,548
"SAMc692536a795a",4385,157,10540,381635,16058,506
"SAM9a2cf3c06fb3",1820,323,19875,434201,27524,928
"SAM557dde1b9f3e",1624,60,3533,170455,8063,487
"SAMb8f13a0525a6",851,96,82717,378272,11082,852
"SAM23aa15d4a0b0",6825,54,20001,317692,9750,229
"SAM468a9e1dc821",3899,16,3055,367362,3970,61
"SAM81b71522417a",3807,47,38473,244304,1745,241
"SAM6cb230f208a8",6306,48,15861,172548,3868,164
"SAM0684af734db1",6840,139,14556,315896,3584,105
"SAMb963dda93cfd",8314,1672,59510,868315,15796,601
"SAMa9ca8536d2b1",638,198,2473,369909,28418,1091
"SAM9fb814c22bdb",1121,185,3730,334171,38979,812
"SAMbcbc7957c264",10657,136,12664,437024,7212,97
"SAM7fb6987514a4",1044,328,8953,326895,74215,4518
"SAM63405b04ab2d",2673,177,3233,259535,12275,767
"SAM18bc1078bc15",8415,146,19853,186552,9062,767
"SAM7d2dfba6cd84",1576,262,6147,227348,19442,503
"SAMd1bd63734394",10754,212,7590,540107,6301,856
"SAMe9ae8beb82fa",4998,137,18697,462184,20605,371
"SAMb0a83e5fbde9",4661,89,8891,247729,4552,131
"SAMba7176afe070",5136,75,6406,176870,2273,84
"SAMae1690469964",8660,173,16481,289300,9245,472
"SAMbe83eae4026e",4528,144,16851,251355,11511,541
"SAMe5bc41772bc9",5766,149,10781,667577,10930,235
"SAM23095936e611",7590,66,12983,256158,5677,92
"SAM7114d99032ec",11425,35,5151,313889,3047,122
"SAMd215b503f99a",4468,124,11283,476318,8412,223
"SAMdb3f50c9129c",1446,76,39075,210506,8003,394
"SAMbf1a3ae828e6",5487,149,30842,428426,22194,638
"SAM52e3fa3ad574",3427,256,1141,428091,99063,1927
"SAMd4c0837b0997",5009,63,16819,276575,12941,620
"SAM9cafb905b36a",164,3990,1401,834090,40126,2601
"SAM3f2033c90438",4483,158,26865,441339,10588,277
"SAM032c642382a7",1966,2456,53625,744351,35954,1538
"SAM5ffd7e4cd794",9670,104,32337,490058,19208,604
"SAMb419a8fcbfcd",552,225,59836,191906,4505,414
"SAM8884fe446d20",4820,1122,6001,521610,23886,3006
"SAM17c45bf16bb6",2269,79,7590,112208,2891,195
"SAM2070b416069c",8538,93,8025,189811,12057,295
"SAM0ce9c983b20f",3235,292,10195,315716,19271,571
"SAMa1e62d323e1d",8020,108,16082,474222,17276,1023
"SAM61baf919bb01",2917,143,6795,410127,19090,964
"SAM97a00e0929fb",4299,64,16757,151641,7995,640
"SAM2f228939632f",679,121,98199,469069,10752,424
"SAM9539a4f19ebc",8656,130,12803,399374,3679,60
"SAM36851bc8b9ae",3409,52,10602,238953,7754,518
"SAM297c0301e861",1123,1785,24554,550054,23514,811
"SAM1fa6bcb7fc48",9849,236,21289,186508,11304,499
"SAM075e037d95bc",10001,75,738,165029,827,103
"SAM6d2ae0c39b96",8361,75,5675,272071,7354,233
"SAMcabb6d58ff55",2882,1679,28448,348603,17843,680
"SAM716f54e468f4",1113,149,19670,470383,37324,973
"SAMeff2ce356ccb",6008,69,9420,163757,2680,53
"SAM110501d0eedb",18724,122,20808,346514,10572,266
"SAM2e9ac0b1b250",1591,548,2035,249303,7508,339
"SAMc0ef41aa6c8b",7069,42,19536,141949,1877,137
"SAMd636e3461955",845,286,1403,452542,28022,378
"SAMe712352fb82a",9397,127,47964,230325,14834,524
"SAM30b5c6c54cf7",3643,74,18810,260666,4248,567
"SAMd98bac0a070f",8885,87,9582,337333,9619,286
"SAM8e8ef2368dfa",5201,132,9847,362034,11382,348
"SAM08cce2fa88f2",2882,19,2249,163507,2222,89
"SAMb4c7a001537d",9636,56,12708,311831,5257,488
"SAMfd947610629d",4756,55,10057,340289,4843,162
"SAM943df5cf15df",8289,194,3035,397119,6750,85
"SAM31f41dd0d6ca",5284,127,5960,361211,30178,610
"SAMb3c02294aba7",12720,98,59680,495939,1460,78
"SAM39eb94fa504d",2874,109,2522,382118,13260,612
"SAM62fb1388c871",6104,173,30454,393655,10374,214
"SAMc0da5d48686d",1649,2631,35173,710938,4775,73
"SAMe7bcab05402e",6366,65,9978,543528,21164,214
"SAM2570ff4aae6e",3973,168,2467,324041,16654,1233
"SAM2dc3f04e45e9",2476,809,34076,305282,20061,1601
"SAM9448d858692c",2020,331,52072,176989,29600,1089
"SAM4501e41e4751",3225,130,3618,654720,26667,1171
"SAM714285adf612",338,1767,3839,427413,68278,16468
"SAM5b57e47fdcb3",3636,64,11411,158512,11138,620
"SAMae4da274eded",9226,146,28151,429021,33979,205
"SAMd35318127278",7688,603,14296,232174,19337,1463
"SAMa913c6139ec8",4574,181,3630,314316,54829,2209
"SAM75142fcab9df",5240,116,14998,338543,36911,1931
"SAMd697ba701077",7099,204,8594,201560,16015,619
"SAM166a419a4e5a",1454,253,5903,437373,22689,1527
