dataset,cohort,note,n,spearman_rho,spearman_p,pearson_r,pearson_p,spearman_ci95_low,spearman_ci95_high,rounds_to_0.69,abs_diff_vs_0.69,n_equals_118,user_0.69_inside_ci95
Gygi_CCLE_MS,all_complete,All Gygi lines with both proteins.,198,0.6122529274583964,9.352962685023365e-22,0.6091216343280956,1.7088387881812573e-21,,,False,0.07774707254160351,False,
Gygi_CCLE_MS,lung_suffix_complete,"PRIMARY protein correlation: CCLE ID contains _LUNG, both proteins quantified.",45,0.6931488801054019,1.3117431950020398e-07,0.6871878120527255,1.8535570143264805e-07,0.4833291593279783,0.8222327111970432,True,0.00314888010540193,False,True
Gygi_CCLE_MS,s1_tissue_Lung,Gygi Table S1 Tissue of Origin == Lung.,45,0.6931488801054019,1.3117431950020398e-07,0.6871878120527255,1.8535570143264805e-07,,,True,0.00314888010540193,False,
Gygi_CCLE_MS,lineage_lung,DepMap 22Q2 sample_info lineage==lung (includes meso).,46,0.6964539007092199,7.659456541913762e-08,0.6879316129560178,1.275090200285162e-07,,,False,0.006453900709219917,False,
Gygi_CCLE_MS,NSCLC,22Q2 lineage_subtype==NSCLC.,36,0.7305019305019306,4.2438356941709085e-07,0.7428213656767322,2.1285725730712326e-07,,,False,0.04050193050193063,False,
Gygi_CCLE_MS,SCLC,22Q2 lineage_subtype==SCLC.,9,0.25,0.5164895523012261,-0.017033846580037516,0.9653073220857465,,,False,0.43999999999999995,False,
Gygi_CCLE_MS,lung_not_SCLC,22Q2 lineage==lung excluding SCLC (still includes meso if present).,37,0.7377904220009482,1.8872331400743734e-07,0.7445233688019034,1.2703356372449288e-07,,,False,0.047790422000948296,False,
