CCLE_ID,ccle,lineage,lineage_subtype,primary_disease,cell_line_name
DMS53_LUNG,DMS53_LUNG,lung,SCLC,Lung Cancer,DMS 53
NCIH1694_LUNG,NCIH1694_LUNG,lung,SCLC,Lung Cancer,NCI-H1694
NCIH1184_LUNG,NCIH1184_LUNG,lung,SCLC,Lung Cancer,NCI-H1184
NCIH2227_LUNG,NCIH2227_LUNG,lung,SCLC,Lung Cancer,NCI-H2227
RERFLCAD2_LUNG,RERFLCAD2_LUNG,lung,NSCLC,Lung Cancer,RERF-LC-Ad2
NCIH2347_LUNG,NCIH2347_LUNG,lung,NSCLC,Lung Cancer,NCI-H2347
NCIH2087_LUNG,NCIH2087_LUNG,lung,NSCLC,Lung Cancer,NCI-H2087
NCIH2085_LUNG,NCIH2085_LUNG,lung,NSCLC,Lung Cancer,NCI-H2085
NCIH2066_LUNG,NCIH2066_LUNG,lung,SCLC,Lung Cancer,NCI-H2066
NCIH1341_LUNG,NCIH1341_LUNG,lung,SCLC,Lung Cancer,NCI-H1341
NCIH2029_LUNG,NCIH2029_LUNG,lung,SCLC,Lung Cancer,NCI-H2029
LU65_LUNG,LU65_LUNG,lung,NSCLC,Lung Cancer,
NCIH1573_LUNG,NCIH1573_LUNG,lung,NSCLC,Lung Cancer,NCI-H1573
NCIH1651_LUNG,NCIH1651_LUNG,lung,NSCLC,Lung Cancer,NCI-H1651
NCIH226_LUNG,NCIH226_LUNG,lung,NSCLC,Lung Cancer,NCI-H226
NCIH1666_LUNG,NCIH1666_LUNG,lung,NSCLC,Lung Cancer,NCI-H1666
NCIH1734_LUNG,NCIH1734_LUNG,lung,NSCLC,Lung Cancer,NCI-H1734
NCIH2342_LUNG,NCIH2342_LUNG,lung,NSCLC,Lung Cancer,NCI-H2342
EBC1_LUNG,EBC1_LUNG,lung,NSCLC,Lung Cancer,EBC-1
NCIH322_LUNG,NCIH322_LUNG,lung,NSCLC,Lung Cancer,NCI-H322
NCIH2291_LUNG,NCIH2291_LUNG,lung,NSCLC,Lung Cancer,NCI-H2291
HCC33_LUNG,HCC33_LUNG,lung,SCLC,Lung Cancer,HCC-33
CORL105_LUNG,CORL105_LUNG,lung,NSCLC,Lung Cancer,COR-L105
COLO668_LUNG,COLO668_LUNG,lung,SCLC,Lung Cancer,COLO 668
NCIH1915_LUNG,NCIH1915_LUNG,lung,NSCLC,Lung Cancer,NCI-H1915
HCC2279_LUNG,HCC2279_LUNG,lung,NSCLC,Lung Cancer,HCC-2279
HCC1588_LUNG,HCC1588_LUNG,lung,NSCLC,Lung Cancer,HCC-1588
NCIH838_LUNG,NCIH838_LUNG,lung,NSCLC,Lung Cancer,NCI-H838
HCC1171_LUNG,HCC1171_LUNG,lung,NSCLC,Lung Cancer,HCC-1171
NCIH2228_LUNG,NCIH2228_LUNG,lung,NSCLC,Lung Cancer,NCI-H2228
RERFLCAI_LUNG,RERFLCAI_LUNG,lung,NSCLC,Lung Cancer,RERF-LC-AI
SKMES1_LUNG,SKMES1_LUNG,lung,NSCLC,Lung Cancer,SK-MES-1
