col,ccle,lineage,lineage_subtype,primary_disease,cell_line_name,s1_tissue,TACSTD2,CLDN4
ABC1_LUNG_TenPx04,ABC1_LUNG,lung,NSCLC,Lung Cancer,ABC-1,Lung,2.42004783204824,1.35907839420605
NCIH358_LUNG_TenPx06,NCIH358_LUNG,lung,NSCLC,Lung Cancer,NCI-H358,Lung,2.02092051722455,2.27815904368953
DMS273_LUNG_TenPx06,DMS273_LUNG,lung,SCLC,Lung Cancer,DMS 273,Lung,-1.24638140571614,-1.3415908617903
NCIH1299_LUNG_TenPx06,NCIH1299_LUNG,lung,NSCLC,Lung Cancer,NCI-H1299,Lung,-0.834182839388835,-1.26831048249319
NCIH1048_LUNG_TenPx07,NCIH1048_LUNG,lung,SCLC,Lung Cancer,NCI-H1048,Lung,-1.13920343347137,-0.822462624743977
NCIH1693_LUNG_TenPx08,NCIH1693_LUNG,lung,NSCLC,Lung Cancer,NCI-H1693,Lung,0.832171497546333,1.85390699585657
DMS114_LUNG_TenPx08,DMS114_LUNG,lung,SCLC,Lung Cancer,DMS 114,Lung,-1.32058734772584,-1.79906692198814
LUDLU1_LUNG_TenPx09,LUDLU1_LUNG,lung,NSCLC,Lung Cancer,LUDLU-1,Lung,1.6576758653625,1.09732336115942
HCC827_LUNG_TenPx10,HCC827_LUNG,lung,NSCLC,Lung Cancer,HCC827,Lung,2.5252116126129,1.80847161075187
NCIH2110_LUNG_TenPx10,NCIH2110_LUNG,lung,NSCLC,Lung Cancer,NCI-H2110,Lung,1.38376982126725,-0.687148129330744
NCIH520_LUNG_TenPx10,NCIH520_LUNG,lung,NSCLC,Lung Cancer,NCI-H520,Lung,-2.61515514580385,-1.89315199122283
HCC95_LUNG_TenPx11,HCC95_LUNG,lung,NSCLC,Lung Cancer,HCC-95,Lung,1.65996246468271,0.159743518456201
LK2_LUNG_TenPx11,LK2_LUNG,lung,NSCLC,Lung Cancer,LK-2,Lung,-0.552712789456478,-2.24264941636874
NCIH1650_LUNG_TenPx11,NCIH1650_LUNG,lung,NSCLC,Lung Cancer,NCI-H1650,Lung,2.28243773514674,1.584797934609
NCIH1573_LUNG_TenPx12,NCIH1573_LUNG,lung,NSCLC,Lung Cancer,NCI-H1573,Lung,0.538564421516332,0.904895344446136
A549_LUNG_TenPx12,A549_LUNG,lung,NSCLC,Lung Cancer,A549,Lung,-2.79992187142195,-5.30030757200522
NCIH2170_LUNG_TenPx12,NCIH2170_LUNG,lung,NSCLC,Lung Cancer,NCI-H2170,Lung,-0.116836720531755,1.43351888686291
DV90_LUNG_TenPx12,DV90_LUNG,lung,NSCLC,Lung Cancer,DV-90,Lung,1.92830661848231,2.5333035825933
SBC5_LUNG_TenPx13,SBC5_LUNG,lung,SCLC,Lung Cancer,SBC-5,Lung,-2.34135061053231,-2.4884112980203
NCIH3255_LUNG_TenPx13,NCIH3255_LUNG,lung,NSCLC,Lung Cancer,NCI-H3255,Lung,0.0984662090825736,0.94867281700122
NCIH1975_LUNG_TenPx13,NCIH1975_LUNG,lung,NSCLC,Lung Cancer,NCI-H1975,Lung,0.0336846436092726,1.05156867095784
CORL105_LUNG_TenPx13,CORL105_LUNG,lung,NSCLC,Lung Cancer,COR-L105,Lung,-2.92509722976601,-2.08255300509259
NCIH1666_LUNG_TenPx16,NCIH1666_LUNG,lung,NSCLC,Lung Cancer,NCI-H1666,Lung,1.12307829490342,0.0919837283122551
NCIH2291_LUNG_TenPx16,NCIH2291_LUNG,lung,NSCLC,Lung Cancer,NCI-H2291,Lung,1.15732875736606,1.62027705011321
NCIH838_LUNG_TenPx16,NCIH838_LUNG,lung,NSCLC,Lung Cancer,NCI-H838,Lung,-1.89744275080729,-2.52590355835083
RERFLCSQ1_LUNG_TenPx16,RERFLCSQ1_LUNG,lung,NSCLC,Lung Cancer,RERF-LC-Sq1,Lung,-2.3115335708691,-1.47787413312702
CORL47_LUNG_TenPx20,CORL47_LUNG,lung,SCLC,Lung Cancer,COR-L47,Lung,-1.83301114565456,-1.59425174221189
NCIH146_LUNG_TenPx20,NCIH146_LUNG,lung,SCLC,Lung Cancer,NCI-H146,Lung,-2.08231363308606,-2.7852227248516
NCIH23_LUNG_TenPx20,NCIH23_LUNG,lung,NSCLC,Lung Cancer,NCI-H23,Lung,-1.66944521320683,-3.00559581288356
CORL88_LUNG_TenPx21,CORL88_LUNG,lung,SCLC,Lung Cancer,COR-L88,Lung,-1.72973617467559,2.81733527015499
HCC44_LUNG_TenPx21,HCC44_LUNG,lung,NSCLC,Lung Cancer,HCC-44,Lung,-0.78931032834856,-0.55894243942282
NCIH2172_LUNG_TenPx21,NCIH2172_LUNG,lung,NSCLC,Lung Cancer,NCI-H2172,Lung,-0.414957089414946,-2.02076147165257
SW1573_LUNG_TenPx33,SW1573_LUNG,lung,NSCLC,Lung Cancer,SW 1573,Lung,-0.83930017148715,0.831708353025961
SW1271_LUNG_TenPx34,SW1271_LUNG,lung,SCLC,Lung Cancer,SW 1271,Lung,-1.2723361866078,-4.59299576257199
NCIH226_LUNG_TenPx34,NCIH226_LUNG,lung,NSCLC,Lung Cancer,NCI-H226,Lung,-1.10791952240559,-3.08535075601732
IALM_LUNG_TenPx34,IALM_LUNG,lung,NSCLC,Lung Cancer,IA-LM,Lung,-1.25170740133634,1.44201520116742
NCIH647_LUNG_TenPx35,NCIH647_LUNG,lung,NSCLC,Lung Cancer,NCI-H647,Lung,1.03568725879343,-0.390832839409234
HCC1833_LUNG_TenPx40,HCC1833_LUNG,lung,NSCLC,Lung Cancer,HCC-1833,Lung,-2.04417774770678,0.301393242144924
PC14_LUNG_TenPx05,PC14_LUNG,lung,NSCLC,Lung Cancer,PC-14,Lung,3.32487029580832,3.62802327698463
EBC1_LUNG_TenPx05,EBC1_LUNG,lung,NSCLC,Lung Cancer,EBC-1,Lung,2.35288341451137,3.70914297576777
NCIH1435_LUNG_TenPx15,NCIH1435_LUNG,lung,NSCLC,Lung Cancer,NCI-H1435,Lung,1.483328582339,0.401149343110885
NCIH1568_LUNG_TenPx15,NCIH1568_LUNG,lung,NSCLC,Lung Cancer,NCI-H1568,Lung,-0.253640981085358,0.644483123861004
NCIH1944_LUNG_TenPx15,NCIH1944_LUNG,lung,NSCLC,Lung Cancer,NCI-H1944,Lung,-2.86837669411355,-1.49837294805964
NCIH441_LUNG_TenPx15,NCIH441_LUNG,lung,NSCLC,Lung Cancer,NCI-H441,Lung,3.83551995512968,0.865934200455243
SHP77_LUNG_TenPx25,SHP77_LUNG,lung,SCLC,Lung Cancer,SHP-77,Lung,-1.71128617969788,0.832697129545896
