Sample_Origin	Cell_type	Cell_subtype	n_cells
PE	T lymphocytes	Naive CD4+ T	4360
PE	T lymphocytes		3412
PE	B lymphocytes	Follicular B cells	3019
PE	Myeloid cells	Pleural Mac	2713
PE	T lymphocytes	CD8 low T	1644
PE	T lymphocytes	Naive CD8+ T	1398
PE	NK cells		667
PE	T lymphocytes	Treg	518
PE	NK cells	NK	514
PE	T lymphocytes	Exhausted CD8+ T	423
PE	Epithelial cells		396
PE	Undetermined		289
PE	B lymphocytes	Undetermined	152
PE	Myeloid cells	Undetermined	142
PE	T lymphocytes	Cytotoxic CD8+ T	123
PE	B lymphocytes	MALT B cells	109
PE	Myeloid cells	Activated DCs	75
PE	T lymphocytes	Undetermined	63
PE	Myeloid cells	CD1c+ DCs	49
PE	NK cells	CD8 low T	47
PE	Myeloid cells	CD141+ DCs	42
PE	T lymphocytes	CD4+ Th	30
PE	Myeloid cells	mo-Mac	26
PE	NK cells	Cytotoxic CD8+ T	26
PE	NK cells	Naive CD8+ T	20
PE	NK cells	Exhausted CD8+ T	15
PE	Myeloid cells	Monocytes	8
PE	Myeloid cells	CD163+CD14+ DCs	5
PE	NK cells	Naive CD4+ T	5
PE	B lymphocytes	Plasma cells	3
PE	T lymphocytes	NK	3
PE	Myeloid cells	Alveolar Mac	2
PE	NK cells	Undetermined	2
PE	B lymphocytes	GC B cells in the DZ	1
PE	B lymphocytes	GrB-secreting B cells	1
PE	Myeloid cells	Microglia/Mac	1
PE	NK cells	Treg	1
mBrain	Epithelial cells	Malignant cells	15423
mBrain	Myeloid cells	mo-Mac	3942
mBrain	T lymphocytes		1581
mBrain	T lymphocytes	Undetermined	787
mBrain	Oligodendrocytes		716
mBrain	B lymphocytes	Follicular B cells	675
mBrain	Myeloid cells	Microglia/Mac	563
mBrain	MAST cells	MAST	508
mBrain	NK cells		505
mBrain	Myeloid cells	Undetermined	445
mBrain	T lymphocytes	Exhausted CD8+ T	363
mBrain	T lymphocytes	Treg	348
mBrain	T lymphocytes	CD4+ Th	337
mBrain	B lymphocytes	MALT B cells	326
mBrain	NK cells	NK	301
mBrain	B lymphocytes	Plasma cells	299
mBrain	T lymphocytes	Naive CD4+ T	256
mBrain	Myeloid cells	Monocytes	251
mBrain	Fibroblasts	Pericytes	217
mBrain	Fibroblasts	FB-like cells	200
mBrain	Myeloid cells	CD163+CD14+ DCs	177
mBrain	Fibroblasts	Tumor ECs	155
mBrain	Myeloid cells	Alveolar Mac	133
mBrain	T lymphocytes	CD8 low T	121
mBrain	Myeloid cells	Pleural Mac	73
mBrain	Epithelial cells		40
mBrain	T lymphocytes	Naive CD8+ T	39
mBrain	T lymphocytes	CD8+/CD4+ Mixed Th	38
mBrain	Myeloid cells	CD1c+ DCs	37
mBrain	Fibroblasts		33
mBrain	T lymphocytes	Cytotoxic CD8+ T	29
mBrain	NK cells	CD8 low T	25
mBrain	Myeloid cells	CD141+ DCs	16
mBrain	Myeloid cells	CD207+CD1a+ LCs	15
mBrain	NK cells	Undetermined	14
mBrain	Fibroblasts	Myofibroblasts	10
mBrain	Fibroblasts	Undetermined	9
mBrain	Fibroblasts	Smooth muscle cells	8
mBrain	NK cells	Cytotoxic CD8+ T	7
mBrain	B lymphocytes	Undetermined	6
mBrain	T lymphocytes	Exhausted Tfh	6
mBrain	T lymphocytes	NK	5
mBrain	B lymphocytes	GrB-secreting B cells	4
mBrain	Myeloid cells	Activated DCs	3
mBrain	NK cells	CD4+ Th	3
mBrain	NK cells	Naive CD4+ T	3
mBrain	Fibroblasts	Lymphatic ECs	2
mBrain	Fibroblasts	Stalk-like ECs	2
mBrain	Myeloid cells	pDCs	2
mBrain	B lymphocytes	GC B cells in the DZ	1
mBrain	NK cells	Exhausted CD8+ T	1
mLN	B lymphocytes	Follicular B cells	5119
mLN	Myeloid cells	mo-Mac	3841
mLN	Epithelial cells	Malignant cells	2961
mLN	T lymphocytes	Naive CD4+ T	1757
mLN	T lymphocytes		1389
mLN	T lymphocytes	Treg	633
mLN	NK cells	NK	570
mLN	Myeloid cells	Monocytes	563
mLN	Myeloid cells	Undetermined	545
mLN	T lymphocytes	Exhausted CD8+ T	492
mLN	T lymphocytes	CD4+ Th	491
mLN	NK cells		408
mLN	T lymphocytes	CD8 low T	359
mLN	B lymphocytes	Undetermined	270
mLN	T lymphocytes	Cytotoxic CD8+ T	242
mLN	B lymphocytes	GC B cells in the DZ	233
mLN	T lymphocytes	Naive CD8+ T	231
mLN	B lymphocytes	MALT B cells	208
mLN	T lymphocytes	NK	151
mLN	B lymphocytes	GC B cells in the LZ	149
mLN	Myeloid cells	CD163+CD14+ DCs	133
mLN	T lymphocytes	Undetermined	107
mLN	Epithelial cells		92
mLN	B lymphocytes	Plasma cells	82
mLN	Myeloid cells	Pleural Mac	77
mLN	Myeloid cells	CD1c+ DCs	75
mLN	Myeloid cells	CD207+CD1a+ LCs	68
mLN	Myeloid cells	pDCs	43
mLN	Myeloid cells	Alveolar Mac	39
mLN	Myeloid cells	Activated DCs	33
mLN	T lymphocytes	Exhausted Tfh	29
mLN	Undetermined		19
mLN	Myeloid cells	CD141+ DCs	18
mLN	Fibroblasts	Myofibroblasts	17
mLN	Fibroblasts	COL13A1+ matrix FBs	7
mLN	Myeloid cells	Microglia/Mac	7
mLN	Fibroblasts	Lymphatic ECs	6
mLN	Fibroblasts		3
mLN	Fibroblasts	COL14A1+ matrix FBs	2
mLN	Fibroblasts	Tumor ECs	2
mLN	NK cells	CD8 low T	2
mLN	NK cells	Cytotoxic CD8+ T	2
mLN	NK cells	Undetermined	2
mLN	B lymphocytes	GrB-secreting B cells	1
mLN	T lymphocytes	CD8+/CD4+ Mixed Th	1
nLN	T lymphocytes	Naive CD4+ T	13713
nLN	B lymphocytes	Follicular B cells	8982
nLN	T lymphocytes		5841
nLN	T lymphocytes	Treg	1516
nLN	T lymphocytes	Naive CD8+ T	1317
nLN	T lymphocytes	CD4+ Th	1159
nLN	T lymphocytes	CD8 low T	921
nLN	Myeloid cells	Undetermined	868
nLN	B lymphocytes	MALT B cells	525
nLN	B lymphocytes	Plasma cells	488
nLN	T lymphocytes	NK	307
nLN	B lymphocytes	Undetermined	276
nLN	Undetermined		255
nLN	T lymphocytes	Cytotoxic CD8+ T	185
nLN	Myeloid cells	CD1c+ DCs	181
nLN	B lymphocytes	GC B cells in the DZ	169
nLN	T lymphocytes	Exhausted CD8+ T	168
nLN	T lymphocytes	Undetermined	139
nLN	B lymphocytes	GC B cells in the LZ	132
nLN	Myeloid cells	Activated DCs	122
nLN	T lymphocytes	CD8+/CD4+ Mixed Th	52
nLN	Myeloid cells	mo-Mac	33
nLN	Myeloid cells	Monocytes	32
nLN	Myeloid cells	CD141+ DCs	27
nLN	Myeloid cells	Pleural Mac	15
nLN	B lymphocytes	GrB-secreting B cells	12
nLN	Myeloid cells	CD163+CD14+ DCs	8
nLN	Myeloid cells	pDCs	2
nLN	T lymphocytes	Exhausted Tfh	1
nLung	Myeloid cells	Alveolar Mac	12211
nLung	NK cells	NK	4195
nLung	T lymphocytes		3926
nLung	T lymphocytes	CD4+ Th	3101
nLung	NK cells		2557
nLung	Myeloid cells	Monocytes	2319
nLung	T lymphocytes	Cytotoxic CD8+ T	2028
nLung	Epithelial cells	AT2	2020
nLung	MAST cells	MAST	1079
nLung	Fibroblasts	COL14A1+ matrix FBs	1078
nLung	Myeloid cells	CD1c+ DCs	880
nLung	Myeloid cells	mo-Mac	808
nLung	Endothelial cells	Tip-like ECs	654
nLung	Epithelial cells	Ciliated	654
nLung	T lymphocytes	CD8 low T	651
nLung	T lymphocytes	NK	557
nLung	Epithelial cells	AT1	530
nLung	Epithelial cells	Club	439
nLung	B lymphocytes	Follicular B cells	332
nLung	Endothelial cells	Stalk-like ECs	322
nLung	T lymphocytes	Naive CD4+ T	280
nLung	Fibroblasts	COL13A1+ matrix FBs	259
nLung	Endothelial cells	Lymphatic ECs	207
nLung	T lymphocytes	Treg	196
nLung	B lymphocytes	GrB-secreting B cells	186
nLung	T lymphocytes	Exhausted CD8+ T	177
nLung	Myeloid cells	CD163+CD14+ DCs	143
nLung	Fibroblasts	Undetermined	122
nLung	Myeloid cells	CD141+ DCs	101
nLung	Fibroblasts		85
nLung	B lymphocytes	MALT B cells	76
nLung	T lymphocytes	Undetermined	76
nLung	Fibroblasts	Smooth muscle cells	69
nLung	Myeloid cells	Undetermined	69
nLung	Myeloid cells	Pleural Mac	67
nLung	Myeloid cells	Activated DCs	66
nLung	Endothelial cells	EPCs	65
nLung	T lymphocytes	Naive CD8+ T	61
nLung	Epithelial cells	Undetermined	60
nLung	Endothelial cells	Tumor ECs	47
nLung	Endothelial cells		46
nLung	NK cells	Undetermined	30
nLung	NK cells	CD8 low T	29
nLung	Fibroblasts	Pericytes	28
nLung	B lymphocytes	Plasma cells	23
nLung	B lymphocytes	Undetermined	16
nLung	Fibroblasts	Myofibroblasts	15
nLung	Fibroblasts	Mesothelial cells	13
nLung	NK cells	Cytotoxic CD8+ T	13
nLung	T lymphocytes	Exhausted Tfh	12
nLung	T lymphocytes	CD8+/CD4+ Mixed Th	7
nLung	Myeloid cells	CD207+CD1a+ LCs	6
nLung	Myeloid cells	pDCs	2
nLung	B lymphocytes	GC B cells in the DZ	1
nLung	Fibroblasts	FB-like cells	1
tL/B	Epithelial cells	Malignant cells	6400
tL/B	T lymphocytes		638
tL/B	Myeloid cells	Monocytes	499
tL/B	Myeloid cells	mo-Mac	460
tL/B	T lymphocytes	Naive CD4+ T	410
tL/B	T lymphocytes	Exhausted CD8+ T	397
tL/B	B lymphocytes	Follicular B cells	382
tL/B	T lymphocytes	Treg	346
tL/B	T lymphocytes	CD8 low T	340
tL/B	NK cells	NK	315
tL/B	T lymphocytes	Cytotoxic CD8+ T	282
tL/B	T lymphocytes	CD4+ Th	252
tL/B	NK cells		250
tL/B	Myeloid cells	Undetermined	195
tL/B	Epithelial cells		182
tL/B	T lymphocytes	Naive CD8+ T	105
tL/B	T lymphocytes	NK	91
tL/B	Myeloid cells	CD163+CD14+ DCs	71
tL/B	Undetermined		67
tL/B	T lymphocytes	Undetermined	56
tL/B	Fibroblasts	Myofibroblasts	52
tL/B	Myeloid cells	Alveolar Mac	52
tL/B	B lymphocytes	MALT B cells	50
tL/B	Myeloid cells	CD1c+ DCs	32
tL/B	B lymphocytes	Plasma cells	27
tL/B	Fibroblasts	Tumor ECs	16
tL/B	Fibroblasts	COL13A1+ matrix FBs	13
tL/B	Fibroblasts	Pericytes	9
tL/B	T lymphocytes	Exhausted Tfh	9
tL/B	B lymphocytes	Undetermined	8
tL/B	Fibroblasts		8
tL/B	NK cells	Cytotoxic CD8+ T	8
tL/B	NK cells	Undetermined	8
tL/B	Fibroblasts	Smooth muscle cells	7
tL/B	Myeloid cells	pDCs	7
tL/B	T lymphocytes	CD8+/CD4+ Mixed Th	6
tL/B	Myeloid cells	Pleural Mac	5
tL/B	Myeloid cells	CD141+ DCs	4
tL/B	Fibroblasts	Undetermined	3
tL/B	Myeloid cells	Activated DCs	3
tL/B	NK cells	CD8 low T	2
tL/B	B lymphocytes	GC B cells in the DZ	1
tL/B	B lymphocytes	GrB-secreting B cells	1
tL/B	Fibroblasts	EPCs	1
tL/B	Fibroblasts	Lymphatic ECs	1
tL/B	Fibroblasts	Mesothelial cells	1
tL/B	Myeloid cells	CD207+CD1a+ LCs	1
tLung	T lymphocytes		5184
tLung	Myeloid cells	mo-Mac	4678
tLung	B lymphocytes	Follicular B cells	3580
tLung	T lymphocytes	CD4+ Th	3571
tLung	Epithelial cells	tS1	3270
tLung	Epithelial cells	tS2	3018
tLung	T lymphocytes	CD8+/CD4+ Mixed Th	2464
tLung	MAST cells	MAST	1809
tLung	T lymphocytes	Exhausted CD8+ T	1761
tLung	T lymphocytes	Naive CD4+ T	1743
tLung	T lymphocytes	Treg	1608
tLung	Myeloid cells	Alveolar Mac	1324
tLung	B lymphocytes	MALT B cells	1126
tLung	Epithelial cells		918
tLung	T lymphocytes	CD8 low T	776
tLung	Fibroblasts	COL13A1+ matrix FBs	703
tLung	Myeloid cells	CD163+CD14+ DCs	660
tLung	Myeloid cells	Monocytes	639
tLung	Myeloid cells	CD1c+ DCs	528
tLung	NK cells	NK	500
tLung	Myeloid cells	Undetermined	484
tLung	NK cells		466
tLung	T lymphocytes	Cytotoxic CD8+ T	394
tLung	Fibroblasts	COL14A1+ matrix FBs	390
tLung	T lymphocytes	Exhausted Tfh	385
tLung	B lymphocytes	Plasma cells	314
tLung	Endothelial cells	Tumor ECs	274
tLung	T lymphocytes	Undetermined	259
tLung	Fibroblasts	Myofibroblasts	245
tLung	T lymphocytes	NK	239
tLung	T lymphocytes	Naive CD8+ T	203
tLung	Endothelial cells	Tip-like ECs	168
tLung	Myeloid cells	Activated DCs	154
tLung	Fibroblasts	Smooth muscle cells	139
tLung	B lymphocytes	Undetermined	130
tLung	Myeloid cells	pDCs	116
tLung	Fibroblasts	Undetermined	111
tLung	Endothelial cells	Stalk-like ECs	103
tLung	Myeloid cells	CD141+ DCs	95
tLung	B lymphocytes	GC B cells in the LZ	92
tLung	Myeloid cells	CD207+CD1a+ LCs	87
tLung	Endothelial cells	Lymphatic ECs	73
tLung	B lymphocytes	GC B cells in the DZ	70
tLung	Epithelial cells	tS3	64
tLung	Fibroblasts		63
tLung	Fibroblasts	Pericytes	45
tLung	Endothelial cells		29
tLung	Myeloid cells	Pleural Mac	29
tLung	NK cells	Cytotoxic CD8+ T	24
tLung	Fibroblasts	Mesothelial cells	21
tLung	NK cells	CD8 low T	9
tLung	Endothelial cells	EPCs	8
tLung	NK cells	Undetermined	3
tLung	Fibroblasts	EPCs	1
tLung	NK cells	CD4+ Th	1
tLung	NK cells	Exhausted CD8+ T	1
