accession	pdat	n_samples	gdstype	title
GSE146100	2021/04/28	3	Expression profiling by high throughput sequencing	Distinct Immune-microenvironment Construction Diversely Responded to Induction Immunotherapy among Multiple Primary Lung Adenocarcinoma
GSE207422	2023/03/21	39	Expression profiling by high throughput sequencing	Tumor microenvironment remodeling after neoadjuvant immunotherapy in non-small cell lung cancer revealed by single-cell RNA sequencing
GSE229353	2023/05/16	7	Expression profiling by high throughput sequencing	PD-1 blockade potentiates neoadjuvant chemotherapy in NSCLC via increasing CD127+ and KLRG1+ CD8 T cells
GSE240033	2023/10/01	69	Expression profiling by high throughput sequencing	VIGOR canine osteosarcoma tumor, cell line and skin samples
GSE248378	2023/11/26	29	Expression profiling by high throughput sequencing	Neoadjuvant durvalumab plus radiation versus durvalumab alone in stages I-III non-small cell lung cancer: survival outcomes and molecular correlates of a randomized phase II trial
GSE241934	2024/05/17	88	Expression profiling by high throughput sequencing; Other	Neoadjuvant sintilimab plus chemotherapy in early-stage EGFR-mutant NSCLC: phase 2 trial interim results (NEOTIDE/CTONG2104)
GSE225620	2024/07/05	43	Expression profiling by high throughput sequencing	Blood-based Genomic and Cellular Determinants of Response to Neoadjuvant PD-1 Blockade in Patients with Non-Small-Cell Lung Cancer
GSE249568	2024/09/27	94	Expression profiling by array	Gene expression from paired biopsies from a patient with METex14 skiping non-small cell lung cancer before and after treatment with neoadjuvant tepotinib (42 days)
GSE250509	2024/09/27	94	Other	Protein expression from paired biopsies from a patient with METex14 skiping non-small cell lung cancer before and after treatment with neoadjuvant tepotinib (42 days)
GSE280232	2024/10/24	42	Expression profiling by high throughput sequencing; Other	Divergent clinical and immunologic outcomes based on STK11 co-mutation status in resectable KRAS-mutant lung cancers following neoadjuvant immune checkpoint blockade
GSE243013	2025/01/28	243	Expression profiling by high throughput sequencing	A single-cell atlas of immune heterogeneity  in anti-PD1-treated non-small cell lung cancer
GSE274934	2025/01/30	23	Expression profiling by high throughput sequencing; Other; Genome binding/occupancy profiling by high throughput sequencing	Single-cell multi-omics reveals tumor microenvironment factors underlying poor immunotherapy responses in ALK-positive lung cancer
GSE291670	2025/03/31	6	Expression profiling by high throughput sequencing	Neoadjuvant anlotinib combined with PD-1 blockade therapy remodeling the microenvironment in advanced non-small cell lung cancer
GSE299111	2025/06/06	7	Expression profiling by high throughput sequencing	Regulatory T cells in lung tumor shape an anti-inflammatory myeloid-landscape recovery after chemotherapy
GSE300685	2025/06/30	8	Expression profiling by high throughput sequencing	Tumor-infiltrating natural killer cell profiling for therapeutic stratification in smokers with resectable non-small cell lung cancer
GSE337519	2026/07/29	1	Expression profiling by high throughput sequencing	Single-cell transcriptomic landscape of neoadjuvant chemo-immunotherapy response in lung cancer
