accession	pdat	n_samples	gdstype	title
GSE207422	2023/03/21	39	Expression profiling by high throughput sequencing	Tumor microenvironment remodeling after neoadjuvant immunotherapy in non-small cell lung cancer revealed by single-cell RNA sequencing
GSE229353	2023/05/16	7	Expression profiling by high throughput sequencing	PD-1 blockade potentiates neoadjuvant chemotherapy in NSCLC via increasing CD127+ and KLRG1+ CD8 T cells
GSE165218	2023/06/29	11	Expression profiling by high throughput sequencing	mTert induction in p21-positive cells counteracts capillary rarefaction and pulmonary emphysema
GSE227000	2023/07/14	5	Expression profiling by high throughput sequencing	Long-read transcriptome profiling of human lung cancer cell lines
GSE240033	2023/10/01	69	Expression profiling by high throughput sequencing	VIGOR canine osteosarcoma tumor, cell line and skin samples
GSE248378	2023/11/26	29	Expression profiling by high throughput sequencing	Neoadjuvant durvalumab plus radiation versus durvalumab alone in stages I-III non-small cell lung cancer: survival outcomes and molecular correlates of a randomized phase II trial
GSE182337	2023/12/31	1	Expression profiling by high throughput sequencing	Single-cell RNA-Seq of Foxe1KO mouse ESC-derived cells
GSE243765	2024/01/31	99	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing; Other	Mechanoresponsive genomic enhancers potentiate the cellular response to matrix stiffness
GSE260770	2024/05/01	50	Expression profiling by high throughput sequencing	The activity and safety of sintilimab on high-risk ground glass opacity lesions in multiple primary lung cancer patients
GSE241934	2024/05/17	88	Expression profiling by high throughput sequencing; Other	Neoadjuvant sintilimab plus chemotherapy in early-stage EGFR-mutant NSCLC: phase 2 trial interim results (NEOTIDE/CTONG2104)
GSE263248	2024/05/31	148	Other	Human γδ T cells in diverse tissues exhibit site-specific maturation dynamics across the lifespan
GSE225620	2024/07/05	43	Expression profiling by high throughput sequencing	Blood-based Genomic and Cellular Determinants of Response to Neoadjuvant PD-1 Blockade in Patients with Non-Small-Cell Lung Cancer
GSE231385	2024/08/01	1	Expression profiling by high throughput sequencing	SDePER: a hybrid machine learning and regression method for cell-type deconvolution of spatial barcoding-based transcriptomic data
GSE249568	2024/09/27	94	Expression profiling by array	Gene expression from paired biopsies from a patient with METex14 skiping non-small cell lung cancer before and after treatment with neoadjuvant tepotinib (42 days)
GSE250509	2024/09/27	94	Other	Protein expression from paired biopsies from a patient with METex14 skiping non-small cell lung cancer before and after treatment with neoadjuvant tepotinib (42 days)
GSE280232	2024/10/24	42	Expression profiling by high throughput sequencing; Other	Divergent clinical and immunologic outcomes based on STK11 co-mutation status in resectable KRAS-mutant lung cancers following neoadjuvant immune checkpoint blockade
GSE245687	2024/11/30	27	Expression profiling by high throughput sequencing	Molecular pathological mechanism of DIQUAT-induced multi-organ injury
GSE264196	2024/12/05	20	Expression profiling by high throughput sequencing	A 50-gene high-risk profile predictive of COVID-19 and Idiopathic Pulmonary Fibrosis mortality originates from a molecular imbalance in monocyte and T-cell subsets that reverses in survivors with post-COVID-19 Interstitial Lung Disease
GSE283522	2024/12/23	1254	Expression profiling by high throughput sequencing	The spatially informed mFISHseq assay resolves biomarker discordance and predicts treatment response in breast cancer
GSE243013	2025/01/28	243	Expression profiling by high throughput sequencing	A single-cell atlas of immune heterogeneity  in anti-PD1-treated non-small cell lung cancer
GSE274934	2025/01/30	23	Expression profiling by high throughput sequencing; Other; Genome binding/occupancy profiling by high throughput sequencing	Single-cell multi-omics reveals tumor microenvironment factors underlying poor immunotherapy responses in ALK-positive lung cancer
GSE282849	2025/02/03	3	Expression profiling by high throughput sequencing	Cholesterol mobilization regulates dendritic cell maturation and the immunogenic response to cancer
GSE291670	2025/03/31	6	Expression profiling by high throughput sequencing	Neoadjuvant anlotinib combined with PD-1 blockade therapy remodeling the microenvironment in advanced non-small cell lung cancer
GSE262069	2025/04/07	16	Expression profiling by high throughput sequencing	Adventitial fibroblasts direct smooth muscle cell-state transition in pulmonary vascular disease
GSE295857	2025/05/02	14	Genome binding/occupancy profiling by high throughput sequencing	Tracing the evolution of single-cell 3D genomes in Kras-driven cancers
