ligand	receptor	pathway
CXCL9	CXCR3	T_recruit
CXCL10	CXCR3	T_recruit
CXCL11	CXCR3	T_recruit
CCL5	CCR5	T_recruit
CCL3	CCR5	T_recruit
CCL4	CCR5	T_recruit
CCL5	CCR1	T_recruit
CXCL16	CXCR6	T_recruit
CCL19	CCR7	T_recruit
CCL21	CCR7	T_recruit
CXCL13	CXCR5	T_recruit
CX3CL1	CX3CR1	T_recruit
CXCL12	CXCR4	T_recruit
IFNG	IFNGR1	IFN
IFNG	IFNGR2	IFN
IFNG	IFNGR1+IFNGR2	IFN
IFNB1	IFNAR1	IFN
IFNB1	IFNAR2	IFN
HLA-A	CD8A	MHC_I
HLA-B	CD8A	MHC_I
HLA-C	CD8A	MHC_I
HLA-A	CD8B	MHC_I
HLA-B	CD8B	MHC_I
HLA-C	CD8B	MHC_I
HLA-E	KLRC1	MHC_I
HLA-E	KLRD1	MHC_I
HLA-E	KLRC1+KLRD1	MHC_I
HLA-G	LILRB2	MHC_I
HLA-A	KIR3DL1	MHC_I
HLA-C	KIR2DL1	MHC_I
HLA-C	KIR2DL3	MHC_I
