set	gene
HALLMARK_INTERFERON_ALPHA_RESPONSE	Adar
HALLMARK_INTERFERON_ALPHA_RESPONSE	B2m
HALLMARK_INTERFERON_ALPHA_RESPONSE	Batf2
HALLMARK_INTERFERON_ALPHA_RESPONSE	Bst2
HALLMARK_INTERFERON_ALPHA_RESPONSE	C1s1
HALLMARK_INTERFERON_ALPHA_RESPONSE	Casp1
HALLMARK_INTERFERON_ALPHA_RESPONSE	Casp8
HALLMARK_INTERFERON_ALPHA_RESPONSE	Ccrl2
HALLMARK_INTERFERON_ALPHA_RESPONSE	Cd47
HALLMARK_INTERFERON_ALPHA_RESPONSE	Cd74
HALLMARK_INTERFERON_ALPHA_RESPONSE	Cmpk2
HALLMARK_INTERFERON_ALPHA_RESPONSE	Cmtr1
HALLMARK_INTERFERON_ALPHA_RESPONSE	Cnp
HALLMARK_INTERFERON_ALPHA_RESPONSE	Csf1
HALLMARK_INTERFERON_ALPHA_RESPONSE	Cxcl10
HALLMARK_INTERFERON_ALPHA_RESPONSE	Cxcl11
HALLMARK_INTERFERON_ALPHA_RESPONSE	Ddx60
HALLMARK_INTERFERON_ALPHA_RESPONSE	Dhx58
HALLMARK_INTERFERON_ALPHA_RESPONSE	Eif2ak2
HALLMARK_INTERFERON_ALPHA_RESPONSE	Elf1
HALLMARK_INTERFERON_ALPHA_RESPONSE	Epsti1
HALLMARK_INTERFERON_ALPHA_RESPONSE	Gbp3
HALLMARK_INTERFERON_ALPHA_RESPONSE	Gmpr
HALLMARK_INTERFERON_ALPHA_RESPONSE	Helz2
HALLMARK_INTERFERON_ALPHA_RESPONSE	Herc6
HALLMARK_INTERFERON_ALPHA_RESPONSE	Ifi27
HALLMARK_INTERFERON_ALPHA_RESPONSE	Ifi30
HALLMARK_INTERFERON_ALPHA_RESPONSE	Ifi35
HALLMARK_INTERFERON_ALPHA_RESPONSE	Ifi44
HALLMARK_INTERFERON_ALPHA_RESPONSE	Ifi44l
HALLMARK_INTERFERON_ALPHA_RESPONSE	Ifih1
