tf	dataset	gene	rho	percentile	n_genes
ELF3	GSE123902	ELF3	1.0	100.0	21743
ELF3	GSE123902	GRHL1	0.21978021978021978	37.70408867221634	21743
ELF3	GSE123902	GRHL2	0.6492440804992609	89.87260267672355	21743
ELF3	GSE123902	GRHL3	0.33520412039741876	50.7519661500253	21743
ELF3	GSE123902	TACSTD2	0.34065934065934067	51.26707446074599	21743
ELF3	GSE123902	CLDN4	0.9065934065934066	99.95860736788852	21743
ELF3	GSE123902	CLDN7	0.8626373626373627	99.71025157521962	21743
ELF3	GSE123902	EPCAM	0.9560439560439561	99.99540081865428	21743
ELF3	GSE123902	KRT8	0.7802197802197802	98.1097364669089	21743
ELF3	GSE123902	KRT18	0.7637362637362637	97.48424780389091	21743
ELF3	GSE123902	KRT19	0.6318681318681318	88.38246792071011	21743
ELF3	GSE123902	KRT5	-0.03756597901005555	16.82840454399117	21743
ELF3	GSE123902	CDH1	0.7857142857142857	98.24311272593478	21743
ELF3	GSE123902	PTPRC			21743
ELF3	GSE131907	ELF3	1.0	100.0	27226
ELF3	GSE131907	GRHL1	0.1	43.675163446705355	27226
ELF3	GSE131907	GRHL2	0.39428387919061814	84.73885256739881	27226
ELF3	GSE131907	GRHL3	0.0526144879974301	36.74428854771175	27226
ELF3	GSE131907	TACSTD2	0.36883116883116884	81.67927716153677	27226
ELF3	GSE131907	CLDN4	0.6961038961038961	99.36457797693382	27226
ELF3	GSE131907	CLDN7	0.5727272727272728	96.63556894145302	27226
ELF3	GSE131907	EPCAM	0.6233766233766234	98.185557922574	27226
ELF3	GSE131907	KRT8	0.5922077922077922	97.29670168221553	27226
ELF3	GSE131907	KRT18	0.5324675324675324	94.9019319767869	27226
ELF3	GSE131907	KRT19	0.3961038961038961	84.97392198633659	27226
ELF3	GSE131907	KRT5	-0.1439199061048417	13.387938000440755	27226
ELF3	GSE131907	CDH1	0.6116883116883117	97.92845074561082	27226
ELF3	GSE131907	PTPRC	-0.21428571428571427	8.587379710570778	27226
ELF3	GSE205335	ELF3	1.0	100.0	32637
ELF3	GSE205335	GRHL1	0.46357989836250707	88.74896589760088	32637
ELF3	GSE205335	GRHL2	0.5911914172783738	96.96969696969697	32637
ELF3	GSE205335	GRHL3	0.17334839073969507	46.06121886202776	32637
ELF3	GSE205335	TACSTD2	0.48616600790513836	90.86619480957195	32637
ELF3	GSE205335	CLDN4	0.6137775268210051	97.78165885344853	32637
ELF3	GSE205335	CLDN7	0.7459062676453981	99.82228758770721	32637
ELF3	GSE205335	EPCAM	0.7741389045736872	99.9203358151791	32637
ELF3	GSE205335	KRT8	0.5448898927159797	94.98115635628275	32637
ELF3	GSE205335	KRT18	0.6702428006775832	99.06854183901707	32637
ELF3	GSE205335	KRT19	0.3495200451722191	74.7617734473144	32637
ELF3	GSE205335	KRT5	-0.3928284672066918	0.35542482458559305	32637
ELF3	GSE205335	CDH1	0.7899491812535291	99.94791187915555	32637
ELF3	GSE205335	PTPRC	0.029926595143986448	25.336274780157492	32637
ELF3	GSE189357	ELF3	1.0	100.0	26065
ELF3	GSE189357	GRHL1	0.8333333333333334	98.89507001726453	26065
ELF3	GSE189357	GRHL2	0.45	70.66948014578938	26065
ELF3	GSE189357	GRHL3	0.44074127735352675	69.29599079225014	26065
ELF3	GSE189357	TACSTD2	0.95	99.94628812583925	26065
ELF3	GSE189357	CLDN4	0.95	99.94628812583925	26065
ELF3	GSE189357	CLDN7	0.7333333333333333	96.25935162094763	26065
ELF3	GSE189357	EPCAM	0.7166666666666667	95.51889507001727	26065
ELF3	GSE189357	KRT8	0.7666666666666667	97.21081910608095	26065
ELF3	GSE189357	KRT18	0.8166666666666667	98.63034720890083	26065
ELF3	GSE189357	KRT19	0.8166666666666667	98.63034720890083	26065
ELF3	GSE189357	KRT5	0.00836827408755723	24.814885862267406	26065
ELF3	GSE189357	CDH1	0.85	99.16362938806829	26065
ELF3	GSE189357	PTPRC			26065
GRHL2	GSE123902	ELF3	0.6492440804992609	95.78714988732006	21743
GRHL2	GSE123902	GRHL1	0.569464087556555	92.10780481074369	21743
GRHL2	GSE123902	GRHL2	1.0	100.0	21743
GRHL2	GSE123902	GRHL3	0.41668822739731437	80.00275950880743	21743
GRHL2	GSE123902	TACSTD2	0.654746148978068	95.99871222922319	21743
GRHL2	GSE123902	CLDN4	0.6712523544144899	96.58740744147542	21743
GRHL2	GSE123902	CLDN7	0.6079785669082061	93.9750724371062	21743
GRHL2	GSE123902	EPCAM	0.5722151217959587	92.25037943246103	21743
GRHL2	GSE123902	KRT8	0.35763445112247416	72.47389964586304	21743
GRHL2	GSE123902	KRT18	0.2778544581797684	61.307087338453755	21743
GRHL2	GSE123902	KRT19	0.32462204024963043	68.67037667295222	21743
GRHL2	GSE123902	KRT5	-0.062213867285015684	23.235064158579775	21743
GRHL2	GSE123902	CDH1	0.6767544228932972	96.71618451915559	21743
GRHL2	GSE123902	PTPRC			21743
GRHL2	GSE131907	ELF3	0.39428387919061814	92.98831998824653	27226
GRHL2	GSE131907	GRHL1	0.27801235633209975	81.72702563725849	27226
GRHL2	GSE131907	GRHL2	1.0	100.0	27226
GRHL2	GSE131907	GRHL3	-0.010071474983755685	37.93432748108426	27226
GRHL2	GSE131907	TACSTD2	0.7236116003597176	99.95959744362007	27226
GRHL2	GSE131907	CLDN4	0.5151023331106428	98.27003599500478	27226
GRHL2	GSE131907	CLDN7	-0.019486847406455593	36.45779769338133	27226
GRHL2	GSE131907	EPCAM	0.44559924402761786	95.93403364431059	27226
GRHL2	GSE131907	KRT8	0.13965573974626508	60.68831264232719	27226
GRHL2	GSE131907	KRT18	0.16758688769551808	65.37500918239918	27226
GRHL2	GSE131907	KRT19	0.4631374066934279	96.6135311834276	27226
GRHL2	GSE131907	KRT5	0.01367683233103697	41.53382795856901	27226
GRHL2	GSE131907	CDH1	0.5300422494555921	98.55285388966429	27226
GRHL2	GSE131907	PTPRC	0.10068204493335389	54.60589142731212	27226
GRHL2	GSE205335	ELF3	0.5911914172783738	93.72184943469068	32637
GRHL2	GSE205335	GRHL1	0.6024844720496895	94.53687532555075	32637
GRHL2	GSE205335	GRHL2	1.0	100.0	32637
GRHL2	GSE205335	GRHL3	0.3642010163749294	67.78502926126788	32637
GRHL2	GSE205335	TACSTD2	0.6781479390175043	98.1646597420106	32637
GRHL2	GSE205335	CLDN4	0.47939017504234893	82.96718448386801	32637
GRHL2	GSE205335	CLDN7	0.6600790513833992	97.48445016392438	32637
GRHL2	GSE205335	EPCAM	0.38226990400903443	70.19027484143763	32637
GRHL2	GSE205335	KRT8	0.5957086391869001	94.0619542237338	32637
GRHL2	GSE205335	KRT18	0.42857142857142855	76.57872966265282	32637
GRHL2	GSE205335	KRT19	0.585544889892716	93.33884854612863	32637
GRHL2	GSE205335	KRT5	0.17356191481886235	40.873854827343195	32637
GRHL2	GSE205335	CDH1	0.709768492377188	99.00113368263015	32637
GRHL2	GSE205335	PTPRC	0.4522868435911914	79.63354474982381	32637
GRHL2	GSE189357	ELF3	0.45	42.900441204680604	26065
GRHL2	GSE189357	GRHL1	0.7833333333333333	73.58910416267025	26065
GRHL2	GSE189357	GRHL2	1.0	100.0	26065
GRHL2	GSE189357	GRHL3	0.22037063867676338	28.129675810473813	26065
GRHL2	GSE189357	TACSTD2	0.5833333333333334	53.79627853443315	26065
GRHL2	GSE189357	CLDN4	0.3333333333333333	35.05467101477077	26065
GRHL2	GSE189357	CLDN7	0.6833333333333333	62.244389027431424	26065
GRHL2	GSE189357	EPCAM	0.8333333333333334	80.89008248609247	26065
GRHL2	GSE189357	KRT8	0.21666666666666667	27.903318626510647	26065
GRHL2	GSE189357	KRT18	0.2	27.024745827738343	26065
GRHL2	GSE189357	KRT19	0.5666666666666667	52.599271053136384	26065
GRHL2	GSE189357	KRT5	0.050209644525343385	19.00633032802609	26065
GRHL2	GSE189357	CDH1	0.7833333333333333	73.58910416267025	26065
GRHL2	GSE189357	PTPRC			26065
