score	dataset	n	rho	p
pct_ELF3	GSE123902	13	-0.7362637362637362	0.004107709360574615
pct_ELF3	GSE131907	21	-0.4831168831168831	0.026518455375827792
pct_ELF3	GSE205335	22	-0.11914172783738003	0.5974355927153715
pct_ELF3	GSE189357	9	-0.5333333333333333	0.13922686754397814
pct_TACSTD2	GSE123902	13	-0.32417582417582413	0.27988186889314004
pct_TACSTD2	GSE131907	21	-0.15064935064935067	0.5145138644694079
pct_TACSTD2	GSE205335	22	0.20835686053077357	0.3521105235596147
pct_TACSTD2	GSE189357	9	-0.48333333333333334	0.18746985521554216
pct_CLDN4	GSE123902	13	-0.6593406593406593	0.0142255785114567
pct_CLDN4	GSE131907	21	-0.5220779220779221	0.015195754492505785
pct_CLDN4	GSE205335	22	-0.43534726143421804	0.042861326301676765
pct_CLDN4	GSE189357	9	-0.6	0.08762282904140249
pct_CLDN7	GSE123902	13	-0.7197802197802198	0.005536115775787644
pct_CLDN7	GSE131907	21	-0.5792207792207792	0.005931730203525632
pct_CLDN7	GSE205335	22	0.14737436476566912	0.5127986614526048
pct_CLDN7	GSE189357	9	-0.3666666666666667	0.3317398014330152
pct_GRHL2	GSE123902	13	-0.4401654783045836	0.13226549708781862
pct_GRHL2	GSE131907	21	0.00909386212301261	0.9687930228907543
pct_GRHL2	GSE205335	22	0.28514963297572	0.19833723026139677
pct_GRHL2	GSE189357	9	-0.16666666666666669	0.668231040071504
module4_pct	GSE123902	13	-0.7692307692307693	0.0021122295993498794
module4_pct	GSE131907	21	-0.4896103896103896	0.024270522021007424
module4_pct	GSE205335	22	0.011857707509881424	0.9582317578505689
module4_pct	GSE189357	9	-0.48333333333333334	0.18746985521554216
module3_pct	GSE123902	13	-0.7307692307692307	0.004547733743967148
module3_pct	GSE131907	21	-0.4909090909090909	0.023839688371383023
module3_pct	GSE205335	22	0.1078486730660644	0.6328460665787424
module3_pct	GSE189357	9	-0.48333333333333334	0.18746985521554216
wmean_ELF3	GSE123902	13	-0.7747252747252747	0.0018713615028719084
wmean_ELF3	GSE131907	21	-0.08181818181818182	0.7244098408074375
wmean_ELF3	GSE205335	22	0.479390175042349	0.023975106739672795
wmean_ELF3	GSE189357	9	-0.39999999999999997	0.286105101908313
wmean_GRHL2	GSE123902	13	-0.6703296703296703	0.012166220319952023
wmean_GRHL2	GSE131907	21	-0.3246753246753247	0.15100567594389835
wmean_GRHL2	GSE205335	22	0.2885375494071147	0.19282461005168622
wmean_GRHL2	GSE189357	9	-0.3666666666666667	0.3317398014330152
wmean_GRHL2_noCLDN4	GSE123902	13	-0.6373626373626374	0.019118113777463305
wmean_GRHL2_noCLDN4	GSE131907	21	-0.23766233766233766	0.2995610974844405
wmean_GRHL2_noCLDN4	GSE205335	22	0.3754940711462451	0.08505436731083474
wmean_GRHL2_noCLDN4	GSE189357	9	-0.2333333333333333	0.5456987782182728
module4_mean	GSE123902	13	-0.6373626373626374	0.019118113777463305
module4_mean	GSE131907	21	-0.42207792207792205	0.056659249673108106
module4_mean	GSE205335	22	0.1326933935629588	0.5560825858858706
module4_mean	GSE189357	9	-0.4666666666666666	0.2053863511058121
module3_mean	GSE123902	13	-0.6813186813186813	0.010340409451492902
module3_mean	GSE131907	21	-0.34025974025974026	0.13123757652772486
module3_mean	GSE205335	22	0.24562394127611523	0.27054137518067206
module3_mean	GSE189357	9	-0.4666666666666666	0.2053863511058121
