score	r	p	n_q1	n_q4
pct_ELF3	-0.48684210526315785	0.014940084023921841	19	16
pct_TACSTD2	-0.256578947368421	0.20235795181639804	19	16
pct_CLDN4	-0.7236842105263157	0.00028794861470847027	19	16
pct_CLDN7	-0.381578947368421	0.05690819636755544	19	16
pct_GRHL2	-0.006578947368421018	0.986790304541065	19	16
module4_pct	-0.5263157894736843	0.008475701201894085	19	16
module3_pct	-0.48026315789473684	0.01636307973192807	19	16
wmean_ELF3	-0.07894736842105265	0.7033493939439278	19	16
wmean_GRHL2	-0.13815789473684215	0.4972501245865969	19	16
wmean_GRHL2_noCLDN4	-0.11184210526315785	0.5848119043227108	19	16
module4_mean	-0.39473684210526316	0.04881065575345194	19	16
module3_mean	-0.3157894736842105	0.11574610344611347	19	16
