score	label	kind	rho	p	I2	ci_lo	ci_hi	k	N
pct_ELF3	ELF3 %pos	primary	-0.4591568697778589	0.005260304295829554	0.36350190894075235	-0.6883307203322928	-0.1466433814076976	4	65
pct_TACSTD2	TACSTD2 %pos	primary	-0.1115981379180405	0.46033442477857556	0.15381992904963504	-0.3881079036942132	0.1833438072055367	4	65
pct_CLDN4	CLDN4 %pos (pipeline check)	check	-0.5311678045689989	1.6462232944573955e-05	0.0	-0.6967711225150761	-0.3118052568209761	4	65
pct_CLDN7	CLDN7 %pos	primary	-0.4087317735849556	0.08864045810730725	0.6844667563786603	-0.7323593071446133	0.06552767591295217	4	65
pct_GRHL2	GRHL2 %pos	primary	-0.02147861142947285	0.895408814042601	0.25696618188159437	-0.32904597144178693	0.2902087371994346	4	65
module4_pct	four-gene %pos module	primary	-0.44924181351887116	0.0317268481174477	0.5962047529127863	-0.7283455122391714	-0.042280298134715205	4	65
module3_pct	ELF3+TACSTD2+CLDN7 %pos (CLDN4 out)	primary	-0.41226823952290625	0.06300195153071654	0.6311858832912459	-0.7165182373049236	0.023766529243707462	4	65
wmean_ELF3	ELF3 DoRothEA wmean	primary	-0.21907235320561522	0.508428733704001	0.8199488071890637	-0.7077652364074873	0.41142780133900675	4	65
wmean_GRHL2	GRHL2 DoRothEA wmean	primary	-0.2678918071691238	0.26751057452348903	0.6655687390936545	-0.641061551746168	0.20772381931997994	4	65
wmean_GRHL2_noCLDN4	GRHL2 wmean, CLDN4 out	primary	-0.17756955854544043	0.4789329857823277	0.6807951076473704	-0.5891097218394425	0.3071156187571496	4	65
module4_mean	four-gene mean-log1p module	companion	-0.337037150742848	0.08995273386384041	0.5229029728378958	-0.6388178737512682	0.05462721330671683	4	65
module3_mean	three-gene mean-log1p module	companion	-0.30908195919054837	0.1909796373852496	0.6565040438868541	-0.663170122111971	0.15805499215258279	4	65
