tf	gene	in_ABC	mor	confidence	n_targets_ABC
ELF3	TACSTD2	False			53
ELF3	CLDN4	False			53
ELF3	CLDN7	False			53
ELF3	CDH1	False			53
ELF3	GRHL2	True	1.0	C	53
ELF3	KRT8	True	1.0	C	53
ELF3	ELF3	False			53
GRHL2	TACSTD2	False			79
GRHL2	CLDN4	True	1.0	C	79
GRHL2	CLDN7	False			79
GRHL2	CDH1	True	1.0	C	79
GRHL2	GRHL2	False			79
GRHL2	KRT8	False			79
GRHL2	ELF3	False			79
