accession	n_mice_deposited	n_mice_scored	n_mice_with_ge10_epi	n_cells_before_qc	n_cells_after_qc	cldn4_present	unit
GSE179501	4	4	4	20351	20299	TRUE	biological mouse (barcode prefix CM2260/CM2319/CM2324/CM2328)
GSE201247	6	6	6	70480	69680	TRUE	biological mouse (one filtered h5 library per mouse)
GSE266323	4	4	4	31084	29922	TRUE	biological mouse (one GEX library per mouse)
