accession	title	species	assay	tissue	model_or_GEMM	n_mice_or_samples	cldn4_in_features	processed_matrix	immune_or_GEMM_labels	kl_vs_other	usable_mouse_level	scored_here	assigned_other_agent	notes
GSE179502	LKB1 drives stasis and C/EBP-mediated reprogramming [Sorted scRNA-seq]	Mus musculus	scRNA-seq (10x)	FACS neoplastic lung tumor cells	KT; Lkb1-XTR restorable vs not	6 samples	yes (features.tsv)	yes: MTX + TSV	Lkb1 restoration; neoplastic only	KL-related (Lkb1)	epithelial IFN possible; T/NK no	no	yes	Do not redo as the only analysis. Assigned Seurat GSE179502 agent.
GSE154989	Emergence of a high-plasticity cell state, plate scRNA timecourse	Mus musculus	scRNA-seq (Smart-seq plate)	lung tumor epithelium (GEMM)	K and KP (Kras; Kras/Trp53)	30 biological mice (28 with >=10 cells)	yes	yes: normTPM and rawCount h5	GEMM stage/genotype; cancer-cell focused	no KL	yes	no	yes	Do not redo as the only analysis. Assigned Seurat GSE154989 agent.
GSE267321	KRAS syngeneic K / KK / KLK non-malignant scRNA	Mus musculus	scRNA-seq	non-malignant TME	K vs KEAP1-loss vs STK11/KEAP1-loss (LKR13)	6 samples	yes	yes: CSV supplementary	immune TME; STK11 label	KLK not classic KL GEMM	possible	no	yes	Do not redo as the only analysis. Assigned Seurat GSE267321 agent.
GSE154977	Same study as GSE154989, 10x of KP tumors +/- cisplatin	Mus musculus	scRNA-seq (10x)	lung tumor	KP; 2 untreated, 2 cisplatin	4 mice/libraries	yes	yes: normTPM/rawCount h5	KP GEMM	no KL	n=4	no	yes	Do not redo as the only analysis. Assigned Seurat GSE154977 agent.
GSE165641	10X scRNA of tumor sections from KL mice 10 weeks after Ad-Cre	Mus musculus	scRNA-seq (10x)	KL lung tumor mixed cell types	KL (KrasG12D/+; Lkb1fl/fl)	2 mice	expected yes	yes: processed_normalized_matrix_data.Rdata.gz	paper reports 11 cell types including immune and epithelial	KL only	n=2 too small	no	yes	Do not redo as the only analysis. Assigned Seurat GSE165641 agent.
GSE180963	scRNA of GEMM Kras vs Kras;Lkb1fl/fl tumor sections	Mus musculus	scRNA-seq	lung tumor TME	K vs KL	2 samples (1 K, 1 KL)	expected yes	yes: RAW.tar of 10x outs	GEMM K vs KL	n=1 per arm	n=2 too small	no	yes	Do not redo as the only analysis. Assigned Seurat GSE180963 agent.
GSE127465	Conserved myeloid populations in human and mouse lung cancers	Mus musculus (mouse subset)	scRNA-seq (inDrop)	lung CD45+ immune	KP1.9 vs healthy lung	4 mice (2 healthy, 2 tumor-bearing)	yes	yes: normalized MTX + metadata	Major cell type includes T and NK	not KL (KP line)	CD45+ so Cldn4 wrong compartment	no	yes	Do not redo as the only analysis. Assigned Seurat GSE127465 agent.
GSE274477	Type I IFN in KRAS mutant AT2 scRNA	Mus musculus	scRNA-seq	sorted AT2	Kras WT vs mutant AT2	4 runs	expected yes	yes: TSV supplementary	IFN pathway phenotype	LKB1 in text, not this matrix	epithelial IFN yes; T/NK no	no	yes	Do not redo as the only analysis. Assigned Seurat GSE274477 agent.
GSE179501	LKB1 drives stasis and C/EBP-mediated reprogramming [total-viable scRNA-seq]	Mus musculus	scRNA-seq (10x)	total viable lung tumor cells (epithelial + stromal)	KT; Lkb1-XTR Restored n=2 vs Non-Restored n=2	4 mice (CM2260/CM2319 Restored; CM2324/CM2328 Non-Restored)	yes (Cldn4 in features)	yes: combined MTX 82 Mb + barcodes/features	GEMM Lkb1 restore cohort; mixed lineages so T/NK fraction possible	KL-related leftover (sister of assigned GSE179502)	yes (n=4)	yes	no	BEST unused Lkb1 leftover with immune+epithelial. Not the assigned sorted series.
GSE201247	10x RNA Seq for Mouse Lung Tumorigenic Tissue	Mus musculus	scRNA-seq (10x)	whole lung	ATTAC WT n=2; Kras adenoma n=2; ATTAC;Kras adenoma n=2	6 mice	yes (Cldn4 in 10x features)	yes: 6 filtered_feature_bc_matrix.h5 in RAW.tar (193 Mb)	GEMM Kras vs healthy lung; whole-lung so immune present	not KL	yes (n=6)	yes	no	BEST unused Kras whole-lung leftover with honest n=6 and processed h5.
