split	direction	interaction_name	pathway_name	ligand	receptor	focus	ligand_class	n_high	n_low	n_compared	n_GSE189357	n_GSE205335	median_prob_high	median_prob_low	delta_median	mwu_u	p	r_rb	test
between_median	outgoing	LAMA5_CD44	LAMININ	LAMA5	CD44	other	other	14	13	27	8	19	0.19398176650085117	0.06901808405198315	0.12496368244886802	140.0	0.018596672842396383	0.5384615384615385	mannwhitney_between_patient_given_combo
between_median	outgoing	ICAM1_ITGAL	ICAM	ICAM1	ITGAL	other	other	11	12	23	9	14	0.13536240270754504	0.06535833031478243	0.07000407239276261	103.0	0.024677136998399834	0.5606060606060606	mannwhitney_between_patient_given_combo
between_median	outgoing	LAMB3_CD44	LAMININ	LAMB3	CD44	other	other	11	14	25	8	17	0.220787898668718	0.14091832844961213	0.07986957021910587	117.0	0.030585573942286087	0.5194805194805194	mannwhitney_between_patient_given_combo
between_median	outgoing	MDK_NCL	MK	MDK	NCL	other	other	16	15	31	9	22	0.6904430059878066	0.342983894926281	0.3474591110615256	173.0	0.037963860419371775	0.44166666666666665	mannwhitney_between_patient_given_combo
between_median	outgoing	ICAM1_SPN	ICAM	ICAM1	SPN	other	other	12	13	25	9	16	0.14122776408910803	0.08841049481096006	0.05281726927814798	115.0	0.04710684887475331	0.47435897435897445	mannwhitney_between_patient_given_combo
between_median	outgoing	LAMB2_CD44	LAMININ	LAMB2	CD44	other	other	11	10	21	8	13	0.17975313171976198	0.03674942400634128	0.1430037077134207	83.0	0.05280751141611358	0.509090909090909	mannwhitney_between_patient_given_combo
between_median	outgoing	LAMA3_CD44	LAMININ	LAMA3	CD44	other	other	8	7	15	3	12	0.19130017665622084	0.05911519263336672	0.1321849840228541	45.0	0.054079254079254076	0.6071428571428572	mannwhitney_between_patient_given_combo
between_median	outgoing	APP_CD74	APP	APP	CD74	other	other	15	15	30	9	21	0.569440854670102	0.3469380001162685	0.22250285455383345	152.0	0.10573920209087935	0.35111111111111115	mannwhitney_between_patient_given_combo
between_median	outgoing	HLA-DQA1_CD4	MHC-II	HLA-DQA1	CD4	other	other	8	8	16	9	7	0.03640754295568023	0.08405244530403858	-0.047644902348358345	17.0	0.13038073038073036	-0.46875	mannwhitney_between_patient_given_combo
between_median	outgoing	LGALS9_P4HB	GALECTIN	LGALS9	P4HB	other	inhibitory	8	15	23	5	18	0.24678499306608012	0.030667652279406172	0.21611734078667394	84.0	0.1314504582777567	0.3999999999999999	mannwhitney_between_patient_given_combo
between_median	outgoing	CLEC2D_KLRB1	CLEC	CLEC2D	KLRB1	other	other	6	9	15	1	14	0.002889657115007399	0.01237975044366457	-0.009490093328657172	14.0	0.14465534465534466	-0.4814814814814815	mannwhitney_between_patient_given_combo
between_median	outgoing	HLA-E_KLRC2	MHC-I	HLA-E	KLRC2	MHC-I	inhibitory	7	5	12	1	11	0.04232971558244797	0.2525997651008594	-0.21027004951841144	8.0	0.148989898989899	-0.5428571428571429	mannwhitney_between_patient_given_combo
between_median	outgoing	HLA-E_CD94:NKG2C	MHC-I	HLA-E	CD94:NKG2C	MHC-I	inhibitory	7	5	12	1	11	0.1419582811615694	0.45295348009947667	-0.3109951989379073	8.0	0.148989898989899	-0.5428571428571429	mannwhitney_between_patient_given_combo
between_median	outgoing	LGALS9_CD44	GALECTIN	LGALS9	CD44	other	inhibitory	8	15	23	5	18	0.339806194304807	0.05591259038930576	0.2838936039155013	83.0	0.1492757702207157	0.3833333333333333	mannwhitney_between_patient_given_combo
between_median	outgoing	THBS3_CD47	THBS	THBS3	CD47	other	other	5	5	10	0	10	0.04430543191271164	0.004875970394003268	0.039429461518708374	20.0	0.15079365079365079	0.6000000000000001	mannwhitney_between_patient_given_combo
between_median	outgoing	GDF15_TGFBR2	GDF	GDF15	TGFBR2	other	other	11	7	18	9	9	0.10974517772260226	0.026911137159091107	0.08283404056351115	55.0	0.1508924082453494	0.4285714285714286	mannwhitney_between_patient_given_combo
between_median	outgoing	HLA-DPB1_CD4	MHC-II	HLA-DPB1	CD4	other	other	9	9	18	9	9	0.08733575017503596	0.18620680383139998	-0.09887105365636402	24.0	0.1577043874630777	-0.40740740740740744	mannwhitney_between_patient_given_combo
between_median	outgoing	LAMC1_CD44	LAMININ	LAMC1	CD44	other	other	13	9	22	5	17	0.10726860682024125	0.06965216456906258	0.037616442251178675	80.0	0.1608139849792325	0.36752136752136755	mannwhitney_between_patient_given_combo
between_median	outgoing	LAMC2_CD44	LAMININ	LAMC2	CD44	other	other	8	9	17	3	14	0.21632863419710205	0.09302069592112361	0.12330793827597844	51.0	0.16717400246812014	0.41666666666666674	mannwhitney_between_patient_given_combo
between_median	outgoing	HLA-DQB1_CD4	MHC-II	HLA-DQB1	CD4	other	other	8	8	16	9	7	0.06262681214132321	0.15243772275746562	-0.08981091061614241	19.0	0.19487179487179485	-0.40625	mannwhitney_between_patient_given_combo
between_median	outgoing	LGALS9_CD45	GALECTIN	LGALS9	PTPRC	other	inhibitory	7	15	22	5	17	0.4793169875789484	0.11108331423048219	0.36823367334846624	71.0	0.21006895581198984	0.35238095238095246	mannwhitney_between_patient_given_combo
between_median	outgoing	COL1A1_CD44	COLLAGEN	COL1A1	CD44	other	other	9	7	16	5	11	0.28718699478578	0.03726687524971268	0.24992011953606735	43.0	0.2522727272727273	0.3650793650793651	mannwhitney_between_patient_given_combo
between_median	outgoing	CLEC2B_KLRB1	CLEC	CLEC2B	KLRB1	other	other	9	11	20	9	11	0.02889190235450753	0.05009348805050031	-0.02120158569599278	34.0	0.2544505826463366	-0.31313131313131315	mannwhitney_between_patient_given_combo
between_median	outgoing	APP_SORL1	APP	APP	SORL1	other	other	13	12	25	8	17	0.14747904902065964	0.030340028626315633	0.11713902039434401	99.0	0.2648277100467564	0.26923076923076916	mannwhitney_between_patient_given_combo
between_median	outgoing	FN1_CD44	FN1	FN1	CD44	other	other	11	8	19	8	11	0.05512120888876853	0.16428172926702964	-0.1091605203782611	30.0	0.272287052472811	-0.31818181818181823	mannwhitney_between_patient_given_combo
between_median	outgoing	HLA-DPA1_CD4	MHC-II	HLA-DPA1	CD4	other	other	9	9	18	9	9	0.09452981452388248	0.19705298722879494	-0.10252317270491246	28.0	0.28931483238198774	-0.308641975308642	mannwhitney_between_patient_given_combo
between_median	outgoing	HLA-DRB1_CD4	MHC-II	HLA-DRB1	CD4	other	other	9	9	18	9	9	0.13837147753886467	0.2386765800067931	-0.10030510246792843	29.0	0.331387096247615	-0.28395061728395066	mannwhitney_between_patient_given_combo
between_median	outgoing	HLA-DRA_CD4	MHC-II	HLA-DRA	CD4	other	other	9	9	18	9	9	0.13937765671886126	0.32904973391882886	-0.1896720771999676	29.0	0.331387096247615	-0.28395061728395066	mannwhitney_between_patient_given_combo
between_median	outgoing	CD55_ADGRE5	ADGRE	CD55	ADGRE5	other	other	14	15	29	9	20	0.5199992670209765	0.4532542256313703	0.06674504138960624	127.0	0.3480712878701422	0.20952380952380945	mannwhitney_between_patient_given_combo
between_median	outgoing	LPAR2_ADGRE5	ADGRE	LPAR2	ADGRE5	other	other	9	7	16	0	16	0.04809564715491295	0.012750341797436456	0.03534530535747649	41.0	0.35104895104895106	0.3015873015873016	mannwhitney_between_patient_given_combo
between_median	outgoing	TNFSF15_TNFRSF25	VEGI	TNFSF15	TNFRSF25	other	other	6	3	9	3	6	0.002796348671894549	0.00040053185785836657	0.0023958168140361825	13.0	0.38095238095238093	0.4444444444444444	mannwhitney_between_patient_given_combo
between_median	outgoing	NECTIN2_TIGIT	NECTIN	NECTIN2	TIGIT	NECTIN2–TIGIT	barrier|inhibitory	13	13	26	8	18	0.07915370643034636	0.05394499207992779	0.02520871435041857	102.0	0.3833202927297332	0.20710059171597628	mannwhitney_between_patient_given_combo
between_median	outgoing	JAG1_NOTCH1	NOTCH	JAG1	NOTCH1	other	other	6	6	12	2	10	0.008229590304427777	0.002713044946025071	0.005516545358402705	24.0	0.3939393939393939	0.33333333333333326	mannwhitney_between_patient_given_combo
between_median	outgoing	HLA-F_CD8A	MHC-I	HLA-F	CD8A	MHC-I	other	10	14	24	8	16	0.1401063090555682	0.0639451648187575	0.0761611442368107	85.0	0.3958628946276468	0.2142857142857142	mannwhitney_between_patient_given_combo
between_median	outgoing	NECTIN2_CD226	NECTIN	NECTIN2	CD226	other	barrier|inhibitory	7	8	15	3	12	0.02728523793269522	0.013860689239308974	0.013424548693386246	36.0	0.39689199689199695	0.2857142857142858	mannwhitney_between_patient_given_combo
between_median	outgoing	PECAM1_PECAM1	PECAM1	PECAM1	PECAM1	other	other	4	3	7	3	4	0.00019810849976921173	0.0006070702906809117	-0.00040896179091169996	3.0	0.4	-0.5	mannwhitney_between_patient_given_combo
between_median	outgoing	BAG6_NCR3-PS	BAG	BAG6	NCR3	other	other	5	4	9	2	7	0.011320388922093388	0.015985060393587755	-0.0046646714714943666	6.0	0.4126984126984127	-0.4	mannwhitney_between_patient_given_combo
between_median	outgoing	HLA-C_CD8B	MHC-I	HLA-C	CD8B	MHC-I	other	12	13	25	7	18	0.26402360581206424	0.34887621992804285	-0.08485261411597861	63.0	0.4302896916456853	-0.1923076923076923	mannwhitney_between_patient_given_combo
between_median	outgoing	HLA-DMA_CD4	MHC-II	HLA-DMA	CD4	other	other	10	9	19	9	10	0.0443754149107872	0.10076167195646214	-0.056386257045674945	35.0	0.437942822899974	-0.2222222222222222	mannwhitney_between_patient_given_combo
between_median	outgoing	HLA-E_KLRK1	MHC-I	HLA-E	KLRK1	MHC-I	inhibitory	9	11	20	0	20	0.311157615592615	0.36815344503854086	-0.05699582944592585	39.0	0.44741170200931857	-0.21212121212121215	mannwhitney_between_patient_given_combo
between_median	outgoing	COL6A1_CD44	COLLAGEN	COL6A1	CD44	other	other	6	6	12	2	10	0.11570542653748422	0.05893268403769405	0.056772742499790176	23.0	0.48484848484848486	0.2777777777777777	mannwhitney_between_patient_given_combo
between_median	outgoing	HLA-B_CD8B	MHC-I	HLA-B	CD8B	MHC-I	other	12	13	25	7	18	0.290522221602844	0.3498423481835605	-0.0593201265807165	65.0	0.4965612172813433	-0.16666666666666663	mannwhitney_between_patient_given_combo
between_median	outgoing	CDH1_KLRG1	CDH1	CDH1	KLRG1	other	barrier	11	10	21	4	17	0.03773614615933664	0.03217120238670285	0.005564943772633786	65.0	0.5035147104262714	0.18181818181818188	mannwhitney_between_patient_given_combo
