split	direction	interaction_name	pathway_name	ligand	receptor	ligand_genes	receptor_genes	focus	ligand_class	n_paired	n_GSE189357	n_GSE205335	median_prob_high	median_prob_low	delta_median	median_paired_delta	wilcoxon_w	p	thin	test
median	outgoing	CD55_ADGRE5	ADGRE	CD55	ADGRE5	CD55	ADGRE5	other	other	26	9	17	0.5869817996717069	0.34275067851465946	0.24423112115704748	0.15777028404265486	0.0	2.9802322387695312e-08	False	wilcoxon_signed_rank_paired_patient
median	outgoing	APP_CD74	APP	APP	CD74	APP	CD74	other	other	27	8	19	0.6344555533032703	0.3923043661587217	0.24215118714454859	0.1983637070221237	8.0	3.725290298461914e-07	False	wilcoxon_signed_rank_paired_patient
median	outgoing	MDK_NCL	MK	MDK	NCL	MDK	NCL	other	other	27	7	20	0.6876629650246737	0.5328569072997255	0.15480605772494826	0.11714933681578873	18.0	3.769993782043457e-06	False	wilcoxon_signed_rank_paired_patient
median	outgoing	NECTIN2_TIGIT	NECTIN	NECTIN2	TIGIT	NECTIN2	TIGIT	NECTIN2–TIGIT	barrier|inhibitory	19	6	13	0.15253491530797253	0.015464511114690969	0.13707040419328156	0.08412644003637662	0.0	3.814697265625e-06	False	wilcoxon_signed_rank_paired_patient
median	outgoing	ICAM1_SPN	ICAM	ICAM1	SPN	ICAM1	SPN	other	other	21	9	12	0.15170974752610772	0.06010990163063274	0.09159984589547499	0.08032005504820047	3.0	4.76837158203125e-06	False	wilcoxon_signed_rank_paired_patient
median	outgoing	ICAM1_ITGAL	ICAM	ICAM1	ITGAL	ICAM1	ITGAL	other	other	19	9	10	0.13072455998210192	0.06721788950256156	0.06350667047954035	0.07432515930483276	2.0	1.1444091796875e-05	False	wilcoxon_signed_rank_paired_patient
median	outgoing	LAMB3_CD44	LAMININ	LAMB3	CD44	LAMB3	CD44	other	other	17	3	14	0.3820592019140926	0.0383561265898753	0.3437030753242173	0.2789456506669876	0.0	1.52587890625e-05	False	wilcoxon_signed_rank_paired_patient
median	outgoing	LAMA5_CD44	LAMININ	LAMA5	CD44	LAMA5	CD44	other	other	16	4	12	0.37432703893519165	0.09925808783615327	0.2750689510990384	0.18666547805252612	0.0	3.0517578125e-05	False	wilcoxon_signed_rank_paired_patient
median	outgoing	APP_SORL1	APP	APP	SORL1	APP	SORL1	other	other	22	7	15	0.16661028840046305	0.04295123680831857	0.12365905159214448	0.0608382281645127	13.0	4.1961669921875e-05	False	wilcoxon_signed_rank_paired_patient
median	outgoing	CDH1_KLRG1	CDH1	CDH1	KLRG1	CDH1	KLRG1	other	barrier	14	2	12	0.06452935025258	0.018679334152966055	0.04585001609961394	0.0497276398057787	0.0	0.0001220703125	False	wilcoxon_signed_rank_paired_patient
median	outgoing	LAMC1_CD44	LAMININ	LAMC1	CD44	LAMC1	CD44	other	other	13	2	11	0.18727033233782228	0.04638876756131423	0.14088156477650804	0.12450809018303678	1.0	0.00048828125	False	wilcoxon_signed_rank_paired_patient
median	outgoing	NECTIN2_CD226	NECTIN	NECTIN2	CD226	NECTIN2	CD226	other	barrier|inhibitory	11	3	8	0.03995822087313146	0.0051943784043017496	0.03476384246882971	0.022346644571407948	0.0	0.0009765625	False	wilcoxon_signed_rank_paired_patient
median	outgoing	HLA-DMA_CD4	MHC-II	HLA-DMA	CD4	HLA-DMA	CD4	other	other	16	9	7	0.10566739607854919	0.056060169236775814	0.04960722684177338	0.022993559378057693	10.0	0.001312255859375	False	wilcoxon_signed_rank_paired_patient
