cohort	unit_id	cldn4_pct	frac_tnk	n_malignant	n_tnk	cldn4_rank
GSE189357	TD1	56.1299176578225	0.6516167192429022	2186	9915	0.7777777777777778
GSE189357	TD2	35.6255178127589	0.6274357838795395	1207	11334	0.2222222222222222
GSE189357	TD3	48.042168674698786	0.5154842787170169	664	6525	0.6666666666666666
GSE189357	TD4	30.346232179226067	0.6036066689350119	491	7096	0.1111111111111111
GSE189357	TD5	36.86635944700461	0.5794328843230777	1736	11055	0.4444444444444444
GSE189357	TD6	63.501238645747314	0.3769307700855651	1211	3392	0.8888888888888888
GSE189357	TD7	36.63133097762073	0.5278015397775877	849	1851	0.3333333333333333
GSE189357	TD8	45.338567222767416	0.4675600798917596	1019	7257	0.5555555555555556
GSE189357	TD9	78.56412354264675	0.2472543105901098	4889	4345	1.0
GSE205335	P0031	59.24764890282132	0.5948973242065961	319	3824	0.45454545454545453
GSE205335	P1006	74.18096723868955	0.4922824302134647	1282	2998	0.6818181818181818
GSE205335	P1015	41.580756013745706	0.3958158995815899	291	473	0.18181818181818182
GSE205335	P1016	82.64617691154422	0.1101964182553437	5336	763	0.7727272727272727
GSE205335	P1017	64.31838975297347	0.3782317267794446	2186	2370	0.5909090909090909
GSE205335	P1018	67.03389830508475	0.5062636707098827	1180	2546	0.6363636363636364
GSE205335	P1025	92.85714285714286	0.1047463175122749	980	128	1.0
GSE205335	P1027	78.07283763277694	0.5693478260869566	1318	2619	0.7272727272727273
GSE205335	P1030	61.69154228855721	0.1626016260162601	603	140	0.5454545454545454
GSE205335	P1037	86.05284663579407	0.1226168974513345	3671	611	0.8181818181818182
GSE205335	P1056	49.70662196144174	0.265334117185969	2386	1354	0.3181818181818182
GSE205335	P1062	45.21276595744681	0.6326463853451095	188	1934	0.22727272727272727
GSE205335	P1063	35.11450381679389	0.7316732604142425	131	3144	0.045454545454545456
GSE205335	P1072	58.86699507389162	0.4603299293008641	406	586	0.4090909090909091
GSE205335	P1076	59.36395759717315	0.2994982078853047	849	2089	0.5
GSE205335	P1079	51.38121546961326	0.3923257635082224	543	501	0.36363636363636365
GSE205335	P1084	86.73469387755102	0.6649688737973967	196	2350	0.8636363636363636
GSE205335	P1089	87.77046095954844	0.1690490988191423	1063	272	0.9090909090909091
GSE205335	P1090	38.16254416961131	0.2530737704918033	566	247	0.13636363636363635
GSE205335	P1115	88.8829928362961	0.0616329315442347	3769	271	0.9545454545454546
GSE205335	P1119	36.08837970540098	0.2602682313495389	1222	621	0.09090909090909091
GSE205335	P4001	48.14814814814815	0.7803292894280762	27	1801	0.2727272727272727
