query_symbol	official_symbol	synonyms
ABCE1	ABCE1	ABC38,OABP,RLI,RLI1,RNASEL1,RNASELI,RNS4I
ABRAXAS1	ABRAXAS1	ABRA1,CCDC98,FAM175A
ADAR	ADAR	ADAR1,AGS6,DRADA,DSH,DSRAD,G1P1,IFI-4,IFI4,K88DSRBP,P136
APOL6	APOL6	APOL-VI,APOLVI
ARID5B	ARID5B	DESRT,MRF-2,MRF2
ARL4A	ARL4A	ARL4
ARTN	ARTN	ART,ENOVIN,EVN,NBN
ATM	ATM	AT1,ATA,ATC,ATD,ATDC,ATE,TEL1,TELO1
AUTS2	AUTS2	FBRSL2,MRD26
AUTS2	AUTS8	AUTS2
B2M	B2M	AMYLD6,IMD43,MHC1D4
BABAM1	BABAM1	C19orf62,HSPC142,MERIT40,NBA1
BABAM2	BABAM2	BRCC4,BRCC45,BRE
BANK1	BANK1	BANK
BARD1	BARD1	
BATF2	BATF2	SARI
BPGM	BPGM	DPGM,ECYT8
BRCA1	BRCA1	BRCAI,BRCC1,BROVCA1,FANCS,IRIS,PNCA4,PPP1R53,PSCP,RNF53
BRCC3	BRCC3	BRCC36,C6.1A,CXorf53
BRCC3	DEPDC1B	BRCC3,XTP1
BST2	BST2	CD317,HM1.24,TETHERIN
BTG1	BTG1	APRO2
C1R	C1R	EDS8,EDSPD1
C1S	C1S	EDSPD2
CASP1	CASP1	ICE,IL1BC,P45
CASP3	CASP3	CPP32,CPP32B,SCA-1
CASP4	CASP4	CASP-4,ICE(rel)II,ICEREL-II,ICH-2,Mih1,Mih1/TX,TX
CASP7	CASP7	CASP-7,CMH-1,ICE-LAP3,LICE2,MCH3
CASP8	CASP8	ALPS2B,CAP4,Casp-8,FLICE,MACH,MCH5
CCL2	CCL2	GDCF-2,HC11,HSMCR30,MCAF,MCP-1,MCP1,SCYA2,SMC-CF
CCL5	CCL5	D17S136E,RANTES,SCYA5,SIS-delta,SISd,TCP228,eoCP
CCL7	CCL7	FIC,MARC,MCP-3,MCP3,NC28,SCYA6,SCYA7
CCRL2	CCRL2	ACKR5,CKRX,CRAM,CRAM-A,CRAM-B,HCR
CD274	CD274	ADMIO5,B7-H,B7H1,PD-L1,PDCD1L1,PDCD1LG1,PDL1,hPD-L1
CD38	CD38	ADPRC 1,ADPRC1,cADPR1
CD40	CD40	Bp50,CDW40,TNFRSF5,p50
CD47	CD47	IAP,MER6,OA3
CD69	CD69	AIM,BL-AC/P26,CLEC2C,EA1,GP32/28,MLR-3
CD74	CD74	CLIP,DHLAG,HLADG,II,Ia-GAMMA,p33
CD86	CD86	B7-2,B7.2,B70,BU63,CD28LG2,CD86 v6,FUN-1,LAB72
CDKN1A	CDKN1A	CAP20,CDKN1,CIP1,MDA-6,P21,SDI1,WAF1,p21CIP1
CDKN1A	CDPF1	C22orf40,CDKN1A
CFB	CFB	AHUS4,ARMD14,BF,BFD,CFAB,CFBD,FB,FBI12,GBG,H2-Bf,PBF2
CFH	CFH	AHUS1,AMBP1,ARMD4,ARMS1,CFHL3,FH,FHL1,HF,HF1,HF2,HUS
CIITA	CIITA	C2TA,CIITAIV,MHC2D1,MHC2TA,NLRA
CLDN4	CLDN4	CPE-R,CPER,CPETR,CPETR1,WBSCR8,hCPE-R
CMKLR1	CMKLR1	CHEMERINR,ChemR23,DEZ,ERV1,RVER1
CMPK2	CMPK2	IBGC10,NDK,TMPK2,TYKi,UMP-CMPK2
CMTR1	CMTR1	FTSJD2,KIAA0082,MTr1,hMTr1
CNP	CNP	CN37,CNP1,HLD20
CNP	NPPC	CNP,CNP2
