item	value
n_grid_rows	78
n_sign_hits_all_rows	12
n_adc_only_sign_hits	12
n_adc_only_moderate_threshold	6
n_strict_threshold_any_row	0
emtab16433_library_totals	{'trodelvy_total_counts': [12179320.0, 17425898.0, 11261597.0, 21284694.0], 'vehicle_total_counts': [11032498.0, 14310526.0, 11965509.0, 15603097.0]}
strongest_adc_only_sign_hit	GSE312098_IMMU132_vs_control
strongest_transform	log2(x+0.1)
strongest_sets	primary_hallmarkG_reactomeAPM_reactomeNHEJ
strongest_summary	median
strongest_signed_score	1.40115
strongest_CLDN4	-0.872698
strongest_IFN	0.328191
strongest_APM	0.158675
strongest_NHEJ	0.0415859
strongest_primary_contrast	GSE312098_IMMU132_vs_control
strongest_primary_score	1.12231
strongest_primary_sign_hit	yes
