contrast	tissue	adc_monotherapy	n_treat	n_control	paired	transform	expr_kind	gene_sets	ifn_set	apm_set	nhej_set	summary	n_ifn_genes	n_apm_genes	n_nhej_genes	CLDN4_log2FC	CLDN4_welch_p	CLDN4_paired_p	IFN_summary	APM_summary	NHEJ_summary	IFN_sample_welch_p	APM_sample_welch_p	NHEJ_sample_welch_p	signed_score	sign_hit_CLDN4down_sets_up	primary_row	pass_sign	pass_moderate_CLDN4lt-0.25_sets_gt0	pass_strict_CLDN4lt-0.5_sets_gt0.25
GSE312098_IMMU132_vs_control	CRC CX-1 cell line, 48 h	yes	3	3	no	log2(x+1)	FPKM	primary_hallmarkG_reactomeAPM_reactomeNHEJ	HALLMARK_INTERFERON_GAMMA_RESPONSE	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	median	196	29	34	-0.861109	1.69346e-05	NA	0.13144	0.0888897	0.0408685	0.000359857	0.000578283	0.908087	1.12231	yes	yes	yes	yes	no
GSE312098_IMMU132_vs_control	CRC CX-1 cell line, 48 h	yes	3	3	no	log2(x+1)	FPKM	primary_hallmarkG_reactomeAPM_reactomeNHEJ	HALLMARK_INTERFERON_GAMMA_RESPONSE	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	mean	196	29	34	-0.861109	1.69346e-05	NA	0.242297	0.1772	0.00248387	0.000359857	0.000578283	0.908087	1.28309	yes	no	yes	yes	no
GSE312098_IMMU132_vs_control	CRC CX-1 cell line, 48 h	yes	3	3	no	log2(x+1)	FPKM	alt_hallmarkA_canonicalAPM_coreNHEJ	HALLMARK_INTERFERON_ALPHA_RESPONSE	CANONICAL_APM_18	CLASSICAL_NHEJ_8	median	96	18	8	-0.861109	1.69346e-05	NA	0.321228	0.357595	-0.233292	0.000900955	0.000178976	0.21789	1.30664	no	no	no	no	no
GSE312098_IMMU132_vs_control	CRC CX-1 cell line, 48 h	yes	3	3	no	log2(x+1)	FPKM	alt_hallmarkA_canonicalAPM_coreNHEJ	HALLMARK_INTERFERON_ALPHA_RESPONSE	CANONICAL_APM_18	CLASSICAL_NHEJ_8	mean	96	18	8	-0.861109	1.69346e-05	NA	0.374287	0.255851	-0.0862009	0.000900955	0.000178976	0.21789	1.40505	no	no	no	no	no
GSE312098_IMMU132_vs_control	CRC CX-1 cell line, 48 h	yes	3	3	no	log2(x+1)	FPKM	alt_reactomeIFNG_reactomeAPM_reactomeNHEJ	REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	median	94	29	34	-0.861109	1.69346e-05	NA	0.0780725	0.0888897	0.0408685	9.57914e-06	0.000578283	0.908087	1.06894	yes	no	yes	yes	no
GSE312098_IMMU132_vs_control	CRC CX-1 cell line, 48 h	yes	3	3	no	log2(x+1)	FPKM	alt_reactomeIFNG_reactomeAPM_reactomeNHEJ	REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	mean	94	29	34	-0.861109	1.69346e-05	NA	0.198195	0.1772	0.00248387	9.57914e-06	0.000578283	0.908087	1.23899	yes	no	yes	yes	no
GSE312098_IMMU132_vs_control	CRC CX-1 cell line, 48 h	yes	3	3	no	log2(x+0.1)	FPKM	primary_hallmarkG_reactomeAPM_reactomeNHEJ	HALLMARK_INTERFERON_GAMMA_RESPONSE	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	median	196	29	34	-0.872698	1.66025e-05	NA	0.328191	0.158675	0.0415859	0.000214935	0.00607911	0.244527	1.40115	yes	no	yes	yes	no
GSE312098_IMMU132_vs_control	CRC CX-1 cell line, 48 h	yes	3	3	no	log2(x+0.1)	FPKM	primary_hallmarkG_reactomeAPM_reactomeNHEJ	HALLMARK_INTERFERON_GAMMA_RESPONSE	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	mean	196	29	34	-0.872698	1.66025e-05	NA	0.404556	0.205517	-0.0403701	0.000214935	0.00607911	0.244527	1.4424	no	no	no	no	no
GSE312098_IMMU132_vs_control	CRC CX-1 cell line, 48 h	yes	3	3	no	log2(x+0.1)	FPKM	alt_hallmarkA_canonicalAPM_coreNHEJ	HALLMARK_INTERFERON_ALPHA_RESPONSE	CANONICAL_APM_18	CLASSICAL_NHEJ_8	median	96	18	8	-0.872698	1.66025e-05	NA	0.502222	0.457683	-0.270074	0.00148284	0.000162768	0.0758681	1.56253	no	no	no	no	no
GSE312098_IMMU132_vs_control	CRC CX-1 cell line, 48 h	yes	3	3	no	log2(x+0.1)	FPKM	alt_hallmarkA_canonicalAPM_coreNHEJ	HALLMARK_INTERFERON_ALPHA_RESPONSE	CANONICAL_APM_18	CLASSICAL_NHEJ_8	mean	96	18	8	-0.872698	1.66025e-05	NA	0.543114	0.318521	-0.202653	0.00148284	0.000162768	0.0758681	1.53168	no	no	no	no	no
GSE312098_IMMU132_vs_control	CRC CX-1 cell line, 48 h	yes	3	3	no	log2(x+0.1)	FPKM	alt_reactomeIFNG_reactomeAPM_reactomeNHEJ	REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	median	94	29	34	-0.872698	1.66025e-05	NA	0.217421	0.158675	0.0415859	6.72623e-05	0.00607911	0.244527	1.29038	yes	no	yes	yes	no
GSE312098_IMMU132_vs_control	CRC CX-1 cell line, 48 h	yes	3	3	no	log2(x+0.1)	FPKM	alt_reactomeIFNG_reactomeAPM_reactomeNHEJ	REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	mean	94	29	34	-0.872698	1.66025e-05	NA	0.310328	0.205517	-0.0403701	6.72623e-05	0.00607911	0.244527	1.34817	no	no	no	no	no
GSE312098_combination_vs_control	CRC CX-1, IMMU132+GSK2606414, 48 h	no	3	3	no	log2(x+1)	FPKM	primary_hallmarkG_reactomeAPM_reactomeNHEJ	HALLMARK_INTERFERON_GAMMA_RESPONSE	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	median	196	29	34	-0.613893	6.5549e-05	NA	0.241034	0.15439	-0.070209	0.000238113	4.77904e-05	0.138215	0.939109	no	no	no	no	no
GSE312098_combination_vs_control	CRC CX-1, IMMU132+GSK2606414, 48 h	no	3	3	no	log2(x+1)	FPKM	primary_hallmarkG_reactomeAPM_reactomeNHEJ	HALLMARK_INTERFERON_GAMMA_RESPONSE	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	mean	196	29	34	-0.613893	6.5549e-05	NA	0.319367	0.379568	-0.0703307	0.000238113	4.77904e-05	0.138215	1.2425	no	no	no	no	no
GSE312098_combination_vs_control	CRC CX-1, IMMU132+GSK2606414, 48 h	no	3	3	no	log2(x+1)	FPKM	alt_hallmarkA_canonicalAPM_coreNHEJ	HALLMARK_INTERFERON_ALPHA_RESPONSE	CANONICAL_APM_18	CLASSICAL_NHEJ_8	median	96	18	8	-0.613893	6.5549e-05	NA	0.455629	0.526551	-0.412214	0.000680384	1.91234e-05	0.000997968	1.18386	no	no	no	no	no
GSE312098_combination_vs_control	CRC CX-1, IMMU132+GSK2606414, 48 h	no	3	3	no	log2(x+1)	FPKM	alt_hallmarkA_canonicalAPM_coreNHEJ	HALLMARK_INTERFERON_ALPHA_RESPONSE	CANONICAL_APM_18	CLASSICAL_NHEJ_8	mean	96	18	8	-0.613893	6.5549e-05	NA	0.452309	0.515623	-0.346491	0.000680384	1.91234e-05	0.000997968	1.23533	no	no	no	no	no
GSE312098_combination_vs_control	CRC CX-1, IMMU132+GSK2606414, 48 h	no	3	3	no	log2(x+1)	FPKM	alt_reactomeIFNG_reactomeAPM_reactomeNHEJ	REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	median	94	29	34	-0.613893	6.5549e-05	NA	0.109982	0.15439	-0.070209	5.77516e-06	4.77904e-05	0.138215	0.808057	no	no	no	no	no
