contrast	gene	present	ensembl	n_treat	n_control	mean_fpkm_treat	mean_fpkm_control	log2FC_log2fpkm1	welch_p	panel_bh_q
IMMU132_vs_control	TACSTD2	yes	ENSG00000184292	3	3	67.1957	41.5036	0.682959	0.000565295	0.00301491
IMMU132_vs_control	CLDN4	yes	ENSG00000189143	3	3	50.0747	91.7814	-0.861109	1.69346e-05	0.000541908
IMMU132_vs_control	CLDN1	yes	ENSG00000163347	3	3	10.0884	6.02788	0.657611	9.33578e-05	0.000746863
IMMU132_vs_control	CLDN3	yes	ENSG00000165215	3	3	33.4069	54.7521	-0.700285	0.00586012	0.0187524
IMMU132_vs_control	CLDN7	yes	ENSG00000181885	3	3	42.7393	47.1739	-0.140327	0.0637275	0.101351
IMMU132_vs_control	OCLN	yes	ENSG00000197822	3	3	2.97698	2.4247	0.211866	0.115503	0.154003
IMMU132_vs_control	TJP1	yes	ENSG00000104067	3	3	13.1423	18.7791	-0.483562	0.00179403	0.00820129
IMMU132_vs_control	F11R	yes	ENSG00000158769	3	3	22.0895	21.96	0.00878958	0.870701	0.870701
IMMU132_vs_control	IFNG	yes	ENSG00000111537	3	3	0	0	0	NA	NA
IMMU132_vs_control	IFNGR1	yes	ENSG00000027697	3	3	11.7392	10.8679	0.0934922	0.501795	0.553705
IMMU132_vs_control	STAT1	yes	ENSG00000115415	3	3	33.6527	29.9651	0.164155	0.138561	0.174282
IMMU132_vs_control	IRF1	yes	ENSG00000125347	3	3	4.99562	3.7198	0.351663	0.0675311	0.101351
IMMU132_vs_control	IRF7	yes	ENSG00000185507	3	3	26.8255	27.5572	-0.038358	0.671044	0.69269
IMMU132_vs_control	ISG15	yes	ENSG00000187608	3	3	179.199	114.968	0.633859	0.00326901	0.0116231
IMMU132_vs_control	IFI6	yes	ENSG00000126709	3	3	187.115	97.2538	0.947647	0.00980059	0.0261349
IMMU132_vs_control	IFI27	yes	ENSG00000165949	3	3	45.6318	29.7544	0.604995	0.0111282	0.0273926
IMMU132_vs_control	IFIT1	yes	ENSG00000185745	3	3	8.41908	5.69824	0.49156	0.00651103	0.0189412
IMMU132_vs_control	IFITM1	yes	ENSG00000185885	3	3	1.95042	0.811644	0.713532	0.0252399	0.0429201
IMMU132_vs_control	MX1	yes	ENSG00000157601	3	3	0.167293	0.198658	-0.0384524	0.496372	0.553705
IMMU132_vs_control	OAS1	yes	ENSG00000089127	3	3	16.9173	11.9064	0.477966	0.0249848	0.0429201
IMMU132_vs_control	OAS2	yes	ENSG00000111335	3	3	8.98227	4.27504	0.942329	0.0254838	0.0429201
IMMU132_vs_control	CXCL9	yes	ENSG00000138755	3	3	0.0433699	0.0142206	0.0400905	0.429485	0.509019
IMMU132_vs_control	CXCL10	yes	ENSG00000169245	3	3	0.253396	0.322657	-0.0707378	0.636334	0.678756
IMMU132_vs_control	CXCL11	yes	ENSG00000169248	3	3	0.350798	0.173361	0.200143	0.0942212	0.13109
IMMU132_vs_control	HLA-A	yes	ENSG00000206503	3	3	154.226	146.084	0.0784944	0.141604	0.174282
IMMU132_vs_control	HLA-B	yes	ENSG00000234745	3	3	10.2865	5.94739	0.699384	0.00320384	0.0116231
IMMU132_vs_control	HLA-C	yes	ENSG00000204525	3	3	58.0063	34.2453	0.743177	9.31959e-05	0.000746863
IMMU132_vs_control	B2M	yes	ENSG00000166710	3	3	132.921	74.1362	0.833509	4.59406e-05	0.00073505
IMMU132_vs_control	TAP1	yes	ENSG00000168394	3	3	4.69546	3.24626	0.43411	0.0696785	0.101351
IMMU132_vs_control	TAP2	yes	ENSG00000204267	3	3	5.68977	3.95071	0.437407	0.0156155	0.0356926
IMMU132_vs_control	PSMB8	yes	ENSG00000204264	3	3	4.08727	2.3655	0.596555	0.000353795	0.00226429
IMMU132_vs_control	PSMB9	yes	ENSG00000240065	3	3	0.50206	0.199452	0.32253	0.0240514	0.0429201
IMMU132_vs_control	CD274	yes	ENSG00000120217	3	3	0.544377	0.232075	0.324062	0.019482	0.0415616
combination_vs_control	TACSTD2	yes	ENSG00000184292	3	3	72.8739	41.5036	0.798554	0.000628553	0.00223485
combination_vs_control	CLDN4	yes	ENSG00000189143	3	3	59.6243	91.7814	-0.613893	6.5549e-05	0.00104878
combination_vs_control	CLDN1	yes	ENSG00000163347	3	3	6.94593	6.02788	0.177113	0.00344247	0.00847377
combination_vs_control	CLDN3	yes	ENSG00000165215	3	3	45.0028	54.7521	-0.277382	0.00955348	0.0187633
combination_vs_control	CLDN7	yes	ENSG00000181885	3	3	48.938	47.1739	0.0512492	0.238051	0.272058
combination_vs_control	OCLN	yes	ENSG00000197822	3	3	4.65166	2.4247	0.722951	0.000274382	0.00206365
combination_vs_control	TJP1	yes	ENSG00000104067	3	3	10.787	18.7791	-0.746419	0.000350104	0.00206365
combination_vs_control	F11R	yes	ENSG00000158769	3	3	23.376	21.96	0.0869902	0.170029	0.201516
combination_vs_control	IFNG	yes	ENSG00000111537	3	3	0	0	0	NA	NA
combination_vs_control	IFNGR1	yes	ENSG00000027697	3	3	14.5811	10.8679	0.392854	0.000182809	0.00194996
combination_vs_control	STAT1	yes	ENSG00000115415	3	3	39.3942	29.9651	0.386261	0.0184042	0.0267697
combination_vs_control	IRF1	yes	ENSG00000125347	3	3	6.39321	3.7198	0.653368	0.0147205	0.0224313
combination_vs_control	IRF7	yes	ENSG00000185507	3	3	33.7847	27.5572	0.283479	0.0316575	0.0405216
combination_vs_control	ISG15	yes	ENSG00000187608	3	3	160.602	114.968	0.472356	0.0309154	0.0405216
combination_vs_control	IFI6	yes	ENSG00000126709	3	3	325.281	97.2538	1.73704	0.000909661	0.00291092
combination_vs_control	IFI27	yes	ENSG00000165949	3	3	44.2433	29.7544	0.547783	0.0456745	0.0562148
combination_vs_control	IFIT1	yes	ENSG00000185745	3	3	6.0959	5.69824	0.0834075	0.408866	0.436123
combination_vs_control	IFITM1	yes	ENSG00000185885	3	3	2.44112	0.811644	0.942538	0.0256296	0.0356585
combination_vs_control	MX1	yes	ENSG00000157601	3	3	0.159392	0.198658	-0.0474396	0.306873	0.338619
combination_vs_control	OAS1	yes	ENSG00000089127	3	3	17.3598	11.9064	0.508961	0.0119642	0.0212697
combination_vs_control	OAS2	yes	ENSG00000111335	3	3	12.5194	4.27504	1.38287	0.0139935	0.0223897
combination_vs_control	CXCL9	yes	ENSG00000138755	3	3	0.0302513	0.0142206	0.0223106	0.56766	0.585972
combination_vs_control	CXCL10	yes	ENSG00000169245	3	3	0.336704	0.322657	0.0169867	0.921225	0.921225
combination_vs_control	CXCL11	yes	ENSG00000169248	3	3	0.125626	0.173361	-0.05991	0.00339709	0.00847377
combination_vs_control	HLA-A	yes	ENSG00000206503	3	3	200.07	146.084	0.449892	0.00376862	0.00861398
combination_vs_control	HLA-B	yes	ENSG00000234745	3	3	16.408	5.94739	1.32258	0.000574881	0.00223485
combination_vs_control	HLA-C	yes	ENSG00000204525	3	3	79.206	34.2453	1.18535	0.000451332	0.00206365
combination_vs_control	B2M	yes	ENSG00000166710	3	3	175.276	74.1362	1.22987	1.85694e-05	0.00059422
combination_vs_control	TAP1	yes	ENSG00000168394	3	3	8.0728	3.24626	1.10559	0.00996799	0.0187633
combination_vs_control	TAP2	yes	ENSG00000204267	3	3	8.06267	3.95071	0.875589	0.00338542	0.00847377
combination_vs_control	PSMB8	yes	ENSG00000204264	3	3	4.97482	2.3655	0.826963	0.000451423	0.00206365
combination_vs_control	PSMB9	yes	ENSG00000240065	3	3	0.927458	0.199452	0.681836	0.00642242	0.0137012
combination_vs_control	CD274	yes	ENSG00000120217	3	3	1.14065	0.232075	0.79031	0.0135661	0.0223897
