contrast	tissue	adc_monotherapy	n_treat	n_control	paired	transform	expr_kind	gene_sets	ifn_set	apm_set	nhej_set	summary	n_ifn_genes	n_apm_genes	n_nhej_genes	CLDN4_log2FC	CLDN4_welch_p	CLDN4_paired_p	IFN_summary	APM_summary	NHEJ_summary	IFN_sample_welch_p	APM_sample_welch_p	NHEJ_sample_welch_p	signed_score	sign_hit_CLDN4down_sets_up	primary_row	pass_sign	pass_moderate_CLDN4lt-0.25_sets_gt0	pass_strict_CLDN4lt-0.5_sets_gt0.25
GSE312098_IMMU132_vs_control	CRC CX-1 cell line, 48 h	yes	3	3	no	log2(x+0.1)	FPKM	primary_hallmarkG_reactomeAPM_reactomeNHEJ	HALLMARK_INTERFERON_GAMMA_RESPONSE	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	median	196	29	34	-0.872698	1.66025e-05	NA	0.328191	0.158675	0.0415859	0.000214935	0.00607911	0.244527	1.40115	yes	no	yes	yes	no
GSE312098_IMMU132_vs_control	CRC CX-1 cell line, 48 h	yes	3	3	no	log2(x+0.1)	FPKM	alt_reactomeIFNG_reactomeAPM_reactomeNHEJ	REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	median	94	29	34	-0.872698	1.66025e-05	NA	0.217421	0.158675	0.0415859	6.72623e-05	0.00607911	0.244527	1.29038	yes	no	yes	yes	no
GSE312098_IMMU132_vs_control	CRC CX-1 cell line, 48 h	yes	3	3	no	log2(x+1)	FPKM	primary_hallmarkG_reactomeAPM_reactomeNHEJ	HALLMARK_INTERFERON_GAMMA_RESPONSE	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	mean	196	29	34	-0.861109	1.69346e-05	NA	0.242297	0.1772	0.00248387	0.000359857	0.000578283	0.908087	1.28309	yes	no	yes	yes	no
GSE312098_IMMU132_vs_control	CRC CX-1 cell line, 48 h	yes	3	3	no	log2(x+1)	FPKM	alt_reactomeIFNG_reactomeAPM_reactomeNHEJ	REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	mean	94	29	34	-0.861109	1.69346e-05	NA	0.198195	0.1772	0.00248387	9.57914e-06	0.000578283	0.908087	1.23899	yes	no	yes	yes	no
GSE312098_IMMU132_vs_control	CRC CX-1 cell line, 48 h	yes	3	3	no	log2(x+1)	FPKM	primary_hallmarkG_reactomeAPM_reactomeNHEJ	HALLMARK_INTERFERON_GAMMA_RESPONSE	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	median	196	29	34	-0.861109	1.69346e-05	NA	0.13144	0.0888897	0.0408685	0.000359857	0.000578283	0.908087	1.12231	yes	yes	yes	yes	no
GSE312098_IMMU132_vs_control	CRC CX-1 cell line, 48 h	yes	3	3	no	log2(x+1)	FPKM	alt_reactomeIFNG_reactomeAPM_reactomeNHEJ	REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	median	94	29	34	-0.861109	1.69346e-05	NA	0.0780725	0.0888897	0.0408685	9.57914e-06	0.000578283	0.908087	1.06894	yes	no	yes	yes	no
E-MTAB-16433_SG_vs_vehicle	CRC PDOX HD42466, 28 d, mouse pseudobulk	yes	4	4	no	log2(count+1)	count	alt_hallmarkA_canonicalAPM_coreNHEJ	HALLMARK_INTERFERON_ALPHA_RESPONSE	CANONICAL_APM_18	CLASSICAL_NHEJ_8	mean	96	18	8	-0.149104	0.645104	NA	0.22323	0.155467	0.288634	0.310991	0.546863	0.272477	0.816435	yes	no	yes	no	no
E-MTAB-16433_SG_vs_vehicle	CRC PDOX HD42466, 28 d, mouse pseudobulk	yes	4	4	no	log2(count+1)	count	alt_hallmarkA_canonicalAPM_coreNHEJ	HALLMARK_INTERFERON_ALPHA_RESPONSE	CANONICAL_APM_18	CLASSICAL_NHEJ_8	median	96	18	8	-0.149104	0.645104	NA	0.182492	0.194967	0.255966	0.310991	0.546863	0.272477	0.782528	yes	no	yes	no	no
E-MTAB-16433_SG_vs_vehicle	CRC PDOX HD42466, 28 d, mouse pseudobulk	yes	4	4	no	log2(count+1)	count	primary_hallmarkG_reactomeAPM_reactomeNHEJ	HALLMARK_INTERFERON_GAMMA_RESPONSE	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	mean	182	29	34	-0.149104	0.645104	NA	0.170745	0.059275	0.243031	0.48172	0.785577	0.290874	0.622155	yes	no	yes	no	no
E-MTAB-16433_SG_vs_vehicle	CRC PDOX HD42466, 28 d, mouse pseudobulk	yes	4	4	no	log2(count+1)	count	primary_hallmarkG_reactomeAPM_reactomeNHEJ	HALLMARK_INTERFERON_GAMMA_RESPONSE	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	median	182	29	34	-0.149104	0.645104	NA	0.144049	0.0499067	0.255078	0.48172	0.785577	0.290874	0.598138	yes	no	yes	no	no
