gsm	title	arm	fpkm_column	cell_line	tissue	time	dose_protocol
GSM9337711	CX-1 cells, Control, 2Day, rep1	control	X_1	CX-1	colorectal cancer cell line	48 h (series title: 2Day)	3 ug/ml IMMU132 and/or 3 uM GSK2606414 for 48 h
GSM9337712	CX-1 cells, Control, 2Day, rep2	control	X_2	CX-1	colorectal cancer cell line	48 h (series title: 2Day)	3 ug/ml IMMU132 and/or 3 uM GSK2606414 for 48 h
GSM9337713	CX-1 cells, Control, 2Day, rep3	control	X_3	CX-1	colorectal cancer cell line	48 h (series title: 2Day)	3 ug/ml IMMU132 and/or 3 uM GSK2606414 for 48 h
GSM9337714	CX-1 cells, IMMU132, 2Day, rep1	IMMU132	X_4	CX-1	colorectal cancer cell line	48 h (series title: 2Day)	3 ug/ml IMMU132 and/or 3 uM GSK2606414 for 48 h
GSM9337715	CX-1 cells, IMMU132, 2Day, rep2	IMMU132	X_5	CX-1	colorectal cancer cell line	48 h (series title: 2Day)	3 ug/ml IMMU132 and/or 3 uM GSK2606414 for 48 h
GSM9337716	CX-1 cells, IMMU132, 2Day, rep3	IMMU132	X_6	CX-1	colorectal cancer cell line	48 h (series title: 2Day)	3 ug/ml IMMU132 and/or 3 uM GSK2606414 for 48 h
GSM9337717	CX-1 cells, GSK2606414, 2Day, rep1	GSK2606414	X_7	CX-1	colorectal cancer cell line	48 h (series title: 2Day)	3 ug/ml IMMU132 and/or 3 uM GSK2606414 for 48 h
GSM9337718	CX-1 cells, GSK2606414, 2Day, rep2	GSK2606414	X_8	CX-1	colorectal cancer cell line	48 h (series title: 2Day)	3 ug/ml IMMU132 and/or 3 uM GSK2606414 for 48 h
GSM9337719	CX-1 cells, GSK2606414, 2Day, rep3	GSK2606414	X_9	CX-1	colorectal cancer cell line	48 h (series title: 2Day)	3 ug/ml IMMU132 and/or 3 uM GSK2606414 for 48 h
GSM9337720	CX-1 cells, Combination, 2Day, rep1	combination	X_10	CX-1	colorectal cancer cell line	48 h (series title: 2Day)	3 ug/ml IMMU132 and/or 3 uM GSK2606414 for 48 h
GSM9337721	CX-1 cells, Combination, 2Day, rep2	combination	X_11	CX-1	colorectal cancer cell line	48 h (series title: 2Day)	3 ug/ml IMMU132 and/or 3 uM GSK2606414 for 48 h
GSM9337722	CX-1 cells, Combination, 2Day, rep3	combination	X_12	CX-1	colorectal cancer cell line	48 h (series title: 2Day)	3 ug/ml IMMU132 and/or 3 uM GSK2606414 for 48 h
