panel	order	symbol	on_table	logFC	logCPM	author_FDR	author_PValue
hallmark_ifn_alpha	0	Adar	True	0.221657554	6.267438271	0.687704255	0.138016113
hallmark_ifn_alpha	1	B2m	True	0.655249264	9.732933766	0.033588316	0.000930043
hallmark_ifn_alpha	2	Batf2	True	0.521852457	2.286253893	0.583769674	0.098706966
hallmark_ifn_alpha	3	Bst2	True	0.442283218	5.201331674	0.10006632	0.004688664
hallmark_ifn_alpha	4	C1s1	False				
hallmark_ifn_alpha	5	Casp1	True	0.053315815	2.736056811	1.0	0.886740468
hallmark_ifn_alpha	6	Casp8	True	0.044319994	5.48424966	1.0	0.774745869
hallmark_ifn_alpha	7	Ccrl2	True	0.265447228	5.840093877	0.445290422	0.057712902
hallmark_ifn_alpha	8	Cd47	True	0.007823922	8.626103896	1.0	0.95829201
hallmark_ifn_alpha	9	Cd74	True	0.486238793	10.09866603	0.085505885	0.003721585
hallmark_ifn_alpha	10	Cmpk2	True	0.209050053	4.348662067	0.903648486	0.270340167
hallmark_ifn_alpha	11	Cmtr1	False				
hallmark_ifn_alpha	12	Cnp	True	0.091917687	5.837844936	1.0	0.523479615
hallmark_ifn_alpha	13	Csf1	True	0.396876514	6.117290734	0.106974681	0.005209502
hallmark_ifn_alpha	14	Cxcl10	True	2.542898441	0.761591903	0.093900892	0.004257013
hallmark_ifn_alpha	15	Cxcl11	True	5.044394119	-1.071298111	0.167807069	0.010305774
hallmark_ifn_alpha	16	Ddx60	True	-0.275634443	2.622188846	0.968555719	0.317987931
hallmark_ifn_alpha	17	Dhx58	True	0.427253449	2.983984324	0.644104695	0.117277206
hallmark_ifn_alpha	18	Eif2ak2	True	-0.140057489	4.977188763	1.0	0.410928389
hallmark_ifn_alpha	19	Elf1	True	-0.026264102	6.755647539	1.0	0.859854958
hallmark_ifn_alpha	20	Epsti1	True	0.04759838	2.894486173	1.0	0.883667305
hallmark_ifn_alpha	21	Gbp3	True	0.718229032	5.271887604	0.022326997	0.000512122
hallmark_ifn_alpha	22	Gmpr	True	0.050229444	4.113577232	1.0	0.82130016
hallmark_ifn_alpha	23	Helz2	True	0.126550666	7.319139578	1.0	0.430965683
hallmark_ifn_alpha	24	Herc6	True	0.054749148	4.250629984	1.0	0.797336048
hallmark_ifn_alpha	25	Ifi27	False				
hallmark_ifn_alpha	26	Ifi30	True	0.002523849	6.092351565	1.0	0.992966343
hallmark_ifn_alpha	27	Ifi35	True	0.286246407	5.372681431	0.421508208	0.052181182
hallmark_ifn_alpha	28	Ifi44	True	0.749481166	3.363330116	0.031234037	0.000843269
hallmark_ifn_alpha	29	Ifi44l	True	0.498119241	0.973096008	0.942741585	0.297090644
hallmark_ifn_alpha	30	Ifih1	True	0.055694069	5.759217096	1.0	0.700934367
hallmark_ifn_alpha	31	Ifit2	True	-0.369023039	5.378882136	0.19255841	0.012872714
hallmark_ifn_alpha	32	Ifit3	True	-0.206965942	6.490944313	0.967196558	0.315638468
hallmark_ifn_alpha	33	Ifitm1	True	0.528215404	5.62480006	0.014365759	0.000281624
hallmark_ifn_alpha	34	Ifitm2	True	0.293262885	7.368532773	0.369611412	0.039618678
hallmark_ifn_alpha	35	Ifitm3	True	0.471150083	8.090463632	0.031556571	0.000856338
hallmark_ifn_alpha	36	Il15	True	0.384765825	2.428547776	0.843223601	0.217905259
hallmark_ifn_alpha	37	Il4ra	True	0.318341959	7.198997215	0.296824345	0.027104623
hallmark_ifn_alpha	38	Il7	True	-0.192109854	2.48329074	1.0	0.517765219
hallmark_ifn_alpha	39	Irf1	True	0.381826817	7.037226346	0.20707363	0.014730324
hallmark_ifn_alpha	40	Irf2	True	0.050003705	6.210052404	1.0	0.739122355
hallmark_ifn_alpha	41	Irf7	True	0.227316665	3.975825801	0.983132036	0.329109646
hallmark_ifn_alpha	42	Irf9	True	0.388118792	5.738470017	0.160767716	0.009614213
hallmark_ifn_alpha	43	Isg15	True	1.075372735	2.786682884	0.003095569	3.92718e-05
hallmark_ifn_alpha	44	Isg20	True	0.24024622	4.576160315	0.849964675	0.221918904
hallmark_ifn_alpha	45	Lamp3	True	-0.069085563	9.121148829	1.0	0.687331299
hallmark_ifn_alpha	46	Lap3	True	0.293676259	5.109854146	0.454580834	0.059877752
hallmark_ifn_alpha	47	Lgals3bp	True	0.232843219	6.80445124	0.658698524	0.12368042
