panel	filter	symbol	logFC	logCPM	PValue	FDR	direction	low_count
ayers_ifng6	detected	Ifng	2.444784843	-0.611866493	0.100971434	0.590157829	UP	True
ayers_ifng6	detected	Stat1	0.390851313	6.948292617	0.026232231	0.29079192	UP	False
ayers_ifng6	detected	Ido1	1.328325866	0.48329074	0.0622042	0.463966381	UP	False
ayers_ifng6	detected	Cxcl9	2.883303775	1.338092825	0.002282902	0.06232753	UP	False
ayers_ifng6	detected	Cxcl10	2.542898441	0.761591903	0.004257013	0.093900892	UP	False
ayers_ifng6	detected	H2-Aa	-0.19803064	8.476319444	0.251045547	0.887883916	DOWN	False
ayers_ifng6	logCPM_gt_0	Stat1	0.390851313	6.948292617	0.026232231	0.29079192	UP	False
ayers_ifng6	logCPM_gt_0	Ido1	1.328325866	0.48329074	0.0622042	0.463966381	UP	False
ayers_ifng6	logCPM_gt_0	Cxcl9	2.883303775	1.338092825	0.002282902	0.06232753	UP	False
ayers_ifng6	logCPM_gt_0	Cxcl10	2.542898441	0.761591903	0.004257013	0.093900892	UP	False
ayers_ifng6	logCPM_gt_0	H2-Aa	-0.19803064	8.476319444	0.251045547	0.887883916	DOWN	False
compact26	detected	Stat1	0.390851313	6.948292617	0.026232231	0.29079192	UP	False
compact26	detected	Stat2	0.445880011	5.910982493	0.002832605	0.071324478	UP	False
compact26	detected	Irf1	0.381826817	7.037226346	0.014730324	0.20707363	UP	False
compact26	detected	Irf7	0.227316665	3.975825801	0.329109646	0.983132036	UP	False
compact26	detected	Irf9	0.388118792	5.738470017	0.009614213	0.160767716	UP	False
compact26	detected	Isg15	1.075372735	2.786682884	3.92718e-05	0.003095569	UP	False
compact26	detected	Mx1	0.626672753	1.371645385	0.11907033	0.648233013	UP	False
compact26	detected	Oas1a	0.762345187	2.608181988	0.014921827	0.208748722	UP	False
compact26	detected	Oas2	1.488747185	2.670168875	1.7297e-05	0.001526145	UP	False
compact26	detected	Oasl1	1.10744629	1.321019312	0.033653348	0.335645718	UP	False
compact26	detected	Rsad2	1.198246334	2.615202416	0.016139179	0.218459763	UP	False
compact26	detected	Ifit1	0.57577684	4.616952198	0.000719541	0.02824166	UP	False
compact26	detected	Ifit2	-0.369023039	5.378882136	0.012872714	0.19255841	DOWN	False
compact26	detected	Ifit3	-0.206965942	6.490944313	0.315638468	0.967196558	DOWN	False
compact26	detected	Ifi44	0.749481166	3.363330116	0.000843269	0.031234037	UP	False
compact26	detected	Usp18	0.119993902	4.179000307	0.529799228	1.0	UP	False
compact26	detected	Gbp2	0.582953916	6.245549072	0.001937604	0.055191191	UP	False
compact26	detected	Gbp3	0.718229032	5.271887604	0.000512122	0.022326997	UP	False
compact26	detected	Cxcl9	2.883303775	1.338092825	0.002282902	0.06232753	UP	False
compact26	detected	Cxcl10	2.542898441	0.761591903	0.004257013	0.093900892	UP	False
compact26	detected	Cxcl11	5.044394119	-1.071298111	0.010305774	0.167807069	UP	True
compact26	detected	Ccl5	2.710310881	4.955225331	1.18618e-05	0.001144781	UP	False
compact26	detected	Ifng	2.444784843	-0.611866493	0.100971434	0.590157829	UP	True
compact26	detected	Eif2ak2	-0.140057489	4.977188763	0.410928389	1.0	DOWN	False
compact26	detected	Bst2	0.442283218	5.201331674	0.004688664	0.10006632	UP	False
compact26	detected	Dhx58	0.427253449	2.983984324	0.117277206	0.644104695	UP	False
compact26	logCPM_gt_0	Stat1	0.390851313	6.948292617	0.026232231	0.29079192	UP	False
compact26	logCPM_gt_0	Stat2	0.445880011	5.910982493	0.002832605	0.071324478	UP	False
compact26	logCPM_gt_0	Irf1	0.381826817	7.037226346	0.014730324	0.20707363	UP	False
compact26	logCPM_gt_0	Irf7	0.227316665	3.975825801	0.329109646	0.983132036	UP	False
compact26	logCPM_gt_0	Irf9	0.388118792	5.738470017	0.009614213	0.160767716	UP	False
compact26	logCPM_gt_0	Isg15	1.075372735	2.786682884	3.92718e-05	0.003095569	UP	False
compact26	logCPM_gt_0	Mx1	0.626672753	1.371645385	0.11907033	0.648233013	UP	False
compact26	logCPM_gt_0	Oas1a	0.762345187	2.608181988	0.014921827	0.208748722	UP	False
compact26	logCPM_gt_0	Oas2	1.488747185	2.670168875	1.7297e-05	0.001526145	UP	False
compact26	logCPM_gt_0	Oasl1	1.10744629	1.321019312	0.033653348	0.335645718	UP	False
compact26	logCPM_gt_0	Rsad2	1.198246334	2.615202416	0.016139179	0.218459763	UP	False
compact26	logCPM_gt_0	Ifit1	0.57577684	4.616952198	0.000719541	0.02824166	UP	False
compact26	logCPM_gt_0	Ifit2	-0.369023039	5.378882136	0.012872714	0.19255841	DOWN	False
compact26	logCPM_gt_0	Ifit3	-0.206965942	6.490944313	0.315638468	0.967196558	DOWN	False
compact26	logCPM_gt_0	Ifi44	0.749481166	3.363330116	0.000843269	0.031234037	UP	False
compact26	logCPM_gt_0	Usp18	0.119993902	4.179000307	0.529799228	1.0	UP	False
compact26	logCPM_gt_0	Gbp2	0.582953916	6.245549072	0.001937604	0.055191191	UP	False
compact26	logCPM_gt_0	Gbp3	0.718229032	5.271887604	0.000512122	0.022326997	UP	False
compact26	logCPM_gt_0	Cxcl9	2.883303775	1.338092825	0.002282902	0.06232753	UP	False
compact26	logCPM_gt_0	Cxcl10	2.542898441	0.761591903	0.004257013	0.093900892	UP	False
compact26	logCPM_gt_0	Ccl5	2.710310881	4.955225331	1.18618e-05	0.001144781	UP	False
compact26	logCPM_gt_0	Eif2ak2	-0.140057489	4.977188763	0.410928389	1.0	DOWN	False
compact26	logCPM_gt_0	Bst2	0.442283218	5.201331674	0.004688664	0.10006632	UP	False
compact26	logCPM_gt_0	Dhx58	0.427253449	2.983984324	0.117277206	0.644104695	UP	False
fable_isg	detected	Isg15	1.075372735	2.786682884	3.92718e-05	0.003095569	UP	False
fable_isg	detected	Mx1	0.626672753	1.371645385	0.11907033	0.648233013	UP	False
fable_isg	detected	Mx2	0.236067358	1.951069702	0.543320868	1.0	UP	False
fable_isg	detected	Oas1a	0.762345187	2.608181988	0.014921827	0.208748722	UP	False
fable_isg	detected	Oas2	1.488747185	2.670168875	1.7297e-05	0.001526145	UP	False
fable_isg	detected	Oas3	1.81579999	1.420554985	1.89353e-05	0.001643963	UP	False
fable_isg	detected	Oasl1	1.10744629	1.321019312	0.033653348	0.335645718	UP	False
fable_isg	detected	Rsad2	1.198246334	2.615202416	0.016139179	0.218459763	UP	False
fable_isg	detected	Ifit1	0.57577684	4.616952198	0.000719541	0.02824166	UP	False
fable_isg	detected	Ifit2	-0.369023039	5.378882136	0.012872714	0.19255841	DOWN	False
fable_isg	detected	Ifit3	-0.206965942	6.490944313	0.315638468	0.967196558	DOWN	False
fable_isg	detected	Ifi27l2a	0.6236121	3.475596349	0.016289737	0.219629205	UP	False
fable_isg	detected	Ifi44	0.749481166	3.363330116	0.000843269	0.031234037	UP	False
fable_isg	detected	Usp18	0.119993902	4.179000307	0.529799228	1.0	UP	False
fable_isg	detected	Ddx58	0.159132744	6.274661485	0.273179783	0.907447441	UP	False
fable_isg	detected	Ifih1	0.055694069	5.759217096	0.700934367	1.0	UP	False
fable_isg	detected	Xaf1	0.437335138	6.559878944	0.002331541	0.063178639	UP	False
fable_isg	detected	Bst2	0.442283218	5.201331674	0.004688664	0.10006632	UP	False
fable_isg	detected	Isg20	0.24024622	4.576160315	0.221918904	0.849964675	UP	False
fable_isg	detected	Stat1	0.390851313	6.948292617	0.026232231	0.29079192	UP	False
fable_isg	detected	Stat2	0.445880011	5.910982493	0.002832605	0.071324478	UP	False
fable_isg	detected	Irf1	0.381826817	7.037226346	0.014730324	0.20707363	UP	False
fable_isg	detected	Irf7	0.227316665	3.975825801	0.329109646	0.983132036	UP	False
fable_isg	detected	Irf9	0.388118792	5.738470017	0.009614213	0.160767716	UP	False
fable_isg	detected	Gbp2	0.582953916	6.245549072	0.001937604	0.055191191	UP	False
fable_isg	logCPM_gt_0	Isg15	1.075372735	2.786682884	3.92718e-05	0.003095569	UP	False
fable_isg	logCPM_gt_0	Mx1	0.626672753	1.371645385	0.11907033	0.648233013	UP	False
fable_isg	logCPM_gt_0	Mx2	0.236067358	1.951069702	0.543320868	1.0	UP	False
fable_isg	logCPM_gt_0	Oas1a	0.762345187	2.608181988	0.014921827	0.208748722	UP	False
fable_isg	logCPM_gt_0	Oas2	1.488747185	2.670168875	1.7297e-05	0.001526145	UP	False
fable_isg	logCPM_gt_0	Oas3	1.81579999	1.420554985	1.89353e-05	0.001643963	UP	False
fable_isg	logCPM_gt_0	Oasl1	1.10744629	1.321019312	0.033653348	0.335645718	UP	False
fable_isg	logCPM_gt_0	Rsad2	1.198246334	2.615202416	0.016139179	0.218459763	UP	False
fable_isg	logCPM_gt_0	Ifit1	0.57577684	4.616952198	0.000719541	0.02824166	UP	False
fable_isg	logCPM_gt_0	Ifit2	-0.369023039	5.378882136	0.012872714	0.19255841	DOWN	False
fable_isg	logCPM_gt_0	Ifit3	-0.206965942	6.490944313	0.315638468	0.967196558	DOWN	False
fable_isg	logCPM_gt_0	Ifi27l2a	0.6236121	3.475596349	0.016289737	0.219629205	UP	False
fable_isg	logCPM_gt_0	Ifi44	0.749481166	3.363330116	0.000843269	0.031234037	UP	False
fable_isg	logCPM_gt_0	Usp18	0.119993902	4.179000307	0.529799228	1.0	UP	False
fable_isg	logCPM_gt_0	Ddx58	0.159132744	6.274661485	0.273179783	0.907447441	UP	False
fable_isg	logCPM_gt_0	Ifih1	0.055694069	5.759217096	0.700934367	1.0	UP	False
fable_isg	logCPM_gt_0	Xaf1	0.437335138	6.559878944	0.002331541	0.063178639	UP	False
fable_isg	logCPM_gt_0	Bst2	0.442283218	5.201331674	0.004688664	0.10006632	UP	False
fable_isg	logCPM_gt_0	Isg20	0.24024622	4.576160315	0.221918904	0.849964675	UP	False
fable_isg	logCPM_gt_0	Stat1	0.390851313	6.948292617	0.026232231	0.29079192	UP	False
fable_isg	logCPM_gt_0	Stat2	0.445880011	5.910982493	0.002832605	0.071324478	UP	False
fable_isg	logCPM_gt_0	Irf1	0.381826817	7.037226346	0.014730324	0.20707363	UP	False
fable_isg	logCPM_gt_0	Irf7	0.227316665	3.975825801	0.329109646	0.983132036	UP	False
fable_isg	logCPM_gt_0	Irf9	0.388118792	5.738470017	0.009614213	0.160767716	UP	False
fable_isg	logCPM_gt_0	Gbp2	0.582953916	6.245549072	0.001937604	0.055191191	UP	False
