panel	family	filter	n_listed_resolved	n_detected	n_missing_from_table	n_low_cpm_excluded	mean_logFC_KO_minus_WT	median_logFC_KO_minus_WT	n_up	n_down	concordance_frac_up	pairwise_concordance	joint_mean_x_concordance	sign_test_p_up_genes	wilcoxon_p_up_genes	mwu_p_panel_gt_background_genes	inference_unit	genes_down	genes_low_cpm_excluded	genes_missing
hallmark_ifn_alpha	hallmark	detected	94	89	5	0	0.2812065107865169	0.193867003	70	19	0.7865168539325843	0.660367722165475	0.2211736601691706	2.478744783881068e-08	5.780699801622659e-08	3.2163581726165627e-09	genes on one KO-vs-WT edgeR column; not mice	Samd9l,Sell,Ifit2,Txnip,Trim12c,Ddx60,Procr,Sp110,Lpar6,Ifit3,Il7,Uba7,Eif2ak2,Slc25a28,Lamp3,Nub1,Trim25,Elf1,Ripk2		C1s1,Cmtr1,Ifi27,Tent5a,Wars1
hallmark_ifn_alpha	hallmark	logCPM_gt_0	94	88	5	1	0.22707937887500004	0.19037095	69	19	0.7840909090909091	0.6575235109717869	0.17805087661789776	3.9183123156734e-08	9.687802579465394e-08	7.917508375372716e-09	genes on one KO-vs-WT edgeR column; not mice	Samd9l,Sell,Ifit2,Txnip,Trim12c,Ddx60,Procr,Sp110,Lpar6,Ifit3,Il7,Uba7,Eif2ak2,Slc25a28,Lamp3,Nub1,Trim25,Elf1,Ripk2	Cxcl11	C1s1,Cmtr1,Ifi27,Tent5a,Wars1
hallmark_ifn_alpha	hallmark	logCPM_gt_1	94	86	5	3	0.1969996239418605	0.185254195	67	19	0.7790697674418605	0.6517099863201095	0.15347645121051923	9.704787135863733e-08	2.601935743583115e-07	3.658307851129098e-08	genes on one KO-vs-WT edgeR column; not mice	Samd9l,Sell,Ifit2,Txnip,Trim12c,Ddx60,Procr,Sp110,Lpar6,Ifit3,Il7,Uba7,Eif2ak2,Slc25a28,Lamp3,Nub1,Trim25,Elf1,Ripk2	Cxcl10,Cxcl11,Ifi44l	C1s1,Cmtr1,Ifi27,Tent5a,Wars1
hallmark_ifn_gamma	hallmark	detected	188	181	7	0	0.2602884290883978	0.173487672	131	50	0.7237569060773481	0.5979128299570289	0.188385548124752	7.3415901395572e-10	3.444936628569657e-09	1.5577410346611896e-11	genes on one KO-vs-WT edgeR column; not mice	Xcl1,Bank1,Apol6,St8sia4,Il6,Gpr18,Samd9l,Cd69,Ptgs2,Il10ra,Irf5,Ifit2,Txnip,Ptpn6,Rapgef6,P2ry14,Cfh,Arl4a,Fgl2,Irf8,Ddx60,Sspn,Il15ra,Btg1,Sp110,Ifit3,Casp4,H2-Aa,Il7,Samhd1,Cd40,Peli1,Eif2ak2,Hif1a,Slc25a28,Isoc1,Icam1,Auts2,Jak2,Ptpn2,Nfkbia,Arid5b,Sri,Nampt,Serping1,Trim25,Vamp8,Pla2g4a,Vamp5,Ripk2		C1s1,Cmtr1,Ifi27,Marchf1,Rigi,Rnf213,Wars1
hallmark_ifn_gamma	hallmark	logCPM_gt_0	188	175	7	6	0.21827260306285715	0.168937027	127	48	0.7257142857142858	0.5996059113300493	0.1584035462227592	9.9490296024201e-10	3.1074128727865075e-09	4.300497367472303e-11	genes on one KO-vs-WT edgeR column; not mice	Bank1,Apol6,St8sia4,Gpr18,Samd9l,Cd69,Ptgs2,Il10ra,Irf5,Ifit2,Txnip,Ptpn6,Rapgef6,P2ry14,Cfh,Arl4a,Fgl2,Irf8,Ddx60,Sspn,Il15ra,Btg1,Sp110,Ifit3,Casp4,H2-Aa,Il7,Samhd1,Cd40,Peli1,Eif2ak2,Hif1a,Slc25a28,Isoc1,Icam1,Auts2,Jak2,Ptpn2,Nfkbia,Arid5b,Sri,Nampt,Serping1,Trim25,Vamp8,Pla2g4a,Vamp5,Ripk2	Ccl7,Cxcl11,Il6,Mettl7b,Sectm1a,Xcl1	C1s1,Cmtr1,Ifi27,Marchf1,Rigi,Rnf213,Wars1
hallmark_ifn_gamma	hallmark	logCPM_gt_1	188	170	7	11	0.1971678552117647	0.167269891	123	47	0.7235294117647059	0.5975635224504002	0.1426567423002768	2.460901931488243e-09	7.303105746935038e-09	2.4789028353420084e-10	genes on one KO-vs-WT edgeR column; not mice	Bank1,St8sia4,Gpr18,Samd9l,Cd69,Ptgs2,Il10ra,Irf5,Ifit2,Txnip,Ptpn6,Rapgef6,P2ry14,Cfh,Arl4a,Fgl2,Irf8,Ddx60,Sspn,Il15ra,Btg1,Sp110,Ifit3,Casp4,H2-Aa,Il7,Samhd1,Cd40,Peli1,Eif2ak2,Hif1a,Slc25a28,Isoc1,Icam1,Auts2,Jak2,Ptpn2,Nfkbia,Arid5b,Sri,Nampt,Serping1,Trim25,Vamp8,Pla2g4a,Vamp5,Ripk2	Apol6,Ccl7,Cxcl10,Cxcl11,Ido1,Ifi44l,Il6,Mettl7b,Sectm1a,Tnfaip6,Xcl1	C1s1,Cmtr1,Ifi27,Marchf1,Rigi,Rnf213,Wars1
hallmark_ifn_intersection	hallmark	detected	73	69	4	0	0.34216304562318844	0.221657554	58	11	0.8405797101449275	0.7280477408354646	0.28761531371224536	3.7779148713741346e-09	4.4424611090922e-08	4.81044548889307e-10	genes on one KO-vs-WT edgeR column; not mice	Samd9l,Ifit2,Txnip,Ddx60,Sp110,Ifit3,Il7,Eif2ak2,Slc25a28,Trim25,Ripk2		C1s1,Cmtr1,Ifi27,Wars1
hallmark_ifn_intersection	hallmark	logCPM_gt_0	73	68	4	1	0.2730125886617647	0.2153538035	57	11	0.8382352941176471	0.7247585601404741	0.22884878755471452	6.3750161872252586e-09	7.405084978008374e-08	1.3472494155070684e-09	genes on one KO-vs-WT edgeR column; not mice	Samd9l,Ifit2,Txnip,Ddx60,Sp110,Ifit3,Il7,Eif2ak2,Slc25a28,Trim25,Ripk2	Cxcl11	C1s1,Cmtr1,Ifi27,Wars1
hallmark_ifn_intersection	hallmark	logCPM_gt_1	73	66	4	3	0.2352096719242424	0.20412136400000003	55	11	0.8333333333333334	0.717948717948718	0.19600805993686868	1.8007248288028164e-08	2.0001605274636434e-07	7.694801874770106e-09	genes on one KO-vs-WT edgeR column; not mice	Samd9l,Ifit2,Txnip,Ddx60,Sp110,Ifit3,Il7,Eif2ak2,Slc25a28,Trim25,Ripk2	Cxcl10,Cxcl11,Ifi44l	C1s1,Cmtr1,Ifi27,Wars1
hallmark_ifn_union	hallmark	detected	209	201	8	0	0.24144445262189052	0.167186919	143	58	0.7114427860696517	0.587363184079602	0.1717739140543798	9.022801869786881e-10	2.33269285627146e-09	2.295039337485659e-11	genes on one KO-vs-WT edgeR column; not mice	Xcl1,Bank1,Apol6,St8sia4,Il6,Gpr18,Samd9l,Cd69,Sell,Ptgs2,Il10ra,Irf5,Ifit2,Txnip,Ptpn6,Rapgef6,P2ry14,Cfh,Arl4a,Fgl2,Irf8,Trim12c,Ddx60,Sspn,Procr,Il15ra,Btg1,Sp110,Lpar6,Ifit3,Casp4,H2-Aa,Il7,Samhd1,Cd40,Uba7,Peli1,Eif2ak2,Hif1a,Slc25a28,Isoc1,Icam1,Auts2,Jak2,Ptpn2,Nfkbia,Arid5b,Lamp3,Sri,Nampt,Serping1,Nub1,Trim25,Vamp8,Elf1,Pla2g4a,Vamp5,Ripk2		C1s1,Cmtr1,Ifi27,Marchf1,Rigi,Rnf213,Tent5a,Wars1
hallmark_ifn_union	hallmark	logCPM_gt_0	209	195	8	6	0.20315812742564102	0.162681664	139	56	0.7128205128205128	0.5884747554850648	0.14481528057520052	1.2453009562539854e-09	2.246168980169472e-09	6.225113075256954e-11	genes on one KO-vs-WT edgeR column; not mice	Bank1,Apol6,St8sia4,Gpr18,Samd9l,Cd69,Sell,Ptgs2,Il10ra,Irf5,Ifit2,Txnip,Ptpn6,Rapgef6,P2ry14,Cfh,Arl4a,Fgl2,Irf8,Trim12c,Ddx60,Sspn,Procr,Il15ra,Btg1,Sp110,Lpar6,Ifit3,Casp4,H2-Aa,Il7,Samhd1,Cd40,Uba7,Peli1,Eif2ak2,Hif1a,Slc25a28,Isoc1,Icam1,Auts2,Jak2,Ptpn2,Nfkbia,Arid5b,Lamp3,Sri,Nampt,Serping1,Nub1,Trim25,Vamp8,Elf1,Pla2g4a,Vamp5,Ripk2	Ccl7,Cxcl11,Il6,Mettl7b,Sectm1a,Xcl1	C1s1,Cmtr1,Ifi27,Marchf1,Rigi,Rnf213,Tent5a,Wars1
hallmark_ifn_union	hallmark	logCPM_gt_1	209	190	8	11	0.18387718262105263	0.155588432	135	55	0.7105263157894737	0.5864661654135338	0.13064957712548475	2.9990911416369556e-09	5.37039419621703e-09	3.3432486364208474e-10	genes on one KO-vs-WT edgeR column; not mice	Bank1,St8sia4,Gpr18,Samd9l,Cd69,Sell,Ptgs2,Il10ra,Irf5,Ifit2,Txnip,Ptpn6,Rapgef6,P2ry14,Cfh,Arl4a,Fgl2,Irf8,Trim12c,Ddx60,Sspn,Procr,Il15ra,Btg1,Sp110,Lpar6,Ifit3,Casp4,H2-Aa,Il7,Samhd1,Cd40,Uba7,Peli1,Eif2ak2,Hif1a,Slc25a28,Isoc1,Icam1,Auts2,Jak2,Ptpn2,Nfkbia,Arid5b,Lamp3,Sri,Nampt,Serping1,Nub1,Trim25,Vamp8,Elf1,Pla2g4a,Vamp5,Ripk2	Apol6,Ccl7,Cxcl10,Cxcl11,Ido1,Ifi44l,Il6,Mettl7b,Sectm1a,Tnfaip6,Xcl1	C1s1,Cmtr1,Ifi27,Marchf1,Rigi,Rnf213,Tent5a,Wars1
compact26	compact	detected	26	26	0	0	1.0237861997692308	0.6048133345	23	3	0.8846153846153846	0.7876923076923077	0.905657022872781	4.398822784423828e-05	6.407499313354492e-07	1.4195557719588824e-09	genes on one KO-vs-WT edgeR column; not mice	Ifit2,Ifit3,Eif2ak2		
compact26	compact	logCPM_gt_0	26	24	0	2	0.7970525930000001	0.579365378	21	3	0.875	0.7717391304347826	0.6974210188750001	0.0001385807991027832	2.562999725341797e-06	2.1201990431193458e-08	genes on one KO-vs-WT edgeR column; not mice	Ifit2,Ifit3,Eif2ak2	Cxcl11,Ifng	
compact26	compact	logCPM_gt_1	26	23	0	3	0.7211462517826085	0.57577684	20	3	0.8695652173913043	0.7628458498023716	0.6270836972022682	0.000244140625	5.125999450683594e-06	7.898869322462649e-08	genes on one KO-vs-WT edgeR column; not mice	Ifit2,Ifit3,Eif2ak2	Cxcl10,Cxcl11,Ifng	
fable_isg	fable	detected	25	25	0	0	0.54220847048	0.442283218	23	2	0.92	0.8466666666666667	0.4988317928416	9.715557098388672e-06	2.086162567138672e-06	1.6230763807801993e-08	genes on one KO-vs-WT edgeR column; not mice	Ifit2,Ifit3		
fable_isg	fable	logCPM_gt_0	25	25	0	0	0.54220847048	0.442283218	23	2	0.92	0.8466666666666667	0.4988317928416	9.715557098388672e-06	2.086162567138672e-06	1.6230763807801993e-08	genes on one KO-vs-WT edgeR column; not mice	Ifit2,Ifit3		
fable_isg	fable	logCPM_gt_1	25	25	0	0	0.54220847048	0.442283218	23	2	0.92	0.8466666666666667	0.4988317928416	9.715557098388672e-06	2.086162567138672e-06	1.6230763807801993e-08	genes on one KO-vs-WT edgeR column; not mice	Ifit2,Ifit3		
fable_extended	fable	detected	37	37	0	0	0.5023224174864864	0.431991771	33	4	0.8918918918918919	0.8018018018018018	0.4480172912717311	5.421970854513347e-07	9.1749825514853e-09	5.14740079499405e-11	genes on one KO-vs-WT edgeR column; not mice	Ifit2,Ifit3,H2-K1,Tap2		
fable_extended	fable	logCPM_gt_0	37	37	0	0	0.5023224174864864	0.431991771	33	4	0.8918918918918919	0.8018018018018018	0.4480172912717311	5.421970854513347e-07	9.1749825514853e-09	5.14740079499405e-11	genes on one KO-vs-WT edgeR column; not mice	Ifit2,Ifit3,H2-K1,Tap2		
fable_extended	fable	logCPM_gt_1	37	37	0	0	0.5023224174864864	0.431991771	33	4	0.8918918918918919	0.8018018018018018	0.4480172912717311	5.421970854513347e-07	9.1749825514853e-09	5.14740079499405e-11	genes on one KO-vs-WT edgeR column; not mice	Ifit2,Ifit3,H2-K1,Tap2		
fable_core8	fable	detected	8	8	0	0	0.5617830735	0.59969447	6	2	0.75	0.5714285714285714	0.421337305125	0.14453125	0.01953125	0.004604284976114511	genes on one KO-vs-WT edgeR column; not mice	H2-K1,Tap2		
fable_core8	fable	logCPM_gt_0	8	8	0	0	0.5617830735	0.59969447	6	2	0.75	0.5714285714285714	0.421337305125	0.14453125	0.01953125	0.004604284976114511	genes on one KO-vs-WT edgeR column; not mice	H2-K1,Tap2		
fable_core8	fable	logCPM_gt_1	8	8	0	0	0.5617830735	0.59969447	6	2	0.75	0.5714285714285714	0.421337305125	0.14453125	0.01953125	0.004604284976114511	genes on one KO-vs-WT edgeR column; not mice	H2-K1,Tap2		
ifn_alpha_type1	kdko	detected	32	32	0	0	0.37987513831249997	0.3406908385	26	6	0.8125	0.6854838709677419	0.3086485498789062	0.0002675263676792383	5.515199154615402e-05	4.091093231780359e-06	genes on one KO-vs-WT edgeR column; not mice	Samd9l,Ifit2,Sp110,Ifit3,Eif2ak2,Sp100		
ifn_alpha_type1	kdko	logCPM_gt_0	32	32	0	0	0.37987513831249997	0.3406908385	26	6	0.8125	0.6854838709677419	0.3086485498789062	0.0002675263676792383	5.515199154615402e-05	4.091093231780359e-06	genes on one KO-vs-WT edgeR column; not mice	Samd9l,Ifit2,Sp110,Ifit3,Eif2ak2,Sp100		
