accession	uid	taxon	n_samples	pdat	gpl	suppfile	ftplink	title	summary
GSE100860	200100860	Homo sapiens	14	2018/10/05	16791	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100860/	Monitoring Nivolumab binding as a method to clarify the residual therapeutic effects and to characterize the immune profile in antibody bound T cells in previously treated non-small cell lung cancer patients	The goal of this study is to evaluate immune profile in anti PD-1 antibody, Nivolumab, bound CD8 T cells vs Nivolumab unbound CD8 T cells.
GSE101929	200101929	Homo sapiens	66	2017/07/28	570	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE101nnn/GSE101929/	Gene expression data from African Americans and European Americans with non-small cell lung cancer	Translational Relevance Historically, African Americans have been underrepresented in clinical cancer research. Diversity helps to ensure equal access to new cancer therapies and better treatment for everyone. Cancer research is increasingly focused on classifying patients according to molecular profiles for particular groups. We provide a detailed molecular analysis from paired NSCLC tissues that identified differential coding and noncoding RNA expression in NSCLC from African Americans (AA) and European Americans (EA). Similar to other tumor types, we determined that race-enriched gene and microRNA expression signatures suggest a more aggressive disease in African Americans. Based on predicted drug resistance to adjuvant chemotherapies, AA may not equally benefit from the same range of clinical drugs as EA. Our findings provide a rationale for integrating coding and noncoding transcriptome profiles, along with clinical, demographic, and genomic data, when determining treatment options. Abstract Purpose: To determine if racial differences in gene and microRNA expression translates to differences in lung tumor biology with clinical relevance in African Americans (AA) and European Americans (EA). Experimental Design: The NCI-Maryland Case Control Study includes seven Baltimore City hospitals and is overrepresented with AA patients (~40%). Patients that underwent curative NSCLC surgery between 1998 and 2014 were enrolled. Comparative molecular profiling used mRNA (n = 22 AAs and n = 19 EAs) and microRNA (n = 42 AAs and n = 55 EAs) expression arrays to track differences in paired fresh frozen normal tissues and lung tumor specimens from AA and EA. Pathway enrichment, predicted drug response, tumor microenvironment infiltration, cancer immunotherapy antigen profiling, and microRNA target enrichment were assessed. Results: AA-enriched differential gene expression was characterized by stem-cell and invasion pathways. Differential gene expression in lung tumors from EA were primarily characterized by cell proliferation pathways. Population-specific gene expression was partly driven by population-specific miRNA expression profiles. Drug susceptibility predictions revealed a strong inverse correlation between AA resistance and EA sensitivity to the same panel of drugs. Statistically significant differences in M1 and M2 macrophage infiltration was observed in AA (P <0.05), however, PD-L1, PD-L2 expression was similar between both. Conclusions: Comparative transcriptomic profiling revealed clear differences in lung tumor biology between AA and EA. Increased participation by AA in lung cancer clinical trials are needed to integrate, and leverage, transcriptomic differences with other clinical information to maximize therapeutic benefit in both AA and EA. GSEA, Connectivity Map, CIBERSORT, cancer immunotherapy antigen profiling, and hypergeometric testing for overlapping miRNA targets were performed.
GSE102286	200102286	Homo sapiens	179	2017/08/04	23871	RCC	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE102nnn/GSE102286/	MicroRNA expression data from African Americans and European Americans with non-small cell lung cancer	Translational Relevance Historically, African Americans have been underrepresented in clinical cancer research. Diversity helps to ensure equal access to new cancer therapies and better treatment for everyone. Cancer research is increasingly focused on classifying patients according to molecular profiles for particular groups. We provide a detailed molecular analysis from paired NSCLC tissues that identified differential coding and noncoding RNA expression in NSCLC from African Americans (AA) and European Americans (EA). Similar to other tumor types, we determined that race-enriched gene and microRNA expression signatures suggest a more aggressive disease in African Americans. Based on predicted drug resistance to adjuvant chemotherapies, AA may not equally benefit from the same range of clinical drugs as EA. Our findings provide a rationale for integrating coding and noncoding transcriptome profiles, along with clinical, demographic, and genomic data, when determining treatment options.  Abstract Purpose: To determine if racial differences in gene and microRNA expression translates to differences in lung tumor biology with clinical relevance in African Americans (AA) and European Americans (EA). Experimental Design: The NCI-Maryland Case Control Study includes seven Baltimore City hospitals and is overrepresented with AA patients (~40%). Patients that underwent curative NSCLC surgery between 1998 and 2014 were enrolled. Comparative molecular profiling used mRNA (n = 22 AAs and n = 19 EAs) and microRNA (n = 42 AAs and n = 55 EAs) expression arrays to track differences in paired fresh frozen normal tissues and lung tumor specimens from AA and EA. Pathway enrichment, predicted drug response, tumor microenvironment infiltration, cancer immunotherapy antigen profiling, and microRNA target enrichment were assessed. Results: AA-enriched differential gene expression was characterized by stem-cell and invasion pathways. Differential gene expression in lung tumors from EA were primarily characterized by cell proliferation pathways. Population-specific gene expression was partly driven by population-specific miRNA expression profiles. Drug susceptibility predictions revealed a strong inverse correlation between AA resistance and EA sensitivity to the same panel of drugs. Statistically significant differences in M1 and M2 macrophage infiltration was observed in AA (P <0.05), however, PD-L1, PD-L2 expression was similar between both. Conclusions: Comparative transcriptomic profiling revealed clear differences in lung tumor biology between AA and EA. Increased participation by AA in lung cancer clinical trials are needed to integrate, and leverage, transcriptomic differences with other clinical information to maximize therapeutic benefit in both AA and EA.
GSE106420	200106420	Homo sapiens	12	2018/08/09	11154	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE106nnn/GSE106420/	Human lymph nodes maintain a unique subset of resident memory T cells with high functional potential important for protective immunity and immunotherapies	Tissue resident memory T cells (TRM) predominate in barrier sites and mediate protective immunity, while their role in lymphoid tissues is undefined. Here we analyzed memory CD8+ T cells in different lymphoid compartments including bone marrow, spleen, and lymph nodes (LN) relative to lung within diverse individuals. We identify an organ-specific subset in human LN (TLN) not found in blood or other tissues, expressing high levels of TCF-1 and transcriptionally enriched for markers of quiescence, self-renewal and follicular-helper cells. High dimensional CyTOF analysis reveals TLN as intermediate in differentiation between naive and TRM cells, with circulating memory T cells the most differentiated. TLN exhibit higher TCR diversity, lower in vivo turnover, yet higher proliferative responses compared to memory cells in other lymphoid or mucosal sites. These findings establish human LN as reservoirs for diverse memory T cells poised for high expansion and TLN as important targets for in vivo immunotherapies.
GSE108819	200108819	Homo sapiens	9	2018/07/23	21827	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE108nnn/GSE108819/	The mRNA and lncRNA profiles of the T cells activated by breast tumor-specific DCs pulsed by MDA-MB-231 lysates at day 0, day 1 and day 6	Activation induced cell death (AICD) of T lymphocytes may be exploited by cancers to eliminate cytotoxic T cells (CTLs). Here, we demonstrated excessive apoptosis of tumor antigen-specific CTLs in breast and lung cancers. Interestingly, NKILA, an NF-κB interacting lncRNA, sensitizes CTLs to AICD by inhibiting NF-κB activities after their activation. In vivo, administering CTLs with NKILA silencing into immunocompromised mice with breast cancer patient derived xenografts (PDXs) effectively inhibits PDX growth by increasing CTL infiltration. Clinically, NKILA was overexpressed in the tumor specific CTLs of breast and lung cancers, which was associated with less CTL infiltration in the tumors and shorter patient survival. Our findings present the first evidence that AICD in patient tumor-specific CTLs is crucial to cancer immune evasion, and targeting NKILA in CTLs emerges as a novel anti-tumor immunotherapy.
GSE109010	200109010	Homo sapiens	12	2018/06/17	23159	CEL, TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE109nnn/GSE109010/	Mutations in the SWI/SNF chromatin remodeling complex induce metabolic rewiring and dependence on oxidative phosphorylation [Affymetrix]	Lung cancer is a devastating disease that remains the top cause of cancer mortality. While targeted therapies against EGFR and EML4-ALK fusion and recent advances in immunotherapy have shown substantial clinical benefit for some patients, the vast majority of patients with lung cancer still lack effective therapies underscoring the dire need for more context-specific therapeutics. Cancer genomic studies have identified frequent genetic alterations in chromatin and epigenetic regulators including inactivating mutations in components of the SWI/SNF chromatin remodeling complex. In lung adenocarcinoma, about 20% of tumors have inactivating mutations in components of the SWI/SNF chromatin remodeling complex including SMARCA4 and ARID1A. With the aim of understanding the mechanism of tumor development driven by mutations in this complex, we developed a genetically engineered mouse (GEM) model of lung adenocarcinoma by selectively ablating Smarca4 in the lung epithelium. We demonstrate that Smarca4 acts as a bona fide tumor suppressor and cooperates with p53 loss and Kras activation. Cross species integrative gene expression analyses revealed signature of enhanced oxidative phosphorylation (OXPHOS) in SMARCA4 mutant murine as well as human lung adenocarcinomas. We further show that SMARCA4 mutant cells have increased oxygen consumption and increased respiratory capacity primarily driven by increased expression of the mitochondrial master regulator, PGC1-α. Importantly, we show that SMARCA4 and other SWI/SNF mutant lung cancer cell lines and xenograft tumors have exquisite sensitivity to inhibition of OXPHOS by a novel small molecule, IACS-010759, that is under clinical development. Mechanistically, we show that SMARCA4 deficient cells have a blunted transcriptional response to energy stress creating a therapeutically attractive collateral vulnerability. These findings provide the mechanistic basis for further development of OXPHOS inhibitors as therapeutics against SWI/SNF mutant tumors.
GSE109020	200109020	Homo sapiens	4	2018/06/17	11154	BED, BW, XLS	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE109nnn/GSE109020/	Mutations in the SWI/SNF chromatin remodeling complex induce metabolic rewiring and dependence on oxidative phosphorylation	Lung cancer is a devastating disease that remains the top cause of cancer mortality. While targeted therapies against EGFR and EML4-ALK fusion and recent advances in immunotherapy have shown substantial clinical benefit for some patients, the vast majority of patients with lung cancer still lack effective therapies underscoring the dire need for more context-specific therapeutics. Cancer genomic studies have identified frequent genetic alterations in chromatin and epigenetic regulators including inactivating mutations in components of the SWI/SNF chromatin remodeling complex. In lung adenocarcinoma, about 20% of tumors have inactivating mutations in components of the SWI/SNF chromatin remodeling complex including SMARCA4 and ARID1A. With the aim of understanding the mechanism of tumor development driven by mutations in this complex, we developed a genetically engineered mouse (GEM) model of lung adenocarcinoma by selectively ablating Smarca4 in the lung epithelium. We demonstrate that Smarca4 acts as a bona fide tumor suppressor and cooperates with p53 loss and Kras activation. Cross species integrative gene expression analyses revealed signature of enhanced oxidative phosphorylation (OXPHOS) in SMARCA4 mutant murine as well as human lung adenocarcinomas. We further show that SMARCA4 mutant cells have increased oxygen consumption and increased respiratory capacity primarily driven by increased expression of the mitochondrial master regulator, PGC1-α. Importantly, we show that SMARCA4 and other SWI/SNF mutant lung cancer cell lines and xenograft tumors have exquisite sensitivity to inhibition of OXPHOS by a novel small molecule, IACS-010759, that is under clinical development. Mechanistically, we show that SMARCA4 deficient cells have a blunted transcriptional response to energy stress creating a therapeutically attractive collateral vulnerability. These findings provide the mechanistic basis for further development of OXPHOS inhibitors as therapeutics against SWI/SNF mutant tumors.
GSE110390	200110390	Homo sapiens	159	2018/02/14	18573	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE110nnn/GSE110390/	Interferon Gamma mRNA Signature in Tumor Biopsies Predicts Outcomes in Patients with Non–Small-Cell Lung Carcinoma or Urothelial Cancer Treated with Durvalumab	An unmet need in cancer treatment is identification of biomarkers of response to PD-1 or PD-L1 immune checkpoint inhibitors that predict therapeutic outcomes in patients with non–small-cell lung carcinoma (NSCLC) and urothelial cancer (UC). Expression of PD-L1 measured by immunohistochemistry has limited capacity for predicting outcomes of immune checkpoint therapy because expression of this biomarker does not correlate highly with treatment response. In addition, PD-L1 as measured on tumor cells, which has been approved by the FDA for both companion and complementary diagnostic utility, does not necessarily reflect anti-tumor activity of tumor-infiltrating lymphocytes. Results presented in this report demonstrate that gene expression levels of four interferon gamma (IFNγ)-inducible mRNAs correlate with improved clinical outcomes in patients with NSCLC or UC treated with the PD-L1 inhibitor durvalumab. This IFNγ gene signature may augment the predictive value of PD-L1 and other biomarkers in identifying cancer patients most likely to respond to therapy with durvalumab or other immune checkpoint inhibitors.
GSE111360	200111360	Homo sapiens	35	2018/12/13	24676;20301	CSV, MTX, TSV, TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE111nnn/GSE111360/	Organoid modeling of the tumor immune microenvironment	The interaction of neoplastic cells with their tumor microenvironment (TME) is required for cancer progression. However, in vitro cancer models, including recent in vitro 3-dimensional (3D) organoid cultures of primary human tumors, are typically comprised exclusively of neoplastic epithelium, with stromal and/or immune interactions requiring artificial reconstitution. As relevant to cancer immunotherapy, the unified co-culture of primary tumor epithelia with their endogenous, syngeneic tumor-infiltrating lymphocytes (TILs) as a cohesive unit has remained particularly elusive. Here, we used a single 3D air-liquid interface (ALI) methodology to successfully propagate 3D Patient-Derived Tumor Organoids (PDOs) as primary tumor epithelia together with native immune and myofibroblast stromal compartments without reconstitution. Derived from >100 diverse human surgically resected tumor samples or from murine tumors in syngeneic immunocompetent mice, PDOs preserved cancer histologic subtypes and mutational spectrum with endogenous T, B, NK cells and macrophages integrally embedded amidst the tumor epithelium. PDO-based TILs accurately recapitulated the T cell receptor (TCR) spectrum of the original tumors, as determined by a robust droplet-based immune profiling solution that links gene expression and immune repertoire in single cells. Anti-PD-1 or anti-PD-L1 treatment of organoids from murine tumors from syngeneic immunocompetent hosts induced activation and cytolytic activity of tumor antigen-specific TILs, indicating successful PDO modeling of immune checkpoint blockade (ICB) and anti-tumor immunity. Crucially, the anti-PD-1 antibody nivolumab activated TILs in PDOs from human lung, renal and melanoma clinical tumor resections. The organoid-based propagation of primary tumor epithelium en bloc with its endogenous immune stroma should facilitate mechanistic investigation of TME-specific local tumor immunity, with applications for functional testing of individualized patient immunotherapy responses.
GSE111796	200111796	Mus musculus	18	2018/03/14	18635	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE111nnn/GSE111796/	Nuclear Receptor NR2F6 as an Alternative Cancer Immune Checkpoint in the T Cell Compartment	Analyzing mouse tumor models in vivo, human T cells ex vivo and human lung cancer samples, we provide direct evidence that NR2F6 acts as novel immune checkpoint. Genetic ablation of Nr2f6, particularly in combination with blockade of the established PD-L1 cancer immune checkpoint, efficiently delayed tumor progression and improved survival in experimental mouse models. The target genes deregulated in intratumoral T lymphocytes upon genetic ablation of Nr2f6 alone or together with PD-L1 blockade, revealed multiple advantageous transcriptional alterations for effective tumor rejection. In keeping with the above observation, acute Nr2f6 silencing in both mouse and human T cells induced hyper-responsiveness that established a non-redundant T cell-inhibitory function of NR2F6. Analyzing mouse tumor models in vivo, human T cells ex vivo and human lung cancer samples,
