accession	location	filename	listed_size	listed_bytes	status	stored_bytes	url
GSE100860	suppl	GSE100860_RAW.tar	1.6M	1677721	downloaded	1699840	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100860/suppl/GSE100860_RAW.tar
GSE100860	suppl	filelist.txt	1.0K	1024	downloaded	1056	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100860/suppl/filelist.txt
GSE100860	matrix	GSE100860_series_matrix.txt.gz	2.7K	2764	downloaded	2815	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100860/matrix/GSE100860_series_matrix.txt.gz
GSE101929	suppl	GSE101929_RAW.tar	327M	342884352	downloaded	343377920	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE101nnn/GSE101929/suppl/GSE101929_RAW.tar
GSE101929	suppl	filelist.txt	4.4K	4505	downloaded	4476	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE101nnn/GSE101929/suppl/filelist.txt
GSE101929	matrix	GSE101929_series_matrix.txt.gz	12M	12582912	downloaded	12233637	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE101nnn/GSE101929/matrix/GSE101929_series_matrix.txt.gz
GSE102286	suppl	GSE102286_RAW.tar	1.2M	1258291	downloaded	1290240	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE102nnn/GSE102286/suppl/GSE102286_RAW.tar
GSE102286	suppl	filelist.txt	14K	14336	downloaded	14782	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE102nnn/GSE102286/suppl/filelist.txt
GSE102286	matrix	GSE102286_series_matrix.txt.gz	153K	156672	downloaded	156628	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE102nnn/GSE102286/matrix/GSE102286_series_matrix.txt.gz
GSE106420	suppl	GSE106420_RAW.tar	1.2M	1258291	downloaded	1218560	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE106nnn/GSE106420/suppl/GSE106420_RAW.tar
GSE106420	suppl	filelist.txt	1.0K	1024	downloaded	997	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE106nnn/GSE106420/suppl/filelist.txt
GSE106420	matrix	GSE106420_series_matrix.txt.gz	3.3K	3379	downloaded	3420	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE106nnn/GSE106420/matrix/GSE106420_series_matrix.txt.gz
GSE108819	suppl	GSE108819_RAW.tar	22M	23068672	downloaded	23480320	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE108nnn/GSE108819/suppl/GSE108819_RAW.tar
GSE108819	suppl	filelist.txt	660	660	downloaded	660	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE108nnn/GSE108819/suppl/filelist.txt
GSE108819	matrix	GSE108819_series_matrix.txt.gz	2.3M	2411724	downloaded	2430525	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE108nnn/GSE108819/matrix/GSE108819_series_matrix.txt.gz
GSE109010	suppl	GSE109010_Non-normalized_data.txt.gz	1.6M	1677721	downloaded	1687285	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE109nnn/GSE109010/suppl/GSE109010_Non-normalized_data.txt.gz
GSE109010	suppl	GSE109010_RAW.tar	14M	14680064	downloaded	14561280	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE109nnn/GSE109010/suppl/GSE109010_RAW.tar
GSE109010	suppl	filelist.txt	1.0K	1024	downloaded	991	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE109nnn/GSE109010/suppl/filelist.txt
GSE109010	matrix	GSE109010_series_matrix.txt.gz	1.2M	1258291	downloaded	1278249	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE109nnn/GSE109010/matrix/GSE109010_series_matrix.txt.gz
GSE109020	suppl	GSE109020_BRG1_MinusDox_L012-L001_S_vs_L012-L001_G_macs1_peaks.bed.gz	3.2K	3276	downloaded	3290	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE109nnn/GSE109020/suppl/GSE109020_BRG1_MinusDox_L012-L001_S_vs_L012-L001_G_macs1_peaks.bed.gz
GSE109020	suppl	GSE109020_BRG1_MinusDox_L012-L001_S_vs_L012-L001_G_macs1_peaks.xls.gz	5.1K	5222	downloaded	5172	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE109nnn/GSE109020/suppl/GSE109020_BRG1_MinusDox_L012-L001_S_vs_L012-L001_G_macs1_peaks.xls.gz
