accession	taxon	is_human	is_lung	is_ici	likely_response_labels	status	submission_date	last_update_date	types	pubmed	n_samples	gpl	n_suppl_files	suppl_total_size	suppl_total_bytes	title
GSE100860	Homo sapiens	True	True	True	True	Public on Oct 05 2018	Jul 06 2017	Jul 25 2021	Expression profiling by high throughput sequencing	30282824	14	16791	3	1.6M	1681509	Monitoring Nivolumab binding as a method to clarify the residual therapeutic effects and to characterize the immune profile in antibody bound T cells in previously treated non-small cell lung cancer patients
GSE101929	Homo sapiens	True	True	True	True	Public on Jul 28 2017	Jul 26 2017	Jul 25 2021	Expression profiling by array	29196495	66	570	3	339.0M	355471769	Gene expression data from African Americans and European Americans with non-small cell lung cancer
GSE102286	Homo sapiens	True	True	True	True	Public on Aug 04 2017	Aug 04 2017	Jul 25 2021	Non-coding RNA profiling by array	29196495	179	23871	3	1.4M	1429299	MicroRNA expression data from African Americans and European Americans with non-small cell lung cancer
GSE106420	Homo sapiens	True	True	True	True	Public on Aug 09 2018	Nov 01 2017	May 15 2019	Expression profiling by high throughput sequencing	30111633	12	11154	3	1.2M	1262694	Human lymph nodes maintain a unique subset of resident memory T cells with high functional potential important for protective immunity and immunotherapies
GSE108819	Homo sapiens	True	True	True	True	Public on Jul 23 2018	Jan 05 2018	Oct 22 2018	Expression profiling by array	30224822	9	21827	3	24.3M	25481056	The mRNA and lncRNA profiles of the T cells activated by breast tumor-specific DCs pulsed by MDA-MB-231 lysates at day 0, day 1 and day 6
GSE109010	Homo sapiens	True	True	True	True	Public on Jun 17 2018	Jan 10 2018	Feb 01 2019	Expression profiling by array	29892061	12	23159	4	16.8M	17617100	Mutations in the SWI/SNF chromatin remodeling complex induce metabolic rewiring and dependence on oxidative phosphorylation [Affymetrix]
GSE109020	Homo sapiens	True	True	True	True	Public on Jun 17 2018	Jan 10 2018	Mar 27 2019	Genome binding/occupancy profiling by high throughput sequencing	29892061	4	11154	7	1.2G	1288718536	Mutations in the SWI/SNF chromatin remodeling complex induce metabolic rewiring and dependence on oxidative phosphorylation
GSE110390	Homo sapiens	True	True	True	True	Public on Feb 14 2018	Feb 08 2018	Mar 26 2019	Expression profiling by high throughput sequencing	29716923	159	18573	3	23.2K	23756	Interferon Gamma mRNA Signature in Tumor Biopsies Predicts Outcomes in Patients with Non–Small-Cell Lung Carcinoma or Urothelial Cancer Treated with Durvalumab
GSE111360	Homo sapiens	True	True	True	True	Public on Dec 13 2018	Mar 02 2018	Mar 21 2019	Expression profiling by high throughput sequencing; Other	30550791	35	24676;20301	5	744.0M	780160548	Organoid modeling of the tumor immune microenvironment
GSE111796	Mus musculus	False	True	True	True	Public on Mar 14 2018	Mar 13 2018	Feb 11 2019	Expression profiling by high throughput sequencing	29670099	18	18635	2	1.3M	1366527	Nuclear Receptor NR2F6 as an Alternative Cancer Immune Checkpoint in the T Cell Compartment
GSE112468	Mus musculus	False	False	True	True	Public on Mar 29 2018	Mar 28 2018	Mar 29 2018	Expression profiling by array		12	21581	2	4.1M	4299161	Tumor-independent host gene expression changes induced by PD-1 pathway inhibitors
GSE113972	Homo sapiens	True	True	True	False	Public on Oct 18 2018	May 02 2018	Mar 27 2019	Expression profiling by high throughput sequencing	30518613	7	11154	3	18.0M	18877588	Non-coding regions are the main source of tumor-specific antigens [human]
GSE113987	Mus musculus	False	True	True	True	Public on May 04 2018	May 03 2018	Aug 06 2018	Expression profiling by array		20	11180	3	44.9M	47082393	Inhaled TLR9 Agonist Renders Lung Tumors Permissive to PD-1 Blockade Promoting Optimal CD4+ and CD8+ T cell Interplay
