accession	location	filename	size	size_bytes	under_2gb
GSE72094	matrix	GSE72094_series_matrix.txt.gz	101M	105906176	True
GSE76340	suppl	GSE76340_RAW.tar	32M	33554432	True
GSE76340	suppl	GSE76340_non-normalized_data.txt.gz	42M	44040192	True
GSE76340	suppl	filelist.txt	342	342	True
GSE76340	matrix	GSE76340-GPL10558_series_matrix.txt.gz	14M	14680064	True
GSE76340	matrix	GSE76340-GPL6947_series_matrix.txt.gz	19M	19922944	True
GSE76356	suppl	GSE76356_RAW.tar	5.1M	5347737	True
GSE76356	suppl	filelist.txt	658	658	True
GSE76356	matrix	GSE76356_series_matrix.txt.gz	3.1K	3174	True
GSE78220	suppl	GSE78220_PatientFPKM.xlsx	6.8M	7130316	True
GSE78220	matrix	GSE78220_series_matrix.txt.gz	4.1K	4198	True
GSE81089	suppl	GSE81089_FPKM_cufflinks.tsv.gz	23M	24117248	True
GSE81089	suppl	GSE81089_readcounts_featurecounts.tsv.gz	10M	10485760	True
GSE81089	matrix	GSE81089_series_matrix.txt.gz	13K	13312	True
GSE81258	matrix	GSE81258-GPL16417_series_matrix.txt.gz	2.8K	2867	True
GSE81258	matrix	GSE81258-GPL16791_series_matrix.txt.gz	2.9K	2969	True
GSE81258	matrix	GSE81258-GPL17021_series_matrix.txt.gz	7.4K	7577	True
GSE84789	suppl	GSE84789_fcount_primary_output.txt.gz	4.6M	4823449	True
GSE84789	matrix	GSE84789_series_matrix.txt.gz	9.1K	9318	True
GSE84797	suppl	GSE84797_RAW.tar	270K	276480	True
GSE84797	suppl	filelist.txt	2.3K	2355	True
GSE84797	matrix	GSE84797_series_matrix.txt.gz	70K	71680	True
GSE85044	suppl	GSE85044_RAW.tar	66M	69206016	True
GSE85044	suppl	filelist.txt	1.1K	1126	True
GSE85044	matrix	GSE85044_series_matrix.txt.gz	2.5M	2621440	True
GSE85131	suppl	GSE85131_Clever_et_al_PHD_proteins_2016_FPKM_Exp1.txt.gz	1.3M	1363148	True
GSE85131	suppl	GSE85131_Clever_et_al_PHD_proteins_2016_FPKM_Exp2.txt.gz	567K	580608	True
GSE85131	matrix	GSE85131-GPL13112_series_matrix.txt.gz	2.8K	2867	True
GSE85131	matrix	GSE85131-GPL17021_series_matrix.txt.gz	3.0K	3072	True
GSE85507	suppl	GSE85507_RAW.tar	5.7G	6120328396	False
GSE85507	suppl	filelist.txt	19K	19456	True
GSE85507	matrix	GSE85507_series_matrix.txt.gz	13M	13631488	True
GSE85508	suppl	GSE85508_RAW.tar	416M	436207616	True
GSE85508	suppl	filelist.txt	1.2K	1228	True
GSE85508	matrix	GSE85508_series_matrix.txt.gz	9.8M	10276044	True
GSE87681	suppl	GSE87681_Ly6G_mouse_RNAseq_NormExpr_DESeq2.txt.gz	1.7M	1782579	True
GSE87681	suppl	GSE87681_Ly6G_mouse_RNAseq_RawCounts.txt.gz	772K	790528	True
GSE87681	suppl	GSE87681_RAW.tar	2.1M	2202009	True
GSE87681	suppl	filelist.txt	899	899	True
GSE87681	matrix	GSE87681_series_matrix.txt.gz	2.7K	2764	True
GSE87879	suppl	GSE87879_RAW.tar	146M	153092096	True
GSE87879	suppl	filelist.txt	525	525	True
GSE87879	matrix	GSE87879_series_matrix.txt.gz	1.7M	1782579	True
GSE89477	suppl	GSE89477_information_raw_data.xlsx	38K	38912	True
GSE89477	suppl	GSE89477_log_normalized_expr_plus1.txt.gz	25M	26214400	True
GSE89477	suppl	GSE89477_phenodata_samples.txt.gz	1.0K	1024	True
GSE89477	matrix	GSE89477_series_matrix.txt.gz	16K	16384	True
GSE90728	suppl	GSE90728_All_Counts.lung_cancer.xlsx.gz	6.8M	7130316	True
GSE90728	matrix	GSE90728_series_matrix.txt.gz	7.4K	7577	True
GSE90729	suppl	GSE90729_All_Counts.HNSCC.xlsx.gz	4.2M	4404019	True
GSE90729	matrix	GSE90729_series_matrix.txt.gz	6.0K	6144	True
GSE91061	suppl	GSE91061_BMS038109Sample.hg19KnownGene.fpkm.csv.gz	16M	16777216	True
GSE91061	suppl	GSE91061_BMS038109Sample.hg19KnownGene.raw.csv.gz	3.4M	3565158	True
GSE91061	suppl	GSE91061_BMS038109Sample.hg19KnownGene.rld.csv.gz	18M	18874368	True
GSE91061	suppl	GSE91061_BMS038109Sample_Cytolytic_Score_20161026.txt.gz	1.8K	1843	True
GSE91061	matrix	GSE91061_series_matrix.txt.gz	5.6K	5734	True
GSE93157	suppl	GSE93157_raw_data_values.txt.gz	83K	84992	True
GSE93157	matrix	GSE93157_series_matrix.txt.gz	239K	244736	True
GSE94609	suppl	GSE94609_RAW.tar	49M	51380224	True
GSE94609	suppl	filelist.txt	467	467	True
GSE94609	matrix	GSE94609_series_matrix.txt.gz	1.4M	1468006	True
GSE99254	suppl	GSE99254_NSCLC.TCell.S11769.norm.centered.txt.gz	342M	358612992	True
GSE99254	suppl	GSE99254_NSCLC.TCell.S12346.TPM.txt.gz	327M	342884352	True
GSE99254	suppl	GSE99254_NSCLC.TCell.S12346.count.txt.gz	68M	71303168	True
GSE99254	matrix	GSE99254-GPL16791_series_matrix.txt.gz	3.9K	3993	True
GSE99254	matrix	GSE99254-GPL20301_series_matrix.txt.gz	4.4K	4505	True
GSE99531	suppl	GSE99531_RAW.tar	4.6M	4823449	True
GSE99531	suppl	filelist.txt	2.6K	2662	True
GSE99531	matrix	GSE99531_series_matrix.txt.gz	4.9K	5017	True
