sample	cohort	CD274	HLA-C	CLDN4	HLA-B	HLA-A	ImmuneScore	StromalScore	ESTIMATEScore	MHC_I
TCGA-05-4244-01	TCGA-LUAD	8.034	14.289	13.9765	15.3859	14.6757	933.74	-470.99	462.76	14.783533333333333
TCGA-05-4249-01	TCGA-LUAD	6.1004	13.7838	13.9391	14.4197	14.1044	1033.35	-0.14	1033.21	14.102633333333335
TCGA-05-4250-01	TCGA-LUAD	8.6625	15.5582	14.8158	16.3368	15.5101	1184.84	263.1	1447.95	15.801699999999999
TCGA-05-4382-01	TCGA-LUAD	6.8858	15.4671	13.8596	15.6274	15.0146	1641.81	1205.42	2847.24	15.3697
TCGA-05-4384-01	TCGA-LUAD	5.0608	13.7032	12.5602	13.9401	13.6742	767.77	-75.43	692.34	13.7725
TCGA-05-4389-01	TCGA-LUAD	6.71	15.2719	13.0411	16.0701	15.8604	1456.58	-397.74	1058.84	15.734133333333334
TCGA-05-4390-01	TCGA-LUAD	5.8054	14.1858	13.6111	13.6537	13.477	76.91	124.48	201.39	13.772166666666669
TCGA-05-4395-01	TCGA-LUAD	5.9211	14.69	13.7728	14.8367	15.4951	854.14	-620.75	233.39	15.007266666666666
TCGA-05-4396-01	TCGA-LUAD	4.6149	15.2173	12.9442	15.769	15.497	-204.96	-714.18	-919.14	15.494433333333333
TCGA-05-4397-01	TCGA-LUAD	5.1835	16.0506	11.8123	16.2929	16.024	463.66	-688.16	-224.49	16.122500000000002
TCGA-05-4398-01	TCGA-LUAD	9.35	14.3463	14.5304	15.0031	14.7884	1514.83	362.65	1877.48	14.7126
TCGA-05-4402-01	TCGA-LUAD	5.5497	15.3631	13.6874	15.2778	15.0605	848.38	208.5	1056.88	15.233799999999997
TCGA-05-4403-01	TCGA-LUAD	5.5928	16.1029	13.6806	16.4891	16.4631	1327.2	92.1	1419.3	16.351700000000005
TCGA-05-4405-01	TCGA-LUAD	6.3312	13.5824	14.0004	13.6958	13.699	845.61	873.93	1719.54	13.659066666666666
TCGA-05-4410-01	TCGA-LUAD	6.7553	16.3913	13.7489	17.0579	16.3172	1449.18	-103.47	1345.71	16.588800000000003
TCGA-05-4415-01	TCGA-LUAD	6.0025	12.329	7.7377	13.0388	12.3088	52.89	-1124.07	-1071.18	12.558866666666667
