cohort	n_hiseqv2_primary	n_estimate_primary	n_joined	n_complete	genes_present	expr_sha256	estimate_sha256	expr_bytes	estimate_bytes
TCGA-LUAD	515	515	515	515	CLDN4,CD274,HLA-A,HLA-B,HLA-C	5432e5a67fc4c4fd6ca22f76f18494756f0e8409a8969df3157935f39947aa00	366690f98235ab85a7b0c8eea16f2ce055c4bd61466879a6dc0fda96dd05fda4	30884695	19985
TCGA-LUSC	502	501	501	501	CLDN4,CD274,HLA-A,HLA-B,HLA-C	baa2b486d38cb68be6921b72dd798dd71a08a560ce3d4b5e690aa8c2a77bfa0d	5844aaad93eba1081899c0900ff1ccd6eb315c0d0e9eb5fadad628608333cc35	30037912	19605
