cohort	predictor	endpoint	n_hiseqv2_primary	n_estimate_primary	n_joined	n	n_unadj	n_partial	rho_unadj	p_unadj	rho_unadj_ci95_lo	rho_unadj_ci95_hi	rho_partial_ImmuneScore	p_partial_ImmuneScore	rho_partial_ci95_lo	rho_partial_ci95_hi	rho_partial_residual	p_partial_residual	rho_CLDN4_vs_ImmuneScore	p_CLDN4_vs_ImmuneScore	rho_endpoint_vs_ImmuneScore	p_endpoint_vs_ImmuneScore	endpoint_in_Immune141
TCGA-LUAD	CLDN4	CD274	515	515	515	515	515	515	0.04462782588244787	0.31210771788354064	-0.04193688930608375	0.13052752203088736	0.11237648499970332	0.010783762550329605	0.026143489194736268	0.19694939854987506	0.11237648499970329	0.010783762550329605	-0.06462425880926838	0.14305044325865524	0.6411343805434466	5.7944730695570625e-61	False
TCGA-LUAD	CLDN4	HLA-A	515	515	515	515	515	515	0.05921746648822365	0.17967044272116778	-0.02732535296681425	0.14487918982821993	0.10869717973745094	0.013676674781944663	0.022420868758456395	0.1933664479963209	0.10869717973745098	0.013676674781944629	-0.06462425880926838	0.14305044325865524	0.5186924400239864	8.278047953165839e-37	False
TCGA-LUAD	CLDN4	HLA-B	515	515	515	515	515	515	0.03533215789138575	0.42364372277047113	-0.051227236306827344	0.12136466272877748	0.113834748138082	0.009796526665715814	0.0276195820566255	0.19836884743763689	0.11383474813808196	0.009796526665715838	-0.06462425880926838	0.14305044325865524	0.7031462452113919	5.272931219336222e-78	True
TCGA-LUAD	CLDN4	HLA-C	515	515	515	515	515	515	0.023407015194845452	0.596131632325267	-0.06312365584163358	0.1095883870902809	0.07634813989794753	0.08376569689053145	-0.010206341262086908	0.1617670586433962	0.0763481398979476	0.08376569689053118	-0.06462425880926838	0.14305044325865524	0.5898300059202608	1.3997968149954635e-49	False
TCGA-LUAD	CLDN4	MHC_I	515	515	515	515	515	515	0.04153295022426374	0.346885123485373	-0.04503165655928666	0.12747849195232963	0.10834698087333891	0.013984775681974754	0.02206667177475309	0.19302530249633407	0.10834698087333895	0.013984775681974733	-0.06462425880926838	0.14305044325865524	0.6411923500573324	5.609367309761976e-61	True
TCGA-LUSC	CLDN4	CD274	502	501	501	501	501	501	0.022966009725412292	0.6080685078039444	-0.06476724710150261	0.11034695599396188	0.02655549421974628	0.5535712675921731	-0.06127778898396068	0.11398065887813892	0.026555494219746283	0.553571267592173	-0.004218861887799659	0.9249538979874004	0.37960833931857474	1.2810355700464588e-18	False
TCGA-LUSC	CLDN4	HLA-A	502	501	501	501	501	501	0.03209462397215623	0.4735190128260491	-0.05566483460942144	0.11936197999533645	0.04554175693559645	0.30947548906027805	-0.04231783049618837	0.13270238652909058	0.04554175693559647	0.3094754890602778	-0.004218861887799659	0.9249538979874004	0.6446744264623743	3.430594207289261e-60	False
TCGA-LUSC	CLDN4	HLA-B	502	501	501	501	501	501	0.006767161169460043	0.8799023984430427	-0.08088374083018657	0.09431420174721525	0.015321885409470805	0.7325237397300967	-0.07246606656558988	0.10287425273788099	0.015321885409470801	0.7325237397300967	-0.004218861887799659	0.9249538979874004	0.7592974343532441	3.6577420206266054e-95	True
TCGA-LUSC	CLDN4	HLA-C	502	501	501	501	501	501	0.022842719519828195	0.609996340430596	-0.06489008358969225	0.11022510144204951	0.035310867686290666	0.4307876647583858	-0.05254241390435736	0.12262176552760633	0.03531086768629067	0.43078766475838576	-0.004218861887799659	0.9249538979874004	0.6848026991247209	1.3691456987754283e-70	False
TCGA-LUSC	CLDN4	MHC_I	502	501	501	501	501	501	0.018739561213722833	0.6756275206233743	-0.068976625869234	0.10616822335124675	0.031932613945426624	0.4761988475341344	-0.05591454503184395	0.11928916928961984	0.031932613945426624	0.4761988475341344	-0.004218861887799659	0.9249538979874004	0.7301233738160362	1.460445025348541e-84	True
