Cell_Line	Cancer_type	n_samples
30200	Ovarian carcinoma	4
402230	Sarcoma	16
4T07	Mammary carcinoma	6
4T1	Mammary carcinoma	182
5	Glioblastoma multiforme	3
60577	Ovarian carcinoma	5
6419c5	Pancreatic ductal adenocarcinoma	6
67NR	Mammary carcinoma	6
6DT1	Mammary carcinoma	23
A20	Follicular dendritic cell sarcoma (B lymphocyte)	30
AB1	Mesothelioma	72
B16	Melanoma	168
BBN963	Bladder carcinoma	4
BNL-MEA	Hepatocellular carcinoma	32
CMT-167	Lung carcinoma	3
CT-2A	Glioblastoma multiforme	3
CT26	Colorectal carcinoma	113
D2A1	Mammary carcinoma	4
D3UV2	Melanoma	6
D4M.3A.3	Melanoma	9
E0771	Mammary adenocarcinoma	26
EMT6	Mammary carcinoma	47
F311	Mammary carcinoma	4
GL261	Glioblastoma multiforme	40
HGS1	Ovarian carcinoma	3
HGS2	Ovarian carcinoma	4
HGS3	Ovarian carcinoma	4
HGS4	Ovarian carcinoma	5
HRM1	Mammary carcinoma	4
Hepa1-6	Hepatocellular carcinoma	8
KCP	Pancreatic ductal adenocarcinoma	11
KPB25L	Mammary cancer, NOS	59
KPC	Pancreatic ductal adenocarcinoma	8
LLC	Lung carcinoma	68
M6	Mammary adenocarcinoma	31
MB49	Bladder carcinoma	8
MC38	Colorectal carcinoma	45
MCA205	Sarcoma	8
MOC1	Head and neck squamous cell carcinoma	9
MOC2	Head and neck squamous cell carcinoma	6
MOC22	Head and neck squamous cell carcinoma	6
Met1	Mammary carcinoma	32
Mut3	Glioblastoma multiforme	3
Mvt1	Mammary carcinoma	32
NDL(UCD)	Mammary carcinoma	3
P815	Mastocytoma	2
Py230	Mammary adenocarcinoma	9
Py8119	Mammary adenocarcinoma	4
R3T	Mammary cancer, NOS	4
RM-1	Prostate carcinoma	2
Renca	Renal adenocarcinoma	87
T11	Mammary cancer, NOS	74
TSAE1	Mammary adenocarcinoma	4
UPPL1541	Bladder carcinoma	8
YTN16	Gastric adenocarcinoma	44
YTN2	Gastric adenocarcinoma	15
YUMM1.7	Melanoma	37
p53-2153F	Mammary cancer, NOS	4
p53-2224	Mammary cancer, NOS	1
p53-2225L	Mammary cancer, NOS	22
p53-2245	Mammary cancer, NOS	1
p53-2336R	Mammary cancer, NOS	21
p53-9263-3	Mammary cancer, NOS	5
p53-T1	Mammary cancer, NOS	1
p53-T12	Mammary cancer, NOS	1
p53-T2	Mammary cancer, NOS	1
p53-T6	Mammary cancer, NOS	1
p53-T7	Mammary cancer, NOS	1
