n	rho	p	contrast	q
7	-0.3571428571428572	0.431611352038328	CLDN4 vs Slingshot	0.4795681689314756
7	-0.6785714285714287	0.09375025395983135	CLDN4 vs DPT (companion)	0.24705193580193607
7	0.5	0.2531699951003227	CLDN4 vs AT2 score	0.3164624938754034
7	0.6071428571428572	0.14823116148116164	CLDN4 vs club score	0.24705193580193607
7	-0.8571428571428573	0.013697326615325618	CLDN4 vs basal score	0.06848663307662808
7	0.642857142857143	0.11939237342741109	CLDN4 vs barrier/keratin (no CLDN4)	0.24705193580193607
7	0.6071428571428572	0.14823116148116164	CLDN4 vs malignant-like score	0.24705193580193607
7	0.9285714285714288	0.0025194724037946887	CLDN4 vs TACSTD2 (comparator)	0.025194724037946887
7	-0.1785714285714286	0.7016579425162727	SFTPC vs Slingshot (control)	0.7016579425162727
7	-0.5	0.2531699951003227	AT2 score vs Slingshot (control)	0.3164624938754034
