subset	exposure	mediator	outcome	covariates	n	a	a_p	b	b_p	c	c_p	ab	sobel_p	thesis_signs	prop_mediated	boot_n	ab_ci_lo	ab_ci_hi	ab_boot_p	boot_frac_neg	qb_ci_lo	qb_ci_hi	qb_p
adc	expr	gene:XRCC6	IFN-rank	cohort+lib	56	-0.12048598233975771	0.05995198397865698	0.0291019684898447	0.09498855792880867	0.0015601827093454715	0.8404194116549578	-0.0035063792615196137	0.2022172194352565	1	-2.247415793366029	2000	-0.008548555957891904	6.837533782547423e-05	0.058	0.971	-0.010677790791965533	0.0007965304119904229	0.1363
adc	mean	gene:NHEJ1	IFNa	cohort+lib	56	-0.13248055501085976	0.009829695761221488	0.5531654415677281	0.07948311315576038	-0.016502305206439416	0.8815027860749498	-0.07328366471171993	0.13627717510987683	1	4.4408138011605605	2000	-0.22026632212450326	0.008169257320845407	0.082	0.959	-0.19402744308062328	0.00647730156818463	0.0747
adc	mean	gene:NHEJ1	IFN-rank	cohort	56	-0.14576148923452245	0.0013329838936847547	0.04428755425117181	0.10070386787529795	-0.005676195815566078	0.4950583015284345	-0.006455419862205509	0.13354269106438435	1	1.1372792750564613	2000	-0.017415168914633936	0.0009383984072320647	0.088	0.956	-0.01659508593645123	0.0009807735235771286	0.0891
adc	mean	gene:NHEJ1	IFNa	cohort+prolif	56	-0.14493419014879233	0.001667940727452176	0.5432824910943665	0.08363331518827591	-0.004552643180613214	0.9626944687683159	-0.0787402078687805	0.11887989360462999	1	17.295492913673648	2000	-0.22129541005502396	0.01599294051744258	0.106	0.947	-0.19825767159551638	0.007311233171564558	0.0737
adc	mean	gene:NHEJ1	IFN-rank	cohort+prolif	56	-0.14493419014879233	0.001667940727452176	0.044176748721026726	0.1050522318891937	-0.005483452294169008	0.5163757341133092	-0.006402721299288706	0.13916444062866792	1	1.1676442058404026	2000	-0.01702920104029133	0.0014476322969175592	0.111	0.9445	-0.01665199576850529	0.0010716784733393677	0.0942
adc	mean	gene:NHEJ1	IFNa	cohort+nmal	56	-0.11793264219570065	0.011851906535669037	0.5180437225968291	0.10819987268588105	0.01910561160990279	0.8532550904926977	-0.061094264978740646	0.16555178307904184	1	-3.1977131235659773	2000	-0.19094137295728195	0.011747129201855076	0.115	0.9425	-0.17025409149551374	0.011036822853448007	0.1034
adc	mean	gene:NHEJ1	IFNa	cohort	56	-0.14576148923452245	0.0013329838936847547	0.5465383547064349	0.07924746275620721	-0.009591702630808588	0.9204044449268348	-0.07966424450579562	0.1130586234826527	1	8.305537355788507	2000	-0.2210776614612005	0.017052456242924632	0.116	0.942	-0.19821508693020407	0.006373927270406278	0.0684
adc	mean	gene:NHEJ1	IFN-rank	cohort+lib	56	-0.13248055501085976	0.009829695761221488	0.04266898478450365	0.11608305467967546	-0.0016274089828741678	0.8639931538631427	-0.005652810786000974	0.16937179780502376	1	3.473503492660795	2000	-0.016572023842837773	0.0012782471908379587	0.125	0.9375	-0.015803418679960237	0.0011655017021942903	0.1097
adc	expr	NHEJ-catalytic	IFN-rank	cohort+lib	56	-0.08451446816675229	0.03752955800128037	0.04293687853788564	0.12029801821293701	0.0015601827093454715	0.8404194116549578	-0.003628787454369845	0.20373747469086267	1	-2.3258733945924805	2000	-0.01066366688336537	0.0007813542302137723	0.127	0.9365	-0.010968570227090807	0.0009119787948066049	0.1378
adc	mean	gene:NHEJ1	IFNa	cohort+krt	56	-0.16888348888318216	0.0009343903422970823	0.4672449307210371	0.12866917273198147	-0.10223002889858646	0.33046897528334296	-0.07890995406314949	0.15707283023046947	1	0.7718862541008299	2000	-0.21235903260074246	0.028618366643165267	0.13	0.935	-0.2093531146858696	0.019502998558597665	0.1167
