n	a	a_se	a_p	a_df	b	b_se	b_p	c	c_se	c_p	c_prime	c_prime_se	c_prime_p	ab	sobel_se	sobel_p	prop_mediated	df	boot_n	ab_ci_lo	ab_ci_hi	ab_boot_p	prop_ci_lo	prop_ci_hi	label	mediator	outcome	exposure	covariates
64	-0.01298069105164329	0.03488364222651201	0.7111412300619544	59	-0.7249473387196577	0.27575206869556557	0.010944733686745249	-0.16097800133685358	0.07749997951441234	0.04215168517517559	-0.17038831876947702	0.07397341027637555	0.024862165772057247	0.009410317432630877	0.025540870520113695	0.7125440349449559	-0.0584571640502566	58	5000	-0.05996966288824694	0.07779528602976418	0.7744	-1.3036471331388146	0.4005772406951532	primary: CLDN4% → NHEJ → IFN	NHEJ	IFN	cldn4_pct	cohort
64	-0.017222579718707276	0.03065082384326104	0.5763152449688291	59	-0.40018785917762556	0.32782086732485033	0.22711974121551462	-0.16097800133685358	0.07749997951441234	0.04215168517517559	-0.16787026864399646	0.07738622771312818	0.03417514211651911	0.006892267307145457	0.013503085891517129	0.6097560962447348	-0.04281496384542061	58	5000	-0.02855671731337957	0.043540478079672734	0.7068	-0.661264316958808	0.21332209442721536	sensitivity: CLDN4% → NHEJ-core → IFN	NHEJ-core	IFN	cldn4_pct	cohort
64	-0.022226458653381354	0.031945301462255986	0.489353925095015	58	-0.7297693213348068	0.3073555060772491	0.020969956058069266	-0.1544770753786917	0.07770792561848602	0.05154793504922692	-0.17069726302584726	0.07508736406586652	0.026793662277236698	0.016220187647154254	0.024293011060914752	0.5043318338384144	-0.10500061324563138	57	5000	-0.042685123609617064	0.0714226265624125	0.5676	-1.106449869035099	0.29244831650329844	sensitivity: CLDN4% → NHEJ → IFN, given proliferation	NHEJ	IFN	cldn4_pct	cohort+proliferation
64	-0.05380778215044879	0.05173258103435511	0.30253062080399795	59	1.1429082936183563	0.12717280427616712	1.39293501714212e-12	-0.16097800133685358	0.07749997951441234	0.04215168517517559	-0.09948064085589203	0.05099528186476431	0.055920015891838606	-0.06149736048095768	0.05952025863978392	0.30150222214815015	0.3820233818922359	58	5000	-0.18464282269569016	0.04819935595185013	0.2648	-0.8702453150920938	0.9171088553556945	parallel: CLDN4% → cGAS-STING → IFN	cGAS-STING	IFN	cldn4_pct	cohort
64	0.008483187739879716	0.07361358069178947	0.908646653864105	59	0.6931324784691122	0.10405103326430701	1.0830389710755759e-08	-0.16097800133685358	0.07749997951441234	0.04215168517517559	-0.1668579742803169	0.05884088791790365	0.006284794418458412	0.005879972943461614	0.051031598022694545	0.9082690035890582	-0.036526561981332535	58	5000	-0.10460339689225652	0.1016098516973823	0.9244	-2.299840892296294	0.47295526759111467	sensitivity: CLDN4% → cGAS-STING-core → IFN	cGAS-STING-core	IFN	cldn4_pct	cohort
64	-0.01298069105164329	0.03488364222651201	0.7111412300619544	59	-0.6558340997857512	0.41748697300048976	0.12164364392380243	-0.2725287315877237	0.11324699227740005	0.01925629128836434	-0.281041911418164	0.11199529811289492	0.014908024803409949	0.008513179830451433	0.023510975526899854	0.7172818933966769	-0.03123773328725578	58	5000	-0.06308976961692707	0.07702568277080295	0.8328	-0.5543938050966176	0.24137100537471382	secondary outcome: CLDN4% → NHEJ → APM	NHEJ	APM	cldn4_pct	cohort
64	-0.07882572593265891	0.03105327699342386	0.013795170580570185	59	-0.714671707166568	0.30293566856095744	0.021705418197146293	0.039955357898239174	0.07500132571972212	0.5962222525907203	-0.016379158222691537	0.07610112390961124	0.8303439322550971	0.05633451612093735	0.0325996519204395	0.08397547933859456	1.4099364662034477	58	5000	-0.00924166136726556	0.16275385345342053	0.0948	-8.337573237856047	9.566106328670042	sensitivity: CLDN4 expr → NHEJ → IFN	NHEJ	IFN	cldn4_expr	cohort
51	-0.12523194467249688	0.1923969598381091	0.5183468523612362	46	-9.608073956908983	6.045947155582319	0.11902276400876935	-0.262370099527972	0.2117095291815954	0.22152299279768764	0.7514526940915012	1.522356285045841	0.6239811729040713	1.2032377861808838	1.9976134043829954	0.5469493964646381	-4.586032434128811	45	5000	-71.24438403803008	75.93257019604296	0.9936	-123.56298857002069	110.15563366072764	LOO drop GSE123902: CLDN4% → NHEJ → IFN	NHEJ	IFN	cldn4_pct	cohort
43	0.004917113004604776	0.04707472543906262	0.9173589650000915	38	-0.642996487446976	0.28305954490412694	0.02901876799908735	-0.3169699864621405	0.08652002347006568	0.0007554995021577024	-0.31380830007179683	0.08215230176770472	0.0004936480814460302	-0.003161686390340717	0.030300866179430102	0.9168970736001699	0.009974718507672824	37	5000	-0.09223790641412592	0.06905014685734523	0.9128	-0.2627453216144514	0.27330677395181424	LOO drop GSE131907: CLDN4% → NHEJ → IFN	NHEJ	IFN	cldn4_pct	cohort
43	-0.019340746959254043	0.03854453078612739	0.6187196193440632	38	-0.7159665145315752	0.33478828121017207	0.03913901532439049	-0.04252311861603937	0.08320340479960606	0.6122558315893467	-0.05637044580489654	0.07981028005300352	0.4844222839602422	0.013847327188854279	0.02834604572049439	0.6251886344553444	-0.3256423244468053	37	5000	-0.07307187152606776	0.10509137182470535	0.732	-5.8938409435300665	6.203222564378821	LOO drop GSE205335: CLDN4% → NHEJ → IFN	NHEJ	IFN	cldn4_pct	cohort
55	-0.021458335902734577	0.03919356094945336	0.5864734536482709	50	-0.7237868569527313	0.3038272238493569	0.021133598346969658	-0.16860416498659506	0.08805132913873576	0.06124281374441318	-0.18413542648507925	0.08445479891241467	0.03406854001628084	0.015531261498476208	0.029107330983771575	0.5936280632742921	-0.09211671312930513	49	5000	-0.055061379386585035	0.09603008537830807	0.6452	-1.5042974803763802	0.3583393170913471	LOO drop GSE189357: CLDN4% → NHEJ → IFN	NHEJ	IFN	cldn4_pct	cohort
