module	split	cohort	n	n_q1	n_q4	logFC	se	t	df	p	ci_lo	ci_hi	median_q1	median_q4	r_rb	p_mw	fdr
NHEJ	q4q1	GSE123902+GSE131907+GSE205335+GSE189357	34	18.0	16.0	0.012921757568360892	0.0876256665253535	0.14746544112873738	29	0.8837851476927759	-0.16629285302092742	0.1921363681576492	4.019841926231997	4.12723864830061	0.13194444444444442	0.5232714856259304	0.9339330729440595
NHEJ-core	q4q1	GSE123902+GSE131907+GSE205335+GSE189357	34	18.0	16.0	0.006567329534710259	0.07853772253194059	0.0836200659121403	29	0.9339330729440595	-0.15406034861320814	0.16719500768262865	3.7982865022403267	3.872122489024039	0.125	0.5459717226765591	0.9339330729440595
cGAS-STING	q4q1	GSE123902+GSE131907+GSE205335+GSE189357	34	18.0	16.0	-0.26624583927205536	0.12942752031499516	-2.0571037645168326	29	0.048768952241297556	-0.530954840328016	-0.0015368382160946825	5.047806529465106	4.8223711203672845	-0.35416666666666663	0.08143575910498878	0.11379422189636096
cGAS-STING-core	q4q1	GSE123902+GSE131907+GSE205335+GSE189357	34	18.0	16.0	-0.24272964818932855	0.170435398539111	-1.4241739114637484	29	0.16506836109838005	-0.5913091773502192	0.10584988097156203	4.488398741173892	4.375270442277192	-0.2222222222222222	0.2771016672693848	0.2888696319221651
IFN	q4q1	GSE123902+GSE131907+GSE205335+GSE189357	34	18.0	16.0	-0.5843268615202205	0.17597500725087012	-3.3205105125366106	29	0.0024344294684935297	-0.9442361626242174	-0.22441756041622363	4.5231479692911005	4.04906284465814	-0.6736111111111112	0.0008698134558893509	0.017041006279454707
APM	q4q1	GSE123902+GSE131907+GSE205335+GSE189357	34	18.0	16.0	-0.7791349664224808	0.28216697151884335	-2.761255019425438	29	0.0098832037247188	-1.3562312206036333	-0.2020387122413282	7.05395979091754	6.278484758799956	-0.5138888888888888	0.011212963803094075	0.0345912130365158
proliferation	q4q1	GSE123902+GSE131907+GSE205335+GSE189357	34	18.0	16.0	0.2368162160840722	0.4398864889496374	0.5383575582181277	29	0.5944386782356256	-0.6628526702894059	1.1364851024575502	4.494764758465898	4.5660124311578905	0.13194444444444442	0.5232714856259304	0.8322141495298758
NHEJ	continuous	GSE123902+GSE131907+GSE205335+GSE189357	64			-0.01298069105164329	0.03488364222651201	-0.3721139830340824	59	0.7111412300619544	-0.08278269791777852	0.05682131581449194					0.8296647684056134
NHEJ-core	continuous	GSE123902+GSE131907+GSE205335+GSE189357	64			-0.017222579718707276	0.03065082384326104	-0.5618961436983976	59	0.5763152449688291	-0.07855473656367026	0.04410957712625572					0.8068413429563608
cGAS-STING	continuous	GSE123902+GSE131907+GSE205335+GSE189357	64			-0.05380778215044879	0.05173258103435511	-1.0401140069681727	59	0.30253062080399795	-0.1573244376967701	0.049708873395872516					0.7059047818759953
cGAS-STING-core	continuous	GSE123902+GSE131907+GSE205335+GSE189357	64			0.008483187739879716	0.07361358069178947	0.115239438975231	59	0.908646653864105	-0.1388172469889187	0.15578362246867813					0.908646653864105
IFN	continuous	GSE123902+GSE131907+GSE205335+GSE189357	64			-0.16097800133685358	0.07749997951441234	-2.077136050170403	59	0.04215168517517559	-0.31605510214712806	-0.0059009005265791					0.14753089811311457
