module	cohort	n	rho	p	level	I2	ci_lo	ci_hi	k
NHEJ	GSE123902	13	-0.0934065934065934	0.7615000227827017	cohort				
NHEJ	GSE131907	21	-0.1883116883116883	0.4136637589062404	cohort				
NHEJ	GSE205335	21	-0.014285714285714285	0.9509932422972027	cohort				
NHEJ	GSE189357	9	0.5833333333333334	0.09918581647988327	cohort				
NHEJ	GSE123902+GSE131907+GSE205335+GSE189357	64	-0.0036018178305122633	0.9808071167017245	DL	12.054663727568999	-0.2886145109123711	0.2819972541957286	4.0
NHEJ-core	GSE123902	13	0.15384615384615383	0.6157988686488813	cohort				
NHEJ-core	GSE131907	21	-0.14935064935064934	0.5181875885017935	cohort				
NHEJ-core	GSE205335	21	-0.14025974025974028	0.5442470998307317	cohort				
NHEJ-core	GSE189357	9	0.41666666666666663	0.26458604674749636	cohort				
NHEJ-core	GSE123902+GSE131907+GSE205335+GSE189357	64	-0.019945754285795647	0.88561895252171	DL	0.0	-0.2837460917092525	0.24666131078151926	4.0
cGAS-STING	GSE123902	13	-0.521978021978022	0.06729171199351022	cohort				
cGAS-STING	GSE131907	21	0.2792207792207792	0.22028859486514024	cohort				
cGAS-STING	GSE205335	21	-0.5103896103896104	0.018076642193560668	cohort				
cGAS-STING	GSE189357	9	0.13333333333333333	0.7323675052362973	cohort				
cGAS-STING	GSE123902+GSE131907+GSE205335+GSE189357	64	-0.18925571762350868	0.43664271587244174	DL	65.69218881432694	-0.5877678654616032	0.28316410490365845	4.0
cGAS-STING-core	GSE123902	13	-0.46703296703296704	0.10760914039913913	cohort				
cGAS-STING-core	GSE131907	21	0.34155844155844156	0.12967786415595978	cohort				
cGAS-STING-core	GSE205335	21	-0.3506493506493506	0.11912829331739896	cohort				
cGAS-STING-core	GSE189357	9	0.5499999999999999	0.12497678418833194	cohort				
cGAS-STING-core	GSE123902+GSE131907+GSE205335+GSE189357	64	-0.004879808900003582	0.9848368697023384	DL	68.43759221229732	-0.4684900431924644	0.4608376882947623	4.0
IFN	GSE123902	13	-0.5494505494505494	0.05177062555916278	cohort				
IFN	GSE131907	21	0.016883116883116882	0.9420962008546323	cohort				
IFN	GSE205335	21	-0.4753246753246753	0.02943042122641138	cohort				
IFN	GSE189357	9	-0.31666666666666665	0.406397014486386	cohort				
IFN	GSE123902+GSE131907+GSE205335+GSE189357	64	-0.32370741147461174	0.03026911954083896	DL	17.172724512832122	-0.5645955474883667	-0.03200135809387745	4.0
APM	GSE123902	13	-0.5164835164835164	0.0707490406749638	cohort				
APM	GSE131907	21	0.0012987012987012987	0.9955422850919049	cohort				
APM	GSE205335	21	-0.551948051948052	0.00948241340899865	cohort				
APM	GSE189357	9	0.049999999999999996	0.8983528043506303	cohort				
APM	GSE123902+GSE131907+GSE205335+GSE189357	64	-0.3026002827428879	0.08929140466195869	DL	39.334214636128564	-0.5867632538242682	0.04791966927151533	4.0
proliferation	GSE123902	13	-0.17032967032967034	0.5779754288392673	cohort				
proliferation	GSE131907	21	-0.06103896103896104	0.7926796536257745	cohort				
proliferation	GSE205335	21	0.03636363636363636	0.8756496301383223	cohort				
proliferation	GSE189357	9	0.31666666666666665	0.406397014486386	cohort				
proliferation	GSE123902+GSE131907+GSE205335+GSE189357	64	-0.003801307708624241	0.978131325232299	DL	0.0	-0.2688320132665444	0.26176450117478745	4.0
