module	gene	in_logcpm
NHEJ	DCLRE1C	True
NHEJ	FEN1	True
NHEJ	LIG4	True
NHEJ	MRE11	True
NHEJ	NHEJ1	True
NHEJ	POLL	True
NHEJ	POLM	True
NHEJ	PRKDC	True
NHEJ	RAD50	True
NHEJ	XRCC4	True
NHEJ	XRCC5	True
NHEJ	XRCC6	True
NHEJ	DNTT	False
NHEJ-core	XRCC4	True
NHEJ-core	XRCC5	True
NHEJ-core	XRCC6	True
NHEJ-core	PRKDC	True
NHEJ-core	LIG4	True
NHEJ-core	NHEJ1	True
NHEJ-core	DCLRE1C	True
NHEJ-core	POLL	True
NHEJ-core	POLM	True
NHEJ-core	APLF	True
NHEJ-core	PNKP	True
NHEJ-core	PAXX	False
cGAS-STING	CGAS	True
cGAS-STING	STING1	True
cGAS-STING	TBK1	True
cGAS-STING	IKBKE	True
cGAS-STING	IRF3	True
cGAS-STING	IFI16	True
cGAS-STING	DDX41	True
cGAS-STING	TRIM56	True
cGAS-STING	DHX9	True
cGAS-STING	DHX36	True
cGAS-STING	PQBP1	True
cGAS-STING-core	CGAS	True
cGAS-STING-core	STING1	True
cGAS-STING-core	TBK1	True
cGAS-STING-core	IRF3	True
cGAS-STING-neg	ENPP1	True
cGAS-STING-neg	NLRC3	True
cGAS-STING-neg	TREX1	False
cGAS-STING-neg	NLRP4	False
IFN	ADAR	True
IFN	APOL6	True
IFN	ARID5B	True
IFN	ARL4A	True
IFN	AUTS2	True
IFN	B2M	True
IFN	BANK1	True
IFN	BATF2	True
IFN	BPGM	True
IFN	BST2	True
IFN	BTG1	True
IFN	C1R	True
IFN	C1S	True
IFN	CASP1	True
IFN	CASP3	True
IFN	CASP4	True
IFN	CASP7	True
IFN	CASP8	True
IFN	CCL2	True
IFN	CCL5	True
IFN	CCL7	True
IFN	CCRL2	True
IFN	CD274	True
IFN	CD38	True
IFN	CD40	True
IFN	CD47	True
IFN	CD69	True
IFN	CD74	True
IFN	CD86	True
IFN	CDKN1A	True
IFN	CFB	True
IFN	CFH	True
IFN	CIITA	True
IFN	CMKLR1	True
IFN	CMPK2	True
IFN	CMTR1	True
IFN	CNP	True
IFN	CSF1	True
IFN	CSF2RB	True
IFN	CXCL10	True
IFN	CXCL11	True
IFN	CXCL9	True
IFN	DDX58	True
IFN	DDX60	True
IFN	DHX58	True
IFN	EIF2AK2	True
IFN	EIF4E3	True
IFN	ELF1	True
IFN	EPSTI1	True
IFN	FAS	True
IFN	FCGR1A	True
IFN	FGL2	True
IFN	FPR1	True
IFN	GBP2	True
IFN	GBP4	True
IFN	GBP6	True
IFN	GCH1	True
IFN	GMPR	True
IFN	GPR18	True
IFN	GZMA	True
IFN	HELZ2	True
IFN	HERC6	True
IFN	HIF1A	True
IFN	HLA-A	True
IFN	HLA-B	True
