dataset,gene,found,row_name
GSE126044,TACSTD2,True,TACSTD2
GSE126044,CLDN4,True,CLDN4
GSE126044,CLDN1,True,CLDN1
GSE126044,CLDN4,True,CLDN4
GSE126044,CLDN7,True,CLDN7
GSE126044,F11R,True,F11R
GSE126044,PARD3,True,PARD3
GSE126044,CLDN1,True,CLDN1
GSE126044,CLDN3,True,CLDN3
GSE126044,CLDN4,True,CLDN4
GSE126044,CLDN7,True,CLDN7
GSE126044,OCLN,True,OCLN
GSE126044,TJP1,True,TJP1
GSE126044,TJP2,True,TJP2
GSE126044,TJP3,True,TJP3
GSE126044,F11R,True,F11R
GSE126044,JAM2,True,JAM2
GSE126044,JAM3,True,JAM3
GSE126044,MARVELD2,True,MARVELD2
GSE126044,MARVELD3,True,MARVELD3
GSE126044,CGN,True,CGN
GSE126044,CGNL1,True,CGNL1
GSE126044,CD8A,True,CD8A
GSE126044,CD8B,True,CD8B
GSE135222,TACSTD2,True,ENSG00000184292
GSE135222,CLDN4,True,ENSG00000189143
GSE135222,CLDN1,True,ENSG00000163347
GSE135222,CLDN4,True,ENSG00000189143
GSE135222,CLDN7,True,ENSG00000181885
GSE135222,F11R,True,ENSG00000158769
GSE135222,PARD3,True,ENSG00000148498
GSE135222,CLDN1,True,ENSG00000163347
GSE135222,CLDN3,True,ENSG00000165215
GSE135222,CLDN4,True,ENSG00000189143
GSE135222,CLDN7,True,ENSG00000181885
GSE135222,OCLN,True,ENSG00000197822
GSE135222,TJP1,True,ENSG00000104067
GSE135222,TJP2,True,ENSG00000119139
GSE135222,TJP3,True,ENSG00000105289
GSE135222,F11R,True,ENSG00000158769
GSE135222,JAM2,True,ENSG00000154721
GSE135222,JAM3,True,ENSG00000166086
GSE135222,MARVELD2,True,ENSG00000152939
GSE135222,MARVELD3,True,ENSG00000140832
GSE135222,CGN,True,ENSG00000143375
GSE135222,CGNL1,True,ENSG00000128849
GSE135222,CD8A,True,ENSG00000153563
GSE135222,CD8B,True,ENSG00000172116
GSE166449,TACSTD2,True,TACSTD2
GSE166449,CLDN4,True,CLDN4
GSE166449,CLDN1,True,CLDN1
GSE166449,CLDN4,True,CLDN4
GSE166449,CLDN7,True,CLDN7
GSE166449,F11R,True,F11R
GSE166449,PARD3,True,PARD3
GSE166449,CLDN1,True,CLDN1
GSE166449,CLDN3,True,CLDN3
GSE166449,CLDN4,True,CLDN4
GSE166449,CLDN7,True,CLDN7
GSE166449,OCLN,True,OCLN
GSE166449,TJP1,True,TJP1
GSE166449,TJP2,True,TJP2
GSE166449,TJP3,True,TJP3
GSE166449,F11R,True,F11R
GSE166449,JAM2,True,JAM2
GSE166449,JAM3,True,JAM3
GSE166449,MARVELD2,True,MARVELD2
GSE166449,MARVELD3,True,MARVELD3
GSE166449,CGN,True,CGN
GSE166449,CGNL1,True,CGNL1
GSE166449,CD8A,True,CD8A
GSE166449,CD8B,True,CD8B
GSE190265,TACSTD2,True,TACSTD2
GSE190265,CLDN4,True,CLDN4
GSE190265,CLDN1,True,CLDN1
GSE190265,CLDN4,True,CLDN4
GSE190265,CLDN7,True,CLDN7
GSE190265,F11R,True,F11R
GSE190265,PARD3,True,PARD3
GSE190265,CLDN1,True,CLDN1
GSE190265,CLDN3,True,CLDN3
GSE190265,CLDN4,True,CLDN4
GSE190265,CLDN7,True,CLDN7
GSE190265,OCLN,True,OCLN
GSE190265,TJP1,True,TJP1
GSE190265,TJP2,True,TJP2
GSE190265,TJP3,True,TJP3
GSE190265,F11R,True,F11R
GSE190265,JAM2,True,JAM2
GSE190265,JAM3,True,JAM3
GSE190265,MARVELD2,True,MARVELD2
GSE190265,MARVELD3,True,MARVELD3
GSE190265,CGN,True,CGN
GSE190265,CGNL1,True,CGNL1
GSE190265,CD8A,True,CD8A
GSE190265,CD8B,True,CD8B
GSE207422,TACSTD2,True,TACSTD2
GSE207422,CLDN4,True,CLDN4
GSE207422,CLDN1,True,CLDN1
GSE207422,CLDN4,True,CLDN4
GSE207422,CLDN7,True,CLDN7
GSE207422,F11R,True,F11R
GSE207422,PARD3,True,PARD3
GSE207422,CLDN1,True,CLDN1
GSE207422,CLDN3,True,CLDN3
GSE207422,CLDN4,True,CLDN4
GSE207422,CLDN7,True,CLDN7
GSE207422,OCLN,True,OCLN
GSE207422,TJP1,True,TJP1
GSE207422,TJP2,True,TJP2
GSE207422,TJP3,True,TJP3
GSE207422,F11R,True,F11R
GSE207422,JAM2,True,JAM2
GSE207422,JAM3,True,JAM3
GSE207422,MARVELD2,True,MARVELD2
GSE207422,MARVELD3,True,MARVELD3
GSE207422,CGN,True,CGN
GSE207422,CGNL1,True,CGNL1
GSE207422,CD8A,True,CD8A
GSE207422,CD8B,True,CD8B
