dataset,feature,unit,spearman_vs_ESTIMATEScore,p_vs_ESTIMATEScore,n_vs_score,spearman_vs_TumorPurity,p_vs_TumorPurity,n_vs_purity,spearman_vs_ImmuneScore,p_vs_ImmuneScore,n_purity_OOB
GSE126044,TACSTD2,log2CPM,-0.22647058823529412,0.39898292664128926,16,-0.3939393939393939,0.25999776683488757,10,-0.23823529411764705,0.37425412972798855,6
GSE126044,CLDN4,log2CPM,-0.4647058823529412,0.06974367557375588,16,-0.0303030303030303,0.9337729580941466,10,-0.5235294117647059,0.037412648130149384,6
GSE126044,TJ_5,log2CPM,-0.4176470588235294,0.10747407939930048,16,-0.1515151515151515,0.6760651759978539,10,-0.34705882352941175,0.18783442010629955,6
GSE126044,TJ_structural,log2CPM,-0.28529411764705886,0.284138740159563,16,-0.22424242424242422,0.5334005612725947,10,-0.28823529411764703,0.2789844597370832,6
GSE126044,CD8,log2CPM,0.8029411764705883,0.0001805167946798431,16,-0.4787878787878787,0.16152292801745594,10,0.85,3.0522600677849776e-05,6
GSE135222,TACSTD2,log2(TPM+1),-0.24542124542124538,0.21724737458064952,27,,,0,-0.24236874236874237,0.22320307469992504,27
GSE135222,CLDN4,log2(TPM+1),-0.41941391941391937,0.02942396010125398,27,,,0,-0.29975579975579975,0.12874951617387345,27
GSE135222,TJ_5,log2(TPM+1),-0.5103785103785102,0.006527821310185967,27,,,0,-0.5085470085470085,0.006756156618366496,27
GSE135222,TJ_structural,log2(TPM+1),-0.22466422466422467,0.25990010494307125,27,,,0,-0.41941391941391937,0.02942396010125398,27
GSE135222,CD8,log2(TPM+1),0.4487179487179487,0.018891008730382654,27,,,0,0.717948717948718,2.4842816374372282e-05,27
GSE166449,TACSTD2,log2(TPM+1),0.032185206098249576,0.8869328238311865,22,-0.10303030303030303,0.7769984634438898,10,0.08074534161490683,0.7209375060406075,12
GSE166449,CLDN4,log2(TPM+1),-0.2241671372106155,0.3159085603715583,22,-0.17575757575757575,0.6271883447764846,10,-0.21852060982495766,0.3285693596146497,12
GSE166449,TJ_5,log2(TPM+1),-0.07396950875211745,0.7435587990333695,22,-0.33333333333333326,0.3465935070873343,10,-0.18012422360248448,0.4224751715621319,12
GSE166449,TJ_structural,log2(TPM+1),0.11914172783738003,0.5974355927153715,22,-0.3696969696969697,0.29305007529282234,10,-0.13043478260869568,0.5628843446021313,12
GSE166449,CD8,log2(TPM+1),0.7673630717108978,3.0770414907431856e-05,22,-0.35757575757575755,0.31037609170568026,10,0.7752682100508189,2.2569555621554798e-05,12
GSE190265,TACSTD2,log2(TPM+1),-0.0640289942615524,0.6833375566931724,43,,,1,0.07112654787073391,0.6503765935367881,42
GSE190265,CLDN4,log2(TPM+1),0.12549078828148594,0.4226531377960593,43,,,1,0.21745696164300818,0.1612831899220322,42
GSE190265,TJ_5,log2(TPM+1),-0.1508607671398369,0.33421874214246167,43,,,1,0.000453035336756267,0.9976995350852984,42
GSE190265,TJ_structural,log2(TPM+1),0.04469948655995167,0.7759359215006756,43,,,1,0.09136212624584718,0.5601164646629594,42
GSE190265,CD8,log2(TPM+1),0.6206063356256013,9.014069577704531e-06,43,,,1,0.5395854574012102,0.0001884743988604667,42
GSE207422,TACSTD2,log2TPM,-0.5330434782608695,0.007317778070940245,24,,,0,-0.6286956521739131,0.0010003492233837037,24
GSE207422,CLDN4,log2TPM,-0.34521739130434775,0.09849909879561221,24,,,0,-0.5278260869565217,0.0080271299210726,24
GSE207422,TJ_5,log2TPM,-0.5095652173913043,0.010975435304819004,24,,,0,-0.6234782608695651,0.0011336973606633715,24
GSE207422,TJ_structural,log2TPM,-0.23652173913043475,0.265820294159618,24,,,0,-0.6208695652173912,0.0012059039024496885,24
GSE207422,CD8,log2TPM,0.4504347826086956,0.027187078784635617,24,,,0,0.8617391304347826,6.326162243897688e-08,24
