n_a	n_b	mean_a	mean_b	median_a	median_b	log2fc	welch_p	mwu_p	feature	design	group_a	group_b	n	cliff_delta	note
8	8	-3.09246197887016	-0.9992444154050555	-3.10353781011983	-0.8765343602647475	2.093217563465105	0.000630978729467418	0.0006216006216006216	Tacstd2	Poly I:C + anti-PD-1 vs vehicle	vehicle	polyIC_aPD1	8/8	0.9375	primary contrast; no aPD-1 monotherapy arm; Poly I:C on every treated sample
8	8	-3.09246197887016	-0.516358806299754	-3.10353781011983	-0.4556330734072423	2.576103172570406	0.0009744361953293064	0.0018648018648018648	Tacstd2	Poly I:C + anti-PD-1 + C5aR1i vs vehicle	vehicle	triplet	8/8	0.875	triple combo; still no aPD-1 monotherapy
8	8	-3.083329046096444	-3.854541246406955	-3.10939981550434	-4.21903078062692	-0.7712122003105111	0.23776200222522692	0.2786324786324786	Cldn4	Poly I:C + anti-PD-1 vs vehicle	vehicle	polyIC_aPD1	8/8	-0.34375	primary contrast; no aPD-1 monotherapy arm; Poly I:C on every treated sample
8	8	-3.083329046096444	-2.4974881080280857	-3.10939981550434	-1.9851042966772399	0.5858409380683582	0.3574400818475832	0.1605283605283605	Cldn4	Poly I:C + anti-PD-1 + C5aR1i vs vehicle	vehicle	triplet	8/8	0.4375	triple combo; still no aPD-1 monotherapy
8	8	-0.8072652041241558	-0.6227449885655688	-0.714654188947795	-0.4862081961252495	0.184520215558587	0.7466231444663604	0.5737373737373737	Ifng	Poly I:C + anti-PD-1 vs vehicle	vehicle	polyIC_aPD1	8/8	0.1875	primary contrast; no aPD-1 monotherapy arm; Poly I:C on every treated sample
8	8	-0.8072652041241558	1.3167677746124844	-0.714654188947795	1.2898124403333049	2.1240329787366403	0.00021328843517664261	0.0006216006216006216	Ifng	Poly I:C + anti-PD-1 + C5aR1i vs vehicle	vehicle	triplet	8/8	0.9375	triple combo; still no aPD-1 monotherapy
8	8	5.78680430471201	6.217344356100976	5.96411950011627	6.33521177270545	0.43054005138896567	0.14305163941656446	0.19487179487179485	Stat1	Poly I:C + anti-PD-1 vs vehicle	vehicle	polyIC_aPD1	8/8	0.40625	primary contrast; no aPD-1 monotherapy arm; Poly I:C on every treated sample
8	8	5.78680430471201	7.1060223368494935	5.96411950011627	7.1494896109737045	1.3192180321374831	0.00038058888367023964	0.0018648018648018648	Stat1	Poly I:C + anti-PD-1 + C5aR1i vs vehicle	vehicle	triplet	8/8	0.875	triple combo; still no aPD-1 monotherapy
8	8	6.595455927310745	7.097771412371004	6.818180252900535	7.445209147481695	0.5023154850602589	0.26543263326675626	0.2786324786324786	Cxcl9	Poly I:C + anti-PD-1 vs vehicle	vehicle	polyIC_aPD1	8/8	0.34375	primary contrast; no aPD-1 monotherapy arm; Poly I:C on every treated sample
8	8	6.595455927310745	7.674403930402005	6.818180252900535	7.76111067225542	1.0789480030912602	0.023653835052474956	0.037917637917637914	Cxcl9	Poly I:C + anti-PD-1 + C5aR1i vs vehicle	vehicle	triplet	8/8	0.625	triple combo; still no aPD-1 monotherapy
8	8	5.244923374181721	6.667939090925577	5.5681522169709	6.724688575650974	1.4230157167438557	0.0015617422293245737	0.004662004662004662	Cxcl10	Poly I:C + anti-PD-1 vs vehicle	vehicle	polyIC_aPD1	8/8	0.8125	primary contrast; no aPD-1 monotherapy arm; Poly I:C on every treated sample
8	8	5.244923374181721	6.534147154821898	5.5681522169709	6.533955336803116	1.2892237806401772	0.005760718079567229	0.006993006993006993	Cxcl10	Poly I:C + anti-PD-1 + C5aR1i vs vehicle	vehicle	triplet	8/8	0.78125	triple combo; still no aPD-1 monotherapy
8	8	-0.5953203341818905	-0.16608454853690113	-0.46884817675457097	0.2016979228574005	0.4292357856449893	0.5612671443120044	0.5737373737373737	Ido1	Poly I:C + anti-PD-1 vs vehicle	vehicle	polyIC_aPD1	8/8	0.1875	primary contrast; no aPD-1 monotherapy arm; Poly I:C on every treated sample
8	8	-0.5953203341818905	0.9593526336253192	-0.46884817675457097	0.9411689768165685	1.5546729678072095	0.035614053408465	0.06495726495726495	Ido1	Poly I:C + anti-PD-1 + C5aR1i vs vehicle	vehicle	triplet	8/8	0.5625	triple combo; still no aPD-1 monotherapy
8	8	8.85949720903247	7.242837345078691	8.850370243442844	7.155613088752466	-1.61665986395378	8.689960977188535e-07	0.0001554001554001554	H2-Aa	Poly I:C + anti-PD-1 vs vehicle	vehicle	polyIC_aPD1	8/8	-1.0	primary contrast; no aPD-1 monotherapy arm; Poly I:C on every treated sample
8	8	8.85949720903247	6.935535343001179	8.850370243442844	7.150482467960716	-1.9239618660312914	3.878747297307957e-05	0.0001554001554001554	H2-Aa	Poly I:C + anti-PD-1 + C5aR1i vs vehicle	vehicle	triplet	8/8	-1.0	triple combo; still no aPD-1 monotherapy
8	8	9.588559100106377	10.153914289715097	9.65284906776842	10.18327615012485	0.5653551896087201	0.002567657295240496	0.0029526029526029526	H2-K1	Poly I:C + anti-PD-1 vs vehicle	vehicle	polyIC_aPD1	8/8	0.84375	primary contrast; no aPD-1 monotherapy arm; Poly I:C on every treated sample
8	8	9.588559100106377	10.841251983558788	9.65284906776842	10.83725620346745	1.2526928834524114	0.0010934155988270573	0.0006216006216006216	H2-K1	Poly I:C + anti-PD-1 + C5aR1i vs vehicle	vehicle	triplet	8/8	0.9375	triple combo; still no aPD-1 monotherapy
8	8	11.024656332327712	11.395457542579562	11.08273728208485	11.4330074802294	0.37080121025184987	0.00510707011561217	0.006993006993006993	H2-D1	Poly I:C + anti-PD-1 vs vehicle	vehicle	polyIC_aPD1	8/8	0.78125	primary contrast; no aPD-1 monotherapy arm; Poly I:C on every treated sample
