subset	n	gene	axis	covariate	rho	p
all_24	24	Cldn4	IFN	Cd8a	0.04	0.8527804394339903
all_24	24	Cldn4	MHC	Cd8a	0.23391304347826083	0.27128359982868233
primary_16	16	Cldn4	IFN	Cd8a	0.13823529411764704	0.6096659407501827
primary_16	16	Cldn4	MHC	Cd8a	-0.08823529411764705	0.7452220943671326
