gene	found	ensembl	symbol_on_matrix	gene_type
Tacstd2	True	ENSMUSG00000051397	Tacstd2	protein_coding
Cldn4	True	ENSMUSG00000047501	Cldn4	protein_coding
Ifng	True	ENSMUSG00000055170	Ifng	protein_coding
Stat1	True	ENSMUSG00000026104	Stat1	protein_coding
Cxcl9	True	ENSMUSG00000029417	Cxcl9	protein_coding
Cxcl10	True	ENSMUSG00000034855	Cxcl10	protein_coding
Ido1	True	ENSMUSG00000031551	Ido1	protein_coding
H2-Aa	True	ENSMUSG00000036594	H2-Aa	protein_coding
H2-K1	True	ENSMUSG00000061232	H2-K1	protein_coding
H2-D1	True	ENSMUSG00000073411	H2-D1	protein_coding
H2-Q4	True	ENSMUSG00000035929	H2-Q4	protein_coding
B2m	True	ENSMUSG00000060802	B2m	protein_coding
Tap1	True	ENSMUSG00000037321	Tap1	protein_coding
Tap2	True	ENSMUSG00000024339	Tap2	protein_coding
Cd8a	True	ENSMUSG00000053977	Cd8a	protein_coding
Cd274	True	ENSMUSG00000016496	Cd274	protein_coding
Ptprc	True	ENSMUSG00000026395	Ptprc	protein_coding
