	Tacstd2	Cldn4	Ifng	Stat1	Cxcl9	Cxcl10	Ido1	H2-Aa	H2-K1	H2-D1	H2-Q4	B2m	Tap1	Tap2	Cd8a	Cd274	Ptprc	arm	arm_label	IFN	MHC
C_339_S25	-3.45890526188861	-1.87394276116745	0.0005263567486876	6.45148762962622	7.70327623557698	6.32518424439162	1.67037775505636	9.44817317240788	10.0856970031967	11.4381681053802	6.51980519721775	11.1646142899603	7.04326353893076	7.00223308241904	3.34414952273537	5.68829966305362	7.38318313054111	vehicle	vehicle	0.6573869961259864	-0.1251845501798518
C_351_S29	-2.77966153385733	-3.51662712802353	-0.0571955093862345	6.18091967749615	7.43441468854386	5.61865462954288	0.781053420617153	9.22813664682681	9.93822905012996	11.2162292511117	6.68753641768054	10.8937579703501	7.00856739020938	6.99083718703557	3.43368574787612	5.6305777969187	7.51196964904358	vehicle	vehicle	0.27139723810046434	-0.34243618160531947
C_356_S27	-5.15742511598652	-3.57246261526537	0.334427980343151	6.42047572090045	7.17824437095958	5.51764980439892	0.457284728128685	9.16795061676793	9.75672640026024	11.1229288185861	6.54518048612372	10.8313705021015	6.71486499430157	6.97603823053691	2.95631705006266	5.37493080930232	7.38149128647759	vehicle	vehicle	0.25905294449067046	-0.5562010572697221
C_358_S26	-3.42741408638233	-3.42741408638233	-1.55294496846619	5.1958577712363	5.72487075592425	4.67587372202969	-2.20502166504588	8.15394343816349	9.25799174840381	10.7771825289528	5.65739430142203	10.3813825417588	6.04358364734881	6.45165856508643	1.43056690874524	4.80300670871005	6.62560671667437	vehicle	vehicle	-1.1567690286141408	-1.572645752520005
C_361_S32	-2.59697658517942	-4.91890468006678	-0.6709771666232	5.74731932273639	6.86777335382387	5.6930422617532	0.125489439291668	8.80400955536973	9.65752061611749	11.1143247216587	6.11932845466499	10.8123878305851	6.84306201531531	6.83305773339407	2.11451832147067	5.4242810353811	7.2767751054292	vehicle	vehicle	-0.14393460839534444	-0.7053490963322515
C_364_S28	-3.52835113879256	-2.79138554462635	-2.30595871745611	5.16164683262689	5.32027180163678	4.08390305359634	-2.79138554462635	8.6125851157271	9.06215794235758	10.6137293199049	5.65735025340304	10.1535094950515	5.93721526601684	6.6700939026598	1.22653636337091	4.20183592274259	6.74660933334804	vehicle	vehicle	-1.4272386528824983	-1.6931064857043865
C_369_S30	-2.34329371199355	-1.98072363260884	-0.75833121127239	6.20304957499688	6.7685871519772	5.70188087535305	-1.06318579280081	8.89673093151596	9.64817751941935	11.051149842511	6.41016183467679	10.757861266607	6.75661761447992	6.91644955169724	2.58406098617469	5.22981243103782	7.3628322419279	vehicle	vehicle	-0.19705857592519574	-0.6846935610436664
C_375_S31	-1.44766839688096	-2.5851719206309	-1.44766839688096	4.9336779080768	5.76620906004344	4.34319840238807	-1.73717501407595	8.56444819548087	9.30197252096589	10.8635380705163	5.83857430848388	10.3045221587512	6.03321358162771	6.55999601838749	1.77940051166496	4.87589819340216	6.91905119928195	vehicle	vehicle	-1.1263396982770855	-1.4637307842329166
D_344_S33	-1.37765183824859	-2.51515536199853	0.117112853500986	5.78771199897435	6.42207131198095	5.4971898284213	-0.313521500828877	7.13553740517286	10.0766007140245	11.4731565330618	6.68107789887107	11.1589265366378	6.86378969825437	6.55577058298698	2.85640350061344	6.5022098432942	6.99778258147613	polyIC_aPD1	Poly I:C + anti-PD-1	-0.49307731643438935	-0.3482809574571775
D_357_S37	-1.070949146241	-4.97783974184952	0.576749109828117	6.67006833243229	7.3876625263436	6.57146362666405	0.694585600121975	7.54400603331241	10.2124093491002	11.3043618512321	7.46536283544749	11.2506595667383	7.50118260514566	6.76573244708611	3.60336084007544	7.44816287147984	7.17476200216968	polyIC_aPD1	Poly I:C + anti-PD-1	0.3181649506410453	0.03238609372946203
D_359_S39	-0.682119574288495	-3.34508458701092	-0.682119574288495	6.36054780035049	7.50275576861979	7.41174968465975	-0.175159585568612	7.36371192193578	10.3037598037073	11.3939400268792	7.48331639347889	11.3478396154872	7.28700182582426	6.79999841514712	2.72100460344685	7.31342445066425	7.20020169631861	polyIC_aPD1	Poly I:C + anti-PD-1	0.1264626241581616	0.09799178391201713
D_366_S34	-1.87525931868316	-3.46022181940432	-0.290296817962004	6.4168066304601	7.62436514333002	6.36685619442618	0.977183492902982	6.69164037897339	10.1541429511495	11.5073797171254	7.02929168060903	11.348155856643	7.21837831969514	6.92312247430533	2.75571557979483	6.71761294237276	6.91373083596588	polyIC_aPD1	Poly I:C + anti-PD-1	0.05044560941837939	0.07942780678526976
D_367_S35	-1.83043951105821	-5.00036451250052	-3.41540201177936	6.02269673723482	6.34559508390359	7.4140564692459	-1.29992479435943	7.16799421472337	9.83316800644631	11.0865388112855	6.84630116939922	11.0961653524733	6.83133858671378	6.50097510556088	1.65784697025128	7.18976880936428	6.65561334998642	polyIC_aPD1	Poly I:C + anti-PD-1	-0.6665757348779683	-0.6189164754655615
D_368_S36	-0.597495668763158	-5.24135185853788	-0.993424345094297	6.30987574506041	7.82725849824139	6.8779135246379	0.9083952609668	7.12633589773216	10.368779048844	11.4720749335796	7.35972248040379	11.3396868584258	7.31203744618374	6.72839439227663	2.88276945329131	7.32351213168906	7.13287256758585	polyIC_aPD1	Poly I:C + anti-PD-1	0.1330265387822092	0.09740410264771503
D_370_S38	-0.62840096492206	-5.02071838770082	-0.933255546450481	5.34012869647884	5.64550561510236	6.15483116293537	-2.69879029281346	7.770240945998	9.83146971890987	11.3749328883436	6.61726491607703	11.0304693069595	6.59628983995114	6.8078148227548	2.32800976653026	6.42066964164587	6.84617413997578	polyIC_aPD1	Poly I:C + anti-PD-1	-0.9290240027762554	-0.45032161862498415
