subset	n	gene	axis	rho	p
all_24	24	Cldn4	IFN	0.17304347826086955	0.4187403495722348
all_24	24	Cldn4	MHC	0.24695652173913044	0.24467584594576178
all_24	24	Cldn4	Cd8a	0.1782608695652174	0.404629262071875
all_24	24	Cldn4	Ifng	0.3426086956521739	0.1012404900705785
all_24	24	Cldn4	Cd274	0.16173913043478258	0.45021888484637085
all_24	24	Tacstd2	IFN	0.22434782608695653	0.2919232059452401
all_24	24	Tacstd2	MHC	0.64	0.0007568767697970004
all_24	24	Tacstd2	Cd8a	0.4121739130434783	0.04534690802018242
all_24	24	Tacstd2	Ifng	0.40956521739130425	0.04686616926491315
all_24	24	Tacstd2	Cd274	0.7730434782608695	9.492623353144859e-06
primary_16	16	Cldn4	IFN	0.08823529411764705	0.7452220943671326
primary_16	16	Cldn4	MHC	-0.0029411764705882353	0.9913748045563624
primary_16	16	Cldn4	Cd8a	0.049999999999999996	0.8540995521297438
primary_16	16	Cldn4	Ifng	0.2647058823529412	0.3218043958686153
primary_16	16	Cldn4	Cd274	-0.21764705882352942	0.41808684161130316
primary_16	16	Tacstd2	IFN	0.1411764705882353	0.6020026838819792
primary_16	16	Tacstd2	MHC	0.6088235294117647	0.012315203198246461
primary_16	16	Tacstd2	Cd8a	0.18823529411764706	0.4850866091454684
primary_16	16	Tacstd2	Ifng	0.11470588235294117	0.6722910465997233
primary_16	16	Tacstd2	Cd274	0.7617647058823529	0.0006053428380705889
