subset,n,n_universe,cldn4_surface_rank,cldn4_spearman_r,top1_gene,top1_r
PAM50_LumA,421,2618,23,0.2759,EFNA1,0.3807
PAM50_LumB,192,2618,54,0.2357,RHBDL2,0.4049
PAM50_Her2,67,2618,28,0.3361,MUC21,0.5292
PAM50_Basal,141,2618,2,0.4676,SLC39A2,0.4789
PAM50_Normal,23,2618,28,0.5514,EFNA1,0.7569
