rank,gene,spearman_rho_vs_TACSTD2
1,SLPI,0.4298
2,EFNA1,0.4288
3,LGALS3,0.428
4,PDZK1IP1,0.4228
5,ELF3,0.3899
6,KLK7,0.3874
7,PPP1R13L,0.3857
8,KRT17,0.3804
9,PERP,0.3765
10,KRT14,0.3738
11,KLK8,0.3699
12,C6orf132,0.3697
13,ANXA3,0.3671
14,MESP2,0.3669
15,KLK5,0.3627
16,KRT7,0.3607
17,KLK6,0.3598
18,NDRG2,0.357
19,PRSS22,0.3554
20,FXYD5,0.3527
21,C1orf170,0.3525
22,CCL28,0.3521
23,KRT6B,0.3518
24,PVRL4,0.3507
25,DTX2,0.3506
