quantity,n,rho,p
spearman_unadjusted_purity_subset,1047,0.3464,6.9687186593133e-31
spearman_partial_given_ABSOLUTE_purity,1047,0.3434,2.4501662868934956e-30
spearman_TACSTD2_vs_purity,1047,-0.094,0.002316871018145725
spearman_CLDN4_vs_purity,1047,-0.0539,0.0811426768800293
