subset,n,pearson_r,pearson_p,spearman_rho,spearman_p,spearman_rho_ci95_lo,spearman_rho_ci95_hi
primary_one_per_patient,1097,0.3861,2.5611439500290737e-40,0.3476,1.6923594621890979e-32,0.2938,0.4009
primary_all_vials,1097,0.3861,2.5611439500290737e-40,0.3476,1.6923594621890979e-32,0.2922,0.403
adjacent_normal,114,0.946,1.3076041957031343e-56,0.8043,4.52045849350917e-27,0.6944,0.8824
PAM50_LumA,421,0.2653,3.254068988465522e-08,0.2759,8.624118571300054e-09,0.1843,0.359
PAM50_LumB,192,0.2046,0.004411067163390861,0.2357,0.0009960913222706682,0.0984,0.3647
PAM50_Her2,67,0.2659,0.029636203890675516,0.3361,0.0054239154198217334,0.0752,0.5692
PAM50_Basal,141,0.6341,3.143937881336712e-17,0.4676,5.0381681335982525e-09,0.3178,0.5955
PAM50_Normal,23,0.5874,0.003205732220620492,0.5514,0.006387234738839675,0.0825,0.8472
