accession	set	gene
GSE266323	Cldn4	Cldn4
GSE266323	TNK	Cd3d
GSE266323	TNK	Cd3e
GSE266323	TNK	Cd3g
GSE266323	TNK	Cd2
GSE266323	TNK	Cd8a
GSE266323	TNK	Cd8b1
GSE266323	TNK	Cd4
GSE266323	TNK	Nkg7
GSE266323	TNK	Gzma
GSE266323	TNK	Gzmb
GSE266323	TNK	Prf1
GSE266323	TNK	Klrb1c
GSE266323	TNK	Ncr1
GSE266323	TNK	Klrd1
GSE266323	TNK	Klrc1
GSE266323	TNK	Ifng
GSE266323	IFN_MHC	Stat1
GSE266323	IFN_MHC	Stat2
GSE266323	IFN_MHC	Irf1
GSE266323	IFN_MHC	Irf7
GSE266323	IFN_MHC	Irf9
GSE266323	IFN_MHC	Isg15
GSE266323	IFN_MHC	Ifit1
GSE266323	IFN_MHC	Ifit2
GSE266323	IFN_MHC	Ifit3
GSE266323	IFN_MHC	Oasl2
GSE266323	IFN_MHC	Rsad2
GSE266323	IFN_MHC	Ifih1
GSE266323	IFN_MHC	Ddx58
GSE266323	IFN_MHC	Ifnb1
GSE266323	IFN_MHC	B2m
GSE266323	IFN_MHC	H2-K1
GSE266323	IFN_MHC	H2-D1
GSE266323	IFN_MHC	H2-Q4
GSE266323	IFN_MHC	H2-Q6
GSE266323	IFN_MHC	H2-Q7
GSE266323	IFN_MHC	H2-Aa
GSE266323	IFN_MHC	H2-Ab1
GSE266323	IFN_MHC	H2-Eb1
GSE266323	IFN_MHC	Tap1
GSE266323	IFN_MHC	Tap2
GSE266323	IFN_MHC	Psmb8
GSE266323	IFN_MHC	Psmb9
GSE266323	IFN_MHC	Nlrc5
GSE266323	IFN_MHC	Ciita
GSE266323	epithelial_marker	Epcam
GSE266323	epithelial_marker	Krt8
GSE266323	epithelial_marker	Krt18
GSE266323	epithelial_marker	Krt19
GSE266323	epithelial_marker	Sftpc
GSE266323	epithelial_marker	Nkx2-1
GSE266323	epithelial_marker	Cdh1
