cohort	annotation	contrast	celltype	compartment	method	effect	se	p_value	n	n_celltypes	reference	precision	converged	fdr_family	note	n_input	n_high	n_low	binary	p_perm	n_mpr	n_nmpr	q_bh	n_tests_in_family	bonferroni_primary	n_primary_grid	recovery
GSE207422	drmref	tacstd2_high	B cells	B cells	dm_glm	0.0			7	10.0	B cells	20.21109347073931	True	diagnostic_dm_lrt	p_from_LRT	12.0	3.0	4.0	True					135		52	not_primary
GSE207422	drmref	tacstd2_high	CD4+ T cells	CD4+ T cells	dm_glm	-0.024835276044312248		1.0	7	10.0	B cells	20.21109347073931	True	diagnostic_dm_lrt	p_from_LRT	12.0	3.0	4.0	True				1.0	135		52	not_primary
GSE207422	drmref	tacstd2_high	CD8+ T cells	CD8+ T cells	dm_glm	0.7356647488960053		0.05822856214362545	7	10.0	B cells	20.21109347073931	True	diagnostic_dm_lrt	p_from_LRT	12.0	3.0	4.0	True				0.6138376001189999	135		52	not_primary
GSE207422	drmref	tacstd2_high	Fibroblasts	Fibroblasts	dm_glm	0.9601601341354588		0.07171584462923686	7	10.0	B cells	20.21109347073931	True	diagnostic_dm_lrt	p_from_LRT	12.0	3.0	4.0	True				0.6138376001189999	135		52	not_primary
GSE207422	drmref	tacstd2_high	Malignant cells	Malignant cells	dm_glm	0.37063416127178506		0.35275318174125536	7	10.0	B cells	20.21109347073931	True	diagnostic_dm_lrt	p_from_LRT	12.0	3.0	4.0	True				0.9794957186143313	135		52	not_primary
GSE207422	drmref	tacstd2_high	Mono/Macro	Mono/Macro	dm_glm	1.101863734320957		0.011927579922338108	7	10.0	B cells	20.21109347073931	True	diagnostic_dm_lrt	p_from_LRT	12.0	3.0	4.0	True				0.1789136988350716	135		52	not_primary
GSE207422	drmref	tacstd2_high	NK cells	NK cells	dm_glm	-0.1523745692749055		0.8561518133073415	7	10.0	B cells	20.21109347073931	True	diagnostic_dm_lrt	p_from_LRT	12.0	3.0	4.0	True				0.9794957186143313	135		52	not_primary
GSE207422	drmref	tacstd2_high	Neutrophils	Neutrophils	dm_glm	-0.9293284058755084		0.10815076818329164	7	10.0	B cells	20.21109347073931	True	diagnostic_dm_lrt	p_from_LRT	12.0	3.0	4.0	True				0.6347979871627988	135		52	not_primary
GSE207422	drmref	tacstd2_high	Plasma cells	Plasma cells	dm_glm	-0.0826492659068735		0.9040780991549051	7	10.0	B cells	20.21109347073931	True	diagnostic_dm_lrt	p_from_LRT	12.0	3.0	4.0	True				0.9852833781600414	135		52	not_primary
GSE207422	drmref	tacstd2_high	pDCs	pDCs	dm_glm	0.3712234312178043		0.4093548983702794	7	10.0	B cells	20.21109347073931	True	diagnostic_dm_lrt	p_from_LRT	12.0	3.0	4.0	True				0.9794957186143313	135		52	not_primary
GSE207422	drmref	tacstd2_high	B cells	B cells	alr_perm	0.0	0.0	1.0	7		B cells		True	secondary_tacstd2_other_types	reference								1.0	106		52	not_primary
GSE207422	drmref	tacstd2_high	CD4+ T cells	CD4+ T cells	alr_perm	2.0216596321669726	0.850081232656107	0.01739758429436217	7		B cells		True	secondary_tacstd2_other_types	HC3								0.3137100685845345	106		52	not_primary
GSE207422	drmref	tacstd2_high	CD8+ T cells	CD8+ T cells	alr_perm	2.9626570497841103	1.0030915942607104	0.003141661977219491	7		B cells		True	secondary_tacstd2_other_types	HC3								0.17390398828938558	106		52	not_primary
GSE207422	drmref	tacstd2_high	Fibroblasts	Fibroblasts	alr_perm	5.059468868103437	2.0267015504892836	0.012545909726412997	7		B cells		True	secondary_tacstd2_other_types	HC3								0.3137100685845345	106		52	not_primary
GSE207422	drmref	tacstd2_high	Malignant cells	Malignant cells	alr_perm	2.6090268505607153	1.4992907365222716	0.08182845872874395	7		B cells		True	secondary_tacstd2_other_types	HC3								0.46013974625789433	106		52	not_primary
GSE207422	drmref	tacstd2_high	Mono/Macro	Mono/Macro	alr_perm	3.565668750336458	1.21277685737327	0.0032812073262148225	7		B cells		True	secondary_tacstd2_other_types	HC3								0.17390398828938558	106		52	not_primary
GSE207422	drmref	tacstd2_high	NK cells	NK cells	alr_perm	0.869280027682272	0.8760060001906418	0.32104047388091783	7		B cells		True	secondary_tacstd2_other_types	HC3								0.8168841891808823	106		52	not_primary
GSE207422	drmref	tacstd2_high	Neutrophils	Neutrophils	alr_perm	0.3894680374605173	1.544675528643621	0.8009360805766548	7		B cells		True	secondary_tacstd2_other_types	HC3								1.0	106		52	not_primary
GSE207422	drmref	tacstd2_high	Plasma cells	Plasma cells	alr_perm	1.8089949748900198	1.2193927099311985	0.13793597974609256	7		B cells		True	secondary_tacstd2_other_types	HC3								0.6962482787183719	106		52	not_primary
GSE207422	drmref	tacstd2_high	pDCs	pDCs	alr_perm	2.963107845924097	1.6544640753226907	0.07329691419860543	7		B cells		True	secondary_tacstd2_other_types	HC3								0.46013974625789433	106		52	not_primary
GSE207422	drmref	tacstd2_high	B cells	B cells	fraction_mwu	-0.06445973123068337		0.05714285714285714	7				True	companion_fraction_naive	U=0.0; median_high-low								0.8693208430913348	464		52	not_primary
GSE207422	drmref	tacstd2_high	CD4+ T cells	CD4+ T cells	fraction_mwu	0.00024094369257326997		0.8571428571428571	7				True	companion_fraction_naive	U=5.0; median_high-low								0.9931741293077159	464		52	not_primary
GSE207422	drmref	tacstd2_high	CD8+ T cells	CD8+ T cells	fraction_mwu	0.1919975881128308		0.4	7				True	companion_fraction_naive	U=9.0; median_high-low								0.9781548294479937	464		52	not_primary
GSE207422	drmref	tacstd2_high	Fibroblasts	Fibroblasts	fraction_mwu	0.006740686874930252		0.11428571428571428	7				True	companion_fraction_naive	U=11.0; median_high-low								0.8693208430913348	464		52	not_primary
GSE207422	drmref	tacstd2_high	Malignant cells	Malignant cells	fraction_mwu	-0.011415931920475735		1.0	7				True	companion_fraction_naive	U=6.0; median_high-low								1.0	464		52	not_primary
GSE207422	drmref	tacstd2_high	Mono/Macro	Mono/Macro	fraction_mwu	0.09826118647629106		0.11428571428571428	7				True	companion_fraction_naive	U=11.0; median_high-low								0.8693208430913348	464		52	not_primary
GSE207422	drmref	tacstd2_high	NK cells	NK cells	fraction_mwu	-0.005131887944426133		0.05714285714285714	7				True	companion_fraction_naive	U=0.0; median_high-low								0.8693208430913348	464		52	not_primary
GSE207422	drmref	tacstd2_high	Neutrophils	Neutrophils	fraction_mwu	-0.2226830410337004		0.11428571428571428	7				True	companion_fraction_naive	U=1.0; median_high-low								0.8693208430913348	464		52	not_primary
GSE207422	drmref	tacstd2_high	Plasma cells	Plasma cells	fraction_mwu	-0.013516446780077039		0.6285714285714286	7				True	companion_fraction_naive	U=4.0; median_high-low								0.9781548294479937	464		52	not_primary
GSE207422	drmref	tacstd2_high	pDCs	pDCs	fraction_mwu	0.0013390337341408019		0.6285714285714286	7				True	companion_fraction_naive	U=8.0; median_high-low								0.9781548294479937	464		52	not_primary
GSE207422	drmref	tacstd2_z	B cells	B cells	dm_glm	0.0			7	10.0	B cells	24.59273561674638	True	diagnostic_dm_lrt_secondary_tacstd2_continuous	p_from_LRT	12.0			False					135		52	not_primary
GSE207422	drmref	tacstd2_z	CD4+ T cells	CD4+ T cells	dm_glm	0.020573011032957684		0.7448974123218888	7	10.0	B cells	24.59273561674638	True	diagnostic_dm_lrt_secondary_tacstd2_continuous	p_from_LRT	12.0			False				0.8821054119012876	135		52	not_primary
GSE207422	drmref	tacstd2_z	CD8+ T cells	CD8+ T cells	dm_glm	0.48046332976574313		0.040170479343280975	7	10.0	B cells	24.59273561674638	True	diagnostic_dm_lrt_secondary_tacstd2_continuous	p_from_LRT	12.0			False				0.38735819366735225	135		52	not_primary
GSE207422	drmref	tacstd2_z	Fibroblasts	Fibroblasts	dm_glm	1.1376633184475262		0.0038481745833906116	7	10.0	B cells	24.59273561674638	True	diagnostic_dm_lrt_secondary_tacstd2_continuous	p_from_LRT	12.0			False				0.047227597159793876	135		52	not_primary
GSE207422	drmref	tacstd2_z	Malignant cells	Malignant cells	dm_glm	0.5760918217660372		0.06069440926447454	7	10.0	B cells	24.59273561674638	True	diagnostic_dm_lrt_secondary_tacstd2_continuous	p_from_LRT	12.0			False				0.41057365372672966	135		52	not_primary
