cohort	sample_id	annotation	celltype	n
GSE207422	BD_immune01	hu_markers	neutrophil	2038
GSE207422	BD_immune01	hu_markers	myeloid	958
GSE207422	BD_immune01	hu_markers	epithelial	645
GSE207422	BD_immune01	hu_markers	NK	423
GSE207422	BD_immune01	hu_markers	plasma	248
GSE207422	BD_immune01	hu_markers	T	196
GSE207422	BD_immune01	hu_markers	other	112
GSE207422	BD_immune01	hu_markers	mast	42
GSE207422	BD_immune01	hu_markers	B	37
GSE207422	BD_immune01	hu_markers	fibroblast	23
GSE207422	BD_immune01	hu_markers	endothelial	19
GSE207422	BD_immune01	hu_collapsed	other	112
GSE207422	BD_immune01	hu_collapsed	myeloid	2996
GSE207422	BD_immune01	hu_collapsed	TNK	619
GSE207422	BD_immune01	hu_collapsed	TLS	285
GSE207422	BD_immune01	hu_collapsed	stromal	42
GSE207422	BD_immune01	hu_collapsed	epithelial	645
GSE207422	BD_immune01	hu_collapsed	mast	42
GSE207422	BD_immune01	marker_coarse	TNK	619
GSE207422	BD_immune01	marker_coarse	TLS	285
GSE207422	BD_immune01	marker_coarse	epithelial	645
GSE207422	BD_immune01	marker_coarse	other	3192
GSE207422	BD_immune02	hu_markers	T	2390
GSE207422	BD_immune02	hu_markers	B	1970
GSE207422	BD_immune02	hu_markers	neutrophil	245
GSE207422	BD_immune02	hu_markers	other	227
GSE207422	BD_immune02	hu_markers	NK	190
GSE207422	BD_immune02	hu_markers	myeloid	117
GSE207422	BD_immune02	hu_markers	epithelial	99
GSE207422	BD_immune02	hu_markers	plasma	47
GSE207422	BD_immune02	hu_markers	endothelial	33
GSE207422	BD_immune02	hu_markers	mast	15
GSE207422	BD_immune02	hu_markers	fibroblast	12
GSE207422	BD_immune02	hu_collapsed	other	227
GSE207422	BD_immune02	hu_collapsed	myeloid	362
GSE207422	BD_immune02	hu_collapsed	TNK	2580
GSE207422	BD_immune02	hu_collapsed	epithelial	99
GSE207422	BD_immune02	hu_collapsed	stromal	45
GSE207422	BD_immune02	hu_collapsed	TLS	2017
GSE207422	BD_immune02	hu_collapsed	mast	15
GSE207422	BD_immune02	marker_coarse	TNK	2580
GSE207422	BD_immune02	marker_coarse	TLS	2017
GSE207422	BD_immune02	marker_coarse	epithelial	99
GSE207422	BD_immune02	marker_coarse	other	649
GSE207422	BD_immune03	hu_markers	T	3630
GSE207422	BD_immune03	hu_markers	NK	1275
GSE207422	BD_immune03	hu_markers	B	1050
GSE207422	BD_immune03	hu_markers	epithelial	1046
GSE207422	BD_immune03	hu_markers	plasma	884
GSE207422	BD_immune03	hu_markers	myeloid	604
GSE207422	BD_immune03	hu_markers	other	477
GSE207422	BD_immune03	hu_markers	neutrophil	165
GSE207422	BD_immune03	hu_markers	mast	74
GSE207422	BD_immune03	hu_markers	fibroblast	30
GSE207422	BD_immune03	hu_markers	endothelial	24
GSE207422	BD_immune03	hu_collapsed	other	477
GSE207422	BD_immune03	hu_collapsed	myeloid	769
GSE207422	BD_immune03	hu_collapsed	TNK	4905
GSE207422	BD_immune03	hu_collapsed	epithelial	1046
GSE207422	BD_immune03	hu_collapsed	stromal	54
GSE207422	BD_immune03	hu_collapsed	TLS	1934
GSE207422	BD_immune03	hu_collapsed	mast	74
GSE207422	BD_immune03	marker_coarse	TNK	4905
GSE207422	BD_immune03	marker_coarse	TLS	1934
GSE207422	BD_immune03	marker_coarse	epithelial	1046
GSE207422	BD_immune03	marker_coarse	other	1374
GSE207422	BD_immune04	hu_markers	T	4462
