cohort	annotation	contrast	celltype	compartment	method	effect	se	p_value	n	n_celltypes	reference	precision	converged	fdr_family	note	n_input	n_high	n_low	binary	p_perm	n_mpr	n_nmpr	q_bh	n_tests_in_family	bonferroni_primary	n_primary_grid	recovery
GSE207422	drmref_collapsed	tacstd2_high	TLS	TLS	alr_perm	-1.4596967739944984	0.953919321892101	0.2	7		myeloid		True	primary_tacstd2	HC3;p_patient_perm					0.2			0.8666666666666667	52	1.0	52	not_recovered
GSE207422	drmref_collapsed	tacstd2_high	TNK	TNK	alr_perm	0.005965392592254148	0.921979221560067	1.0	7		myeloid		True	primary_tacstd2	HC3;p_patient_perm					1.0			1.0	52	1.0	52	not_recovered
GSE207422	hu_collapsed	tacstd2_high	TLS	TLS	alr_perm	-1.4857499950949933	1.1048569500543386	0.1746031746031746	10		stromal		True	primary_tacstd2	HC3;p_patient_perm					0.1746031746031746			0.8253968253968254	52	1.0	52	not_recovered
GSE207422	hu_collapsed	tacstd2_high	TNK	TNK	alr_perm	-0.7474035122665175	0.9218044167123347	0.3968253968253968	10		stromal		True	primary_tacstd2	HC3;p_patient_perm					0.3968253968253968			0.9469226425748165	52	1.0	52	not_recovered
GSE207422	hu_markers	tacstd2_high	B	TLS	alr_perm	-2.5589676167684225	1.0398707257440603	0.031746031746031744	10		myeloid		True	primary_tacstd2	HC3;p_patient_perm					0.031746031746031744			0.5158730158730158	52	1.0	52	not_recovered
GSE207422	hu_markers	tacstd2_high	NK	TNK	alr_perm	-0.28567798377696735	0.6626453081002306	0.6428571428571429	10		myeloid		True	primary_tacstd2	HC3;p_patient_perm					0.6428571428571429			0.9469226425748165	52	1.0	52	not_recovered
GSE207422	hu_markers	tacstd2_high	T	TNK	alr_perm	-1.5853630442589197	0.749504919532244	0.03968253968253968	10		myeloid		True	primary_tacstd2	HC3;p_patient_perm					0.03968253968253968			0.5158730158730158	52	1.0	52	not_recovered
GSE207422	hu_markers	tacstd2_high	plasma	TLS	alr_perm	-0.8889191091486245	0.8063044989162081	0.23809523809523808	10		myeloid		True	primary_tacstd2	HC3;p_patient_perm					0.23809523809523808			0.9469226425748165	52	1.0	52	not_recovered
GSE207422	marker_coarse	tacstd2_high	TLS	TLS	alr_perm	-1.4460680654691724	0.7797074736317064	0.07142857142857142	10		other		True	primary_tacstd2	HC3;p_patient_perm					0.07142857142857142			0.5158730158730158	52	1.0	52	not_recovered
GSE207422	marker_coarse	tacstd2_high	TNK	TNK	alr_perm	-0.707721582640697	0.7417250722278041	0.2619047619047619	10		other		True	primary_tacstd2	HC3;p_patient_perm					0.2619047619047619			0.9469226425748165	52	1.0	52	not_recovered
